D Y AO R D,D HH ER D,25
D Y AO R D,D AH D,20
D Y AO R D,D DH AH D,5
D Y AO R D,D T UW D,5
D Y AO R D,D D,2
D Y AO R D,D N OW D,1
T IH N,T AH N,92
T IH N,T EH N,1
N G,N D G,92
S IY,S HH IY,17
AA SH W,AA CH T W,1
AA SH W,AA CH W,3
AA SH W,AA Z W,9
AA SH W,AA S T W,6
DH IH S,DH AH S,3
S D AY V,S T OW V,1
P IY T S,P AH R IH S,1
P IY T S,P EH R IH S,1
S ER IY AH Z AA,S AA,2
AA R K AH,AA M AH,1
N V IY,N IY,1
IY N Y AH N,IY EH N,1
 P UH T, B AH T,7
L AA K,L AE K,3
 D R, B R,1
R AA P F,R AO T F,1
D Y AO R D AA R K,D DH AH T AE K,1
D Y AO R D AA R K,D T UW T EY K,1
K S UW,K T T UW,1
K S UW,K SH UW,1
UW T IH N,UW AH N,1
UW T IH N,UW N AH N,1
IY AE N OY,IY AH OY,1
IY AE N OY,IY OY,1
HH AH S K IY Y,HH AE Z Y,1
DH M AA K D,DH AH D,1
AA HH AA,AA AA,1
IY TH AO,IY S AO,1
AH L AH,AH M AH,1
AH L AH,AH K AH,1
AH SH D,AH CH D,1
D AH V,D IH V,1
S IY AE,S AE,1
T EH K,T AE K,1
K N IH,K T IH,1
AH V P,AH P,2
P Y UW T ER AA R,P IH R,1
P Y UW T ER AA R,P IH R AO R,1
R B Y UW T,R AO T,1
 CH IY P, K AE P,1
P S T,P T,1
T AA K IH NG Z,T AH N Z,1
R AH N,R AE N,1
R AH N,R N,1
M TH EY R,M DH EH R,6
UW CH AA R L,UW K AO L,1
L IY Z D,L D,1
D ER T IY D,D D,1
 K AE, AE,2
 K AE, S AE,1
AE L S IY AH M M,AE Z M,2
N W,N AH W,1
N W,N D W,4
IY V AA,IY AA,1
M AH N,M AA N,1
M AH N,M IH N,1
T AH K,T AA K,1
M AA D,M AE D,1
IH NG K,IH N K,2
 DH AH, AH,2
L Z,L,8
L L EY K,L W AY T,1
Y IH R,Y UW,2
Y IH R,Y AO R,3
