D Y AO R D,D HH ER D,25
D Y AO R D,D DH AH D,3
D Y AO R D,D AH D,24
D Y AO R D,D T UW D,3
D Y AO R D,D D,1
T IH N,T AH N,89
T IH N,T N,1
T IH N,T EH N,1
T IH N,T ER N,1
N G,N D G,90
R IY S IY W,R EY W,11
R IY S IY W,R Z W,1
AA SH W,AA CH T W,1
AA SH W,AA Z W,8
AA SH W,AA TH W,1
AA SH W,AA S T W,9
AA SH W,AA CH W,6
ER AO L Y IH R,ER AA N HH ER,1
ER AO L Y IH R,ER,1
DH IH S,DH AH S,3
S D AY,S K AY,1
AY V S,AY Z S,1
N M EY,N DH EY,1
 P IY T, IH T,2
 P IY T, T,1
S ER IY AH,S AH,1
AH Z AA R,AH R IH R,1
 P UH T, B AH T,7
 D R, B R,1
R AA P,R AO T P,1
P F AY V F,P L AE T F,1
P F AY V F,P F,1
P F AY V F,P IH T F,1
Z IH N,Z AA N,1
Z IH N,Z AH N,4
S UW T,S UH T,2
S UW T,S EH T,6
S UW T,S T,4
S UW T,S IH T,1
S UW T,S IY T,1
S UW T,S ER T,1
S IY W,S W,20
S IY W,S IH NG W,4
S IY W,S AH W,1
S IY W,S Y UW W,1
IY AE N OY,IY AH OY,1
IY AE N OY,IY OY,1
IY AE N OY,IY IH T OY,1
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
AH L,AH B L,1
D AH V,D IH V,1
S IY,S HH IY,11
K AH L,K AE L,1
K AH L,K AO L,1
K AH L,K OW L,1
K AH L,K L,1
L IH F IH SH AH,L AH,1
AH N S IY,AH T IY,1
IY IH,IY Z IH,1
IY IH,IY D IH,1
IY IH,IY AH N D IH,1
V AE,V N AE,1
AE K CH,AE CH,1
CH AH W AH,CH ER AH,1
AH V P,AH P,3
P Y UW T ER AA R,P IH R,1
P Y UW T ER AA R,P IH R AO R,1
R B,R EY B,1
B Y UW T,B IY AH T,1
T AH F,T IH F,1
 CH IY P S, DH AH S,1
AA K IH,AA R T IH,1
R AH N,R AE N,1
R AH N,R N,1
R AH N,R AW N,1
M TH EY R,M DH EH R,6
M TH EY R,M DH EH R AA R,1
IY Z D ER,IY S T ER,1
IY Z D ER,IY AY ER,1
ER T IY,ER D IY,1
K AE L S,K EY S,1
S IY AH M M,S M,1
S IY AH M M,S UW M,1
S IY AH M M,S OW M,1
EY K S,EY T S,1
IY V AA,IY B AA,1
AA N DH,AA T DH,1
AA N DH,AA R D DH,1
S ER AE M,S IY M,1
M IH K M,M D M,1
AA D AH L IH,AA N IH,1
IH NG K,IH K,1
IH NG K,IH N K,1
K L EY R,K AH R,1
L Z,L,8
Y IH R,Y UW,2
Y IH R,Y AO R,1
 D AE N, TH EY N,1
N S AH,N AH,1
AH Z AO,AH S AO,1
AH Z AO,AH N AO,1
S AH NG,S AO NG,1
R AE N HH,R EH D HH,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,2
IY AW AO,IY N AO,1
IY AW AO,IY AO,1
T S M,T M,3
T S M,T ER M,1
M AH S,M EH S,5
S AA ZH,S AH JH,5
S AA ZH,S AY D,2
M L AO S K,M W AA Z K,1
M L AO S K,M AE Z K,1
IY AE Z,IY Z,4
IY AE Z,IY IH Z,1
N G R,N K R,10
N G R,N D R,2
ER AO L Y,ER AH Y,3
IY T UW K,IY DH AH K,2
IY T UW K,IY AY K,2
IY T UW K,IY K,1
R IY AE N OY L IY R AE G L AY K DH,R IH JH DH,1
IY HH AE Z,IY W AA Z,1
F D AH N EH N IY,F T UW B IY,1
IY TH IH NG F,IY HH EY F,1
F AO R,F OW R,1
F AO R,F AH R,2
F AO R,F R,4
R W IH CH T UW B,R TH B,1
B IY HH,B IH HH,1
EY T AH D,EY V D,1
D AA N T AY D,D EH D,1
D EH N,D AH N,2
N T AH F AY Y,N Y,1
K OW AH N S,K UH D S,1
S AY D AH D W,S IH T W,1
Z B IY,Z F IY,1
OW W AA Z,OW Z,1
D N IH,D IH,1
IH R DH,IH N DH,1
UW L UH K IH,UW IH,1
IH NG F,IH N F,1
T AY D L IY AE M B,T IH T EY B,1
L D TH R UW,L T UW,1
UW DH AH F,UW F,1
F AA R,F AO R,3
M Y AA,M AA,1
R D,R T,1
R D,R EY D,1
S AH Z S,S S,1
R EH NG K TH M ER AE,R AE,1
AE K Y AH,AE T AH,1
AH L AH,AH K AH,1
AH L AH,AH M AH,1
AH S L,AH L,2
L IY,L Z,1
W EH L,W IH L,5
SH AH B,SH IH B,2
SH AH B,SH AE B,1
L Y IH R,L HH ER,9
L Y IH R,L IY R,1
L Y IH R,L,1
IY IH Z,IY AE Z,1
D AH S,D S,1
F L,F UH L,1
W UH L,W OW L,1
W UH L,W EH L,1
L D DH,L DH,2
R IH Z P,R P,1
R AH P,R P,4
R AH P,R AA P,1
P R AH S,P ER S,5
R IY S,R AE S,3
R IY S,R EY S,6
R IY S,R AH S,1
S AH,S DH AH,2
S AH,S T AH,1
W UH D JH,W IH CH JH,1
 B R OY L AO, AO,1
T OW S,T EY S,1
T AE Z Y UW ZH AH W AH,T F AH,1
M D IH P,M T UW P,2
M D IH P,M P,1
K T S DH,K DH,3
L AA R,L AO R,1
IH F K,IH T K,1
T AH M,T UW M,6
T AH M,T,2
V HH ER ER,V ER,3
JH F,JH D F,5
NG AE T,NG IH T,2
 HH IH, IH,1
IH Z SH,IH T SH,1
D Y AO R D AA R K,D AH K,1
D Y AO R D AA R K,D T UW T EY K,1
K S UW,K Y UW,1
K S UW,K SH UW,1
N G R IY S,N AH S,1
N G R IY S,N V ER S,1
S IY W AA,S AA,1
AA SH W AO T ER AO,AA N AO,1
T AE S,T EH S,1
S K M IY T UW K AE R,S Y UH R,1
IY AE N OY L,IY AH L,3
IY AE N OY L,IY IH T ER L,1
IY AE N OY L,IY IH T AO L,2
L IY R,L AA R,2
L IY R,L R,27
L IY R,L AY R,4
L IY R,L AE T R,1
L IY R,L AH R,2
L IY R,L DH AH R,2
L IY R,L DH AH W AO R,1
L IY R,L D R,1
L IY R,L Y R,1
L IY R,L IH R,2
R AE G L,R L,7
R AE G L,R AA D L,1
R AE G L,R EY L,1
R AE G L,R IH K L,2
R AE G L,R D ER L,1
R AE G L,R AH K AH L,1
 B AH T W IH DH IH, IH,1
T F R,T T R,1
EY M W ER K HH IY AH L,EY L,1
L AW D,L D,1
R AE Z M,R M,1
N AE Z S,N AH N D S,1
N AE Z W,N W,1
EH R IY T UW R,EH R,1
R IH L,R EY L,1
IH R K,IH K,1
K AH T S AH,K AH,1
T EH K S T,T AE F T,1
T R AH T,T ER T,1
L AH,L DH AH,1
L AH,L IY AH,1
L AH,L K AO R AH,1
L AH,L AO NG DH AH,1
AH D AY,AH T AY,1
 B IH F, F,1
R TH ER Z D EY,R DH AH S EY,1
EY Z IH G Z AE M,EY M,1
EY Z IH G Z AE M,EY T IY M,1
M R IY V Y,M Y,1
UW EH V ER IY F,UW EY F,1
R M Y AH L AH,R D,1
T W EH N,T AA N,1
N AY AA D,N AH D,1
N AY AA D,N W IY AH D,1
 JH EH F TH, DH AH TH,1
 JH EH F TH, SH IY TH,1
R G Y UW D IH,R IH,2
N T R AH,N AH,1
