D Y AO R D,D HH ER D,22
D Y AO R D,D AH D,14
D Y AO R D,D DH AH D,4
D Y AO R D,D T UW D,3
D Y AO R D,D AH D D,1
D Y AO R D,D N OW D,2
D Y AO R D,D T UW AH D,1
T IH N,T AH N,109
T IH N,T IY N,1
T IH N,T EH N,1
N G,N D G,110
S IY,S HH IY,11
AA SH W,AA CH T W,2
AA SH W,AA Z W,8
AA SH W,AA CH W,9
AA SH W,AA S T W,4
DH IH S,DH AH S,3
S D AY V,S T OW V,1
P IY T S ER IY,P AY P AH R IY,1
IY AH Z,IY Z,2
 P UH T, B AH T,6
L AA K,L AE K,2
 D R, B R,1
 D R, R,1
R AA P F,R AO T F,1
S UW T IH N,S OW L AH N,1
S UW T IH N,S AH N,1
R IY S,R EY S,7
R IY S,R AE S,1
S IY W,S W,19
S IY W,S IH NG W,4
S IY W,S Y UW W,3
HH AH,HH AE Z AH,1
AH S K IY Y,AH Y,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S AE,1
T EH K,T AE K,1
T EH K,T IH K,1
K N IH,K T IH,1
AH V P,AH P,3
P Y UW T ER AA R,P IH R,2
R B,R AH B,1
R B,R AH V B,1
R AH N,R AE N,1
R AH N,R N,1
M TH EY R,M DH EH R,5
M TH EY R,M DH EH R AA R,1
UW CH AA R L,UW SH AE L,1
IY Z D,IY D,3
K AE L S,K EY S,2
S IY AH M M,S M,2
S IY AH M M,S OW M,1
EY K S,EY T S,2
IY V AA,IY AA,1
M AH N,M AA N,1
M AH N,M EH N,2
M AH N,M IH N,2
T AH K,T AA K,1
M AA D AH L,M EY N L,1
L IH NG K L EY R,L IY R,1
L Z,L,14
L L EY K,L W AY T,1
Y IH R,Y UW,3
 D AE N, TH EY N,1
N S AH,N AH,1
AH Z AO,AH S AO,1
S AH NG,S AO NG,1
N V ER,N F ER,1
S AH Z,S T,1
S AH Z,S IH Z,3
S AH Z,S IY,1
IY AW AO,IY T AO,3
IY AW AO,IY L AO,2
M AH S,M EH S,4
S AA ZH,S AH JH,4
S AA ZH,S AY D,1
N T,N D T,2
N T,N,2
L AO S,L AE S,5
S K,S T K,6
IY AE Z,IY Z,3
IY AE Z,IY IH Z,2
N G R,N K R,7
L IY R,L Y AO R,1
L IY R,L AH R,5
L IY R,L R,22
L IY R,L AH N D R,1
L IY R,L IH R,1
L IY R,L DH AH R,2
L IY R,L AY R,3
L IY R,L D R,2
L IY R,L EH R,1
L IY R,L IH NG R,1
L IY R,L Y UW R,1
R AE G L,R L,2
R AE G L,R AH N L,1
R AE G L,R EH D L,2
R AE G L,R AH L,3
R AE G L,R AH K AH L,3
IY HH AE Z,IY IH Z,1
F D AH N EH,F DH AE T EH,1
IY TH IH NG F,IY HH AE N D F,1
F AO R W,F UH L W,1
CH T UW B,CH B,1
B IY HH,B IH HH,1
EY T AH D,EY V D,1
 B IY IH, DH AH IH,1
D D AA,D T AA,1
N T AY D,N D,1
T AH F AY Y,T IY Y,1
K OW AH,K AH,1
S AY D,S IH D,1
D AH D W,D ER W,1
D N,D AA N,1
N IH R DH,N DH,1
 AH, DH AH,3
IH G G,IH G,1
G OW T,G AH T,1
D TH R UW,D T UW,1
S AH Z S,S T S,1
S AH Z S,S S,1
W EH L,W IH L,5
V SH AH B L IY,V S EY V,1
IY IH Z,IY AE Z,1
D EH N,D AH N,1
D EH N,D AE N,1
D AH S,D S,1
F L,F UH L,1
W UH L,W IH L,4
W UH L,W EH L,1
L D DH,L DH,2
R AH P,R P,3
P R AH S,P ER S,4
AY ER,AY,3
OY L IY R,OY R,1
D IH K,D AH K,1
T S AH S,T S,1
W UH D JH,W IH CH JH,1
 B R OY L AO, AY AO,1
M D IH P,M T UW P,2
K T S DH,K DH,3
L AH G,L G,1
G L OW,G OW,1
L AA R,L AO R,1
 IH F K, AH K,1
 IH F K, AH V K,1
T AH M,T UW M,7
V HH ER ER,V ER,5
JH F,JH D F,6
NG AE T,NG IH T,3
 HH IH Z SH, DH AH SH,2
S UW T,S AH T,1
S UW T,S AE T,1
S UW T,S IY T,1
S UW T,S UH T,4
S UW T,S EH T,3
N G R IY S,N AH S,1
N G R IY S,N V ER S,1
AA SH W AO T ER AO,AA Z AE N AO,1
S K M IY T,S ER T,1
T UW K AE R IY AE N,T EY N,1
N OY L,N AO L,9
N OY L,N ER L,4
N OY L,N IH R L,1
N OY L,N D AO L,2
