D Y AO R D,D HH ER D,21
D Y AO R D,D DH AH D,5
D Y AO R D,D AH D,13
D Y AO R D,D T UW D,4
D Y AO R D,D N OW D,1
T IH N,T AH N,107
N G,N D G,107
S IY,S HH IY,14
AA SH W,AA CH T W,2
AA SH W,AA Z W,7
AA SH W,AA CH W,6
AA SH W,AA S T W,4
AA SH W,AA TH W,1
DH IH S,DH AH S,2
S D AY V,S T OW V,1
 P IY T, IH T,2
 P IY T, T,1
T S ER,T ER,3
ER IY AH Z AA R K AH,ER IH S T AH,1
AH N V IY,AH T IY L IY,1
IY N Y AH,IY AH,2
N T F,N F,2
 P UH T, B AH T,6
L AA K,L AE K,2
 D R, B R,1
R AA P F,R AO T F,1
S UW T,S UH T,5
S UW T,S AE T,2
S UW T,S EH T,4
S UW T,S IY T,1
S UW T,S ER T,1
S IY W,S W,18
S IY W,S IH NG W,2
S IY W,S DH AH W,1
S IY W,S Y UW W,3
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
AH L,AH B L,1
AH L,AH HH OW L,1
AH L,AH B IH L,1
AH L,AH OW L,1
AH L,AH IH L,1
D AH V,D IH V,1
S IY AE,S AE,1
T EH K,T AE K,1
K N IH,K T IH,1
AH V P,AH P,2
P Y UW T ER AA R,P IH R,1
P Y UW T ER AA R,P IH R AO R,1
R B,R AH B,1
AA K IH,AA R T IH,1
R AH N,R AE N,1
R AH N,R N,1
M TH EY R W,M DH AH W,1
UW CH AA R L,UW K AO L,1
L IY Z D,L D,1
D ER T IY D,D D,1
K AE L S,K EY S,1
S IY AH M M,S M,1
EY K S,EY T S,1
EY K S,EY S,1
IY V AA,IY AA,1
M AA D AH L,M EY N L,1
L IH NG K L EY R,L IY R,1
L Z,L,11
L L EY K,L W AY T,1
Y IH R,Y UW,2
 D AE, DH AH AE,1
N S AH Z,N T AY Z,1
S AH NG,S AO NG,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,3
M AH S,M EH S,6
S AA ZH,S AH JH,6
S AA ZH,S AY D,1
IY AE Z,IY Z,2
IY AE Z,IY IH Z,2
N G R,N K R,6
IY T UW K,IY DH AH K,4
IY T UW K,IY K,1
IY AE N OY L IY R AE G L,IY IH NG AW ER L,1
IY HH AE Z,IY IH Z,1
F D AH N EH,F DH AE T EH,1
TH IH NG,TH AE NG,1
NG F,NG K F,1
F AO R W,F AH L W,1
B IY HH,B IH HH,1
EY T AH D,EY V D,1
 B IY IH, DH AH IH,1
N T AY D EH N,N EY JH AH N,1
T AH F AY Y,T IY Y,1
K OW AH,K AH,1
S AY D,S IH D,1
D AH D W,D ER W,1
D N,D AA N,1
N IH R DH,N DH,1
 AH, DH AH,3
B IH G G OW,B OW,1
D TH R UW,D T UW,1
S AH Z S,S T S,1
R EH NG K TH M ER AE,R AE,1
AE K Y AH,AE T AH,1
AH L AH,AH K AH,1
AH L AH,AH V,1
AH S L,AH L,1
L IY,L Z,1
L IY,L,1
W EH L,W IH L,5
W EH L,W IY L,1
V SH AH,V S AH,1
AH B L IY,AH V OY,1
IY IH Z,IY AE Z,1
D EH N,D AH N,1
D AH S,D S,1
F L,F UH L,1
W UH L,W IH L,4
W UH L,W EH L,1
L AH N,L IH N,3
L AH N,L AE N,1
L D DH,L DH,3
R AH P,R P,3
P R AH S,P ER S,4
AY ER,AY,3
R IY S,R AE S,1
R IY S,R EY S,6
R IY S,R EY HH AO R S,1
OY L IY R,OY R,1
R AE G L,R AH N L,1
R AE G L,R EH D L,3
R AE G L,R L,1
R AE G L,R EY JH L,1
R AE G L,R AH L,1
R AE G L,R AH K AH L,2
R AE G L,R IH L,1
D IH K,D AH K,1
T S AH S,T S,1
W UH D JH,W IH CH JH,1
 B R OY L AO, AY AO,1
M D IH P,M T UW P,2
K T S DH,K DH,2
L AA R,L AO R,1
 IH F K, K,1
 IH F K, AH V K,1
T AH M,T UW M,7
V HH ER ER,V ER,4
JH F,JH D F,6
 HH IH Z SH, DH AH SH,2
UW T IH,UW DH IH,1
IH N G R IY S IY,IH NG IH Z SH IY,1
AA SH W AO T ER AO,AA Z AE N AO,1
S K M IY T,S ER T,1
T UW K AE R IY AE N,T EY N,1
N OY L,N AO L,9
N OY L,N ER L,6
N OY L,N IH R L,2
N OY L,N D AE L,2
N OY L,N OW B AH L,1
N OY L,N AE L,3
N OY L,N D OW N L,1
N OY L,N AH L,1
