D Y AO R D,D HH ER D,19
D Y AO R D,D AH D,15
D Y AO R D,D DH AH D,4
D Y AO R D,D T UW D,3
D Y AO R D,D N OW D,2
D Y AO R D,D D,1
T IH N,T AH N,107
T IH N,T EH N,1
N G,N D G,106
S IY,S HH IY,12
AA SH W,AA CH T W,1
AA SH W,AA CH W,9
AA SH W,AA S T W,6
AA SH W,AA Z W,4
DH IH S,DH AH S,2
S D AY V,S T OW V,1
P IY T S ER IY,P AY P AH R IY,1
IY AH Z,IY Z,1
 P UH T, B AH T,6
L AA K,L AE K,1
 D R, B R,1
R AA P F AY V F,R AO T T UW F,1
S UW T,S AA F T,1
S UW T,S AE T,1
S UW T,S IY T,2
S UW T,S UH T,2
S UW T,S EH T,1
S UW T,S T,1
R IY S IY W,R EY W,12
R IY S IY W,R EY Z W,1
HH AH S K IY Y,HH AE Z Y,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S AE,1
T EH K,T AE K,1
K N IH,K T IH,1
AH V P,AH P,2
P Y UW T ER AA R,P IH R,1
R B,R AH B,1
R AH N,R AE N,1
M TH EY R,M DH EH R,5
M TH EY R,M DH EH R AA R,1
L IY Z,L Z,4
K AE L S,K EY S,2
S IY AH M M,S M,2
EY K S,EY T S,2
N W,N AH W,1
N W,N D W,3
IY V AA,IY AA,1
M AH N,M AA N,2
M AH N,M EH N,1
M AH N,M IH N,1
T AH K,T AA K,1
S ER AE M IH,S AY R AH N IH,1
M AA D AH L,M EY N L,1
L IH NG K L EY R,L IY R,1
S IH Z,S AE Z,1
S IH Z,S AH Z,1
L Z,L,11
L Z,L EH S,1
L L EY K,L W AY T,1
Y IH R,Y UW,3
Y IH R,Y AO R,2
 D AE N, TH EY N,1
N S AH,N AH,1
AH Z AO,AH S AO,1
S AH NG,S AO NG,1
N V ER,N F ER,1
S AH Z,S T,1
S AH Z,S IH Z,3
S AH Z,S IY,2
IY AW AO,IY T AO,2
IY AW AO,IY L AO,2
M AH S,M EH S,6
S AA ZH,S AH JH,6
S AA ZH,S,1
S K,S T K,7
S K,S AH Z K,1
N D IY AE Z T,N V AH S T,1
IY T S,IY Z,1
N G R,N K R,11
N G R,N D R,1
S IY W,S W,19
S IY W,S IH NG W,4
S IY W,S Y UW W,3
L IY R,L Y AO R R,1
L IY R,L AY R,4
L IY R,L R,26
L IY R,L AH N D R,1
L IY R,L DH AH R,4
L IY R,L D R,3
L IY R,L AH R,2
L IY R,L IH R,1
L IY R,L EH R,1
L IY R,L IH NG R,1
IY HH AE Z,IY IH Z,1
F D AH N EH,F DH AE T EH,1
IY TH IH NG F,IY HH AE N D F,1
F AO R W,F UH L W,1
 B IY IH, DH AH IH,1
D D AA,D T AA,1
N T AY D,N D,1
T AH F AY Y,T IY Y,1
