D Y AO R D,D HH ER D,51
D Y AO R D,D N OW D,3
D Y AO R D,D AH D,20
D Y AO R D,D DH AH D,2
D Y AO R D,D D,5
D Y AO R D,D S OW D,1
T IH N,T AH N,45
T IH N,T SH IY AH N,1
T IH N,T EH N,1
T IH N,T AY N,1
T IH N,T IY ZH AH N,1
N G,N D G,51
S IY,S HH IY,33
S IY,S SH IY,2
S IY,S AH Z HH IY,2
S IY,S T HH IY,1
L Y IH R,L HH ER,15
L Y IH R,L EY ER,1
L Y IH R,L,1
D AA N,D AW N,2
D AA N,D AE N,1
N T AE,N AE,12
N T AE,N D AE,6
N T AE,N M AE,1
N T AE,N HH AE,1
AE S K M,AE Z M,30
AE S K M,AE T M,1
M IY T UW K,M AE D AH K,1
M IY T UW K,M AE N IH K,2
M IY T UW K,M EY K,12
M IY T UW K,M EY D K,7
M IY T UW K,M AA N IH K,1
M IY T UW K,M EY D AH K,3
M IY T UW K,M AY K,2
M IY T UW K,M EH D AH K,2
M IY T UW K,M AE K,1
IY AE N,IY AH N,29
IY AE N,IY IH N,25
IY AE N,IY IH NG OW N,4
IY AE N,IY IH NG AA N,3
IY AE N,IY IH T AA N,1
IY AE N,IY N,1
IY AE N,IY AA N,1
IY AE N,IY IH T OW N,1
N OY,N D OY,5
 HH IH, IH T IH,2
 HH IH, IH,4
 HH IH, DH IH,1
AE P T,AE T,1
N W,N D W,6
N W,N D AH W,1
S D AY,S AY,1
AY V S,AY S,1
M D F,M F,1
P R,P AA R,1
P R,P OW R,1
P R,P EH R,1
R AH D,R D,1
D AH K SH AH,D AH,1
M EY F,M IY F,1
L F,L Z F,1
L F,L,1
L F,L TH F,2
 P IY, HH IY,1
 P IY, IH T IY,1
IY T S ER IY AH Z,IY SH UH R IH Z,1
Z AA R K,Z AH K,1
R AH K,R K,2
R AH K,R AY K,1
K L AH N,K AA N,1
N CH,N,1
 P UH T, B AH T,7
B UH CH ER B L AA K T,B EY S R AY T,1
T EY B AH,T AH,2
AH L IH N,AH N,5
N DH,N D DH,5
N DH,N T DH,1
 D R AA P F AY V F, B AH T AE F,1
F AO R M Z IH N DH AH,F AH,1
AH B AA K S B IH F AO R Y UW G,AH G,1
R D R,R G R,2
OW B K,OW K,1
D AA R K S UW T,D DH AE T,1
D AA R K S UW T,D T,1
R IY S,R EY S,17
R IY S,R AE S,1
R IY S,R EY T AH S,1
R IY S,R AH S,1
AA SH W,AA Z W,29
AA SH W,AA S T W,2
AA SH W,AA R W,1
 D AA N T AE, S OW AE,12
 D AA N T AE, OW AE,9
 D AA N T AE, AE,21
 D AA N T AE, AO L DH AE,1
 D AA N T AE, HH AE,1
 D AA N T AE, HH IY AE,7
 D AA N T AE, AY AE,3
 D AA N T AE, S OW DH AE,1
 D AA N T AE, AO L AE,1
 D AA N T AE, HH IY HH AE,5
 D AA N T AE, S OW AY AE,2
 D AA N T AE, SH IY AE,1
 D AA N T AE, DH OW AE,1
 D AA N T AE, AE Z AE,1
 D AA N T AE, OW AY AE,1
 D AA N T AE, AO L AY AE,1
 D AA N T AE, Y UW AE,2
 D AA N T AE, OW M AE,1
 D AA N T AE, M AE,1
AE S K M IY T UW K,AE Z AY K,1
AE S K M IY T UW K,AE Z AH K,5
AE S K M IY T UW K,AE Z L EY D AH K,1
K AE R,K EH R,14
K AE R,K AA R,8
K AE R,K AO R,1
K AE R,K Y UH R,1
K AE R,K AH R,1
K AE R,K R,1
R IY AE N,R AH N,7
R IY AE N,R AH S AH N,1
R IY AE N,R N,3
R IY AE N,R Y UW N,1
R IY AE N,R IH N,1
N OY L IY,N D IY,1
N OY L IY,N AE R IY,1
N OY L IY,N D AY IY,1
N OY L IY,N IY,1
IY R AE G,IY G,2
G L,G AH L,2
L AY K DH AE T,L,1
L AY K DH AE T,L EY T,1
L AY K DH AE T,L Y AH,2
L AY K DH AE T,L AH,1
L AY K DH AE T,L AH S,1
L AY K DH AE T,L TH,1
L AY K DH AE T,L IY T,2
L AY K DH AE T,L AH T,1
 HH, AE Z HH,1
HH AH S K IY,HH IY,1
IY Y AH,IY AH,1
AH NG M AE N,AH N,1
N HH,N D HH,4
M AA K D,M AO R D,1
AA HH AA,AA AA,1
IY TH AO T,IY Z AE T,1
IY TH AO T,IY T,1
L AH SH D AH V AO,L AO,1
AO R S,AO S,1
S IY AE T L,S V OW K AH L,1
L AE S,L IH S,1
 DH AH S T EH, AE Z EH,1
EH K N IH K AH L,EH OW L,1
L IH F IH SH AH,L IY AH,1
N S IY IH,N IH,1
IH Z AH CH,IH S CH,1
IY V D AE T,IY T,1
V AE,V HH AE,1
AE K CH,AE CH,1
CH AH W AH L IH K S P IH R IY,CH ER IY,1
IY AH N S,IY Z,1
AA B JH,AA JH,1
JH EH K T,JH AH S T,1
T S M EY D AH,T AH,1
AH V P Y UW T ER AA R B,AH B,1
B Y UW T,B AW T,1
T AH F AH L,T,1
NG D UW AA N,NG AY AH N,1
DH AH S,DH IH S,10
DH AH S,DH IH S S,2
S P AY,S AY,2
D ER W,D IY AH W,1
W EH B G L,W IY K L,1
W EH B G L,W IH L,1
L IH S AH N D,L OW Z D,1
L IH S AH N D,L IY Z D,1
 CH IY, SH IY,7
IY P S,IY S,4
AA K IH NG Z R,AA R,1
AH N DH AH F ER S,AH R S,1
M TH EY R,M DH EH R,7
R W AO R N,R AH N,1
R W AO R N,R AA N,1
N,N D,3
 D AA N T D, OW D,1
 D AA N T D, S OW D,1
 D AA N T D, AY D,1
UW CH AA R L,UW K AE L,2
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
AH Z,AH V Z,1
 K AE L S, HH IY S,1
S IY AH,S AH,1
AH M M,AH M,1
M EY K S B OW N Z AH,M AH,1
D T IY TH S T R AO NG,D,1
R IY S IY W AA SH,R EY IH SH,5
R IY S IY W AA SH,R EY AE SH,1
 D AA, T AA,1
 D AA, DH AE T AA,1
 D AA, DH EH R AA,1
 D AA, AA,2
 D AA, OW AA,1
AA N T AE S,AA M AH S,1
S K M,S M,9
S K M,S OW AY M,1
S K M,S AY M,1
K AE R IY AE N OY,K Y ER IH NG OY,1
L IY R,L R,18
L IY R,L DH AH R,14
L IY R,L Y AH R,1
L IY R,L IH R,3
L IY R,L AH R,7
L IY R,L EH R,3
L IY R,L HH AH R,1
L IY R,L D R,1
L IY R,L AA R,1
L IY R,L AO R,1
 IH N, AH N,2
EY JH N,EY N,1
IY B AA,IY AA,1
IY B AA,IY P AA,1
R G AH,R K AH,1
N Z AE Z AH,N S AA AH,1
IY V AA N,IY F AW N,1
DH OW Z,DH IY Z,1
M AH N,M AA N,3
M AH N,M AE N,6
M AH N,M OW N,2
M AH N,M EH N,3
T AH K,T AA K,1
T AH K,T K,1
 M AH, B AH,1
T IH R,T HH IY R,1
T IH R,T EH R,1
T IH R,T OW R,1
T IH R,T R,1
R IY AH L Z,R IH Z,1
S ER AE M,S EH M,1
M IH K M AA D AH,M AH N AH,1
L IH NG K L EY R,L IY R,1
B AH F,B OW TH,1
T AH F IH,T IH,1
IH SH AH,IH K Y AH,1
IH SH AH,IH S T AH,1
L IH N T,L EY T,1
T EH L,T L,1
T EH L,T IY L,1
L AH JH AH,L AY S AH,1
 DH AH, AH,24
 DH AH, Y EH S AH,1
W ER M AA,W AO R AA,3
N DH AH HH,N HH,1
HH UH K,HH ER,1
AH CH OW,AH SH OW,1
OW Z AH N,OW EH N,1
N F Y UW W,N IY W,1
L Z,L,18
 OW N L, AO L,9
L IY DH,L DH,5
L IY DH,L OW DH,1
L IY DH,L AY DH,1
L IY DH,L AH DH,1
AH M OW S,AH AH S,1
AH M OW S,AH L AE S,1
T AH K AA,T AA,1
AA M P L IH,AA N IH,1
T IH S,T AH S,4
T S AH,T AH,6
 DH AH F IH, HH IY IH,1
IH SH B,IH Z B,1
L EY K,L AY T,1
S UW T IH N G R,S IY K R,2
S UW T IH N G R,S W AA R,1
R IY S IY W,R AH T Y UW W,1
R IY S IY W,R EH ZH ER D W,1
R IY S IY W,R EY W,10
R IY S IY W,R AY Z W,2
R IY S IY W,R EY T Y UW W,1
R IY S IY W,R EY T W,1
R IY S IY W,R EY Z Y UW W,1
R IY S IY W,R AH T W,1
R IY S IY W,R W,1
ER AO L Y,ER AH Y,15
 D AA N, W AH N,7
 D AA N, AH N,6
 D AA N, JH OW N,1
 D AA N, DH EH N,8
 D AA N, DH AH W AH N,2
 D AA N, IH N AE N,1
N T AE S K M,N M,6
N T AE S K M,N EH G Z M,1
N OY L IY R,N D AO R,3
N OY L IY R,N D AY AA R,1
N OY L IY R,N AO R,7
N OY L IY R,N AH R,4
N OY L IY R,N EH R,1
N OY L IY R,N DH AH R,2
N OY L IY R,N IH R,1
N OY L IY R,N AO R DH AH R,1
N OY L IY R,N D R,1
N OY L IY R,N R,1
N OY L IY R,N Y AO R,1
N OY L IY R,N D OW R,2
N OY L IY R,N D HH AO R,1
R AE G L,R AH K AH L,8
R AE G L,R L,6
R AE G L,R EY JH L,2
R AE G L,R EH L,1
R AE G L,R AY T L,4
R AE G L,R IH L,2
R AE G L,R D ER L,2
R AE G L,R EY L,4
R AE G L,R EH D L,2
R AE G L,R AH L,3
R AE G L,R ER L,1
R AE G L,R DH AH AH L,1
R AE G L,R EY S L,1
R AE G L,R T ER D L,1
L AY K DH,L DH,15
L AY K DH,L IY DH,3
L AY K DH,L AH DH,1
 D AE N S AH Z AO, AA AO,1
L T ER N,L DH AH N,1
N EY T AH D W,N UW Z W,1
DH S AH NG AO,DH AE N AO,1
R S P OW K AH,R AH,1
N V ER S AH Z,N JH,1
 M AY F AA, AA,1
DH ER R,DH EH R,1
R AE N HH,R HH,1
T P ER S W EY,T F R EY,1
EY S IH V L,EY L,1
 DH AH K, IH T K,2
 DH AH K, HH IY K,1
 DH AH K, K,2
IY AW AO,IY T AO,1
T S M,T M,7
 K L IH F W, HH IY R W,1
 K L IH F W, HH IY W,1
Z S UW DH D B,Z AH B,1
B AY DH AH L AH G ZH ER,B IY IH SH ER,1
ER IY AH S M AH S AA ZH,ER IH N,1
IY CH AH,IY T AH,1
IY CH AH,IY AH,1
N T,N D T,7
N T,N,7
N T,N S,1
N T,N AA T,1
N T,N D DH AE T,1
M L AO S K,M W AA Z K,2
K OW AH,K AH,1
S AY D,S IH D,1
S AY D,S AE D,1
D AH,D ER AH,1
D AH,D DH AH,1
AH D W IH DH DH AH B,AH T B,1
 JH EY, DH EY,1
EY N M,EY M,2
