D Y AO R D,D HH ER D,60
D Y AO R D,D AH D,13
D Y AO R D,D D,7
D Y AO R D,D DH AH D,6
D Y AO R D,D S IY N D,1
D Y AO R D,D T UW D,1
D Y AO R D,D HH ER D D,1
D Y AO R D,D HH AE D HH ER D,1
UW T IH N,UW N AH N,2
UW T IH N,UW D AH N,1
UW T IH N,UW D N,1
N G,N D G,33
IY S IY,IY F HH IY,1
IY S IY,IY HH IY,1
IY S IY,IY V Z HH IY,1
IY S IY,IY IY,1
L Y IH R,L HH ER,22
L Y IH R,L IY,3
L Y IH R,L,1
 D AA, T AA,1
 D AA, G AA,1
 D AA, W AA,1
 D AA, AA,5
 D AA, S OW F AA,1
 D AA, JH AA,1
 D AA, DH EH R AA,2
 D AA, DH AH AA,1
N T AE S K M IY T UW K AE R IY AE N,N AH W AA N D AH AH N,1
N T AE S K M IY T UW K AE R IY AE N,N W ER D AO N,1
N OY,N D OY,3
K DH AE T,K AH,4
K DH AE T,K,7
T AH N W AA Z,T ER Z,1
Z TH IH N,Z DH EH N,1
Z TH IH N,Z T EH N,1
S D AY,S AY,1
AY V S,AY S,1
M D F,M F,1
 P IY, HH IY,4
IY T S,IY S,2
IY T S,IY Z,2
IY T S,IY,1
S ER IY AH Z AA R,S AE R,2
R K AH,R AH,2
AH N V IY N,AH S AY N,1
N Y AH N T F AO R AH,N HH ER AH,1
K W IH K L AH N,K EY N,1
N CH,N,2
 P UH T, B AH T,5
 P UH T, IH T,1
AH B UH CH ER,AH W AO T ER,1
AH B UH CH ER,AH K ER,1
ER B L AA K T,ER W AE G T,1
EY B AH,EY L AH,2
EY B AH,EY SH AH,1
AH L IH N,AH N,5
AH L IH N,AH N T IY N,1
N DH,N D DH,7
N DH,N Z DH,1
ER AA ZH,ER L Z,1
ER AA ZH,ER S,2
ER AA ZH,ER Z,1
 D R, F R,1
 D R, R,1
R AA P F,R AH M F,1
F AY V,F EY V,1
V F AO R M Z IH N DH AH,V ER AH,1
B AA K S B,B AH L B,1
B AA K S B,B OW B,1
W AO R D,W ER D,1
R OW B K AH,R AH,1
AH N S IH S T S,AH G AA S,1
AH V OW N L IY,AH T IY,1
AH N D B L AW S AH Z,AH V W AY V Z,1
L AA R AO F AH,L AH,1
L AA R AO F AH,L AY V AH,1
AH N IH,AH V IH,1
D Y AO R D AA R K S,D HH ER AE T S,1
D Y AO R D AA R K S,D AH S,4
D Y AO R D AA R K S,D HH ER S,1
D Y AO R D AA R K S,D T EY S,1
D Y AO R D AA R K S,D HH ER AH S,1
S UW T IH N,S OW AH N,4
S UW T IH N,S AH N,3
S UW T IH N,S IY AE N,5
S UW T IH N,S ER IY N,1
S UW T IH N,S EH N,1
S UW T IH N,S ER AH N,1
S UW T IH N,S AA D AH N,1
S UW T IH N,S ER EH N,1
S UW T IH N,S AE N,2
N G R,N D R,2
N G R,N K R,24
N G R,N R,1
N G R,N D K R,1
R IY S IY W AA SH W AO T ER,R IH HH ER,1
ER AO L,ER S AH L,1
 D AA N T AE, SH IY HH AE,1
 D AA N T AE, S OW AE,20
 D AA N T AE, AE,24
 D AA N T AE, OW AE,2
 D AA N T AE, AY L AE,1
 D AA N T AE, Y UW AE,1
 D AA N T AE, HH IY AE,4
 D AA N T AE, M AE,1
 D AA N T AE, SH IY AE,2
 D AA N T AE, W EH L AE,2
 D AA N T AE, Y IY AE,1
 D AA N T AE, HH IY HH AE,2
 D AA N T AE, AY AE,3
 D AA N T AE, S OW L AE,1
 D AA N T AE, S OW AY AE,3
 D AA N T AE, TH R OW IH NG DH AH AE,1
AE S K M IY T UW K,AE Z AH K,4
AE S K M IY T UW K,AE Z AY K,3
K AE R,K EH R,9
K AE R,K AA R,13
K AE R,K AH R,3
K AE R,K Y UH R,2
K AE R,K OW R,1
R IY AE N,R AH N,12
R IY AE N,R IH N,4
R IY AE N,R AO N,1
R IY AE N,R Y UW N,1
R IY AE N,R N,7
R IY AE N,R AH N D OW N,1
R IY AE N,R EH V ER AH N,1
R IY AE N,R IH NG AA N,1
N OY L IY R AE G L,N D AH HH EH L,1
N OY L IY R AE G L,N D AY AH L,1
N OY L IY R AE G L,N D AH L,1
N OY L IY R AE G L,N T AH L,1
N OY L IY R AE G L,N AH L,1
N OY L IY R AE G L,N AH DH ER L,1
N OY L IY R AE G L,N W ER D L,1
N OY L IY R AE G L,N D L,1
N OY L IY R AE G L,N L,4
N OY L IY R AE G L,N AH V AH L,1
N OY L IY R AE G L,N DH IH T L,1
L AY K DH AE T,L TH,1
L AY K DH AE T,L AH N T,1
L AY K DH AE T,L EH T,2
L AY K DH AE T,L,4
L AY K DH AE T,L Y AH,2
L AY K DH AE T,L AH,1
L AY K DH AE T,L AH N D,1
L AY K DH AE T,L AH N,1
L AY K DH AE T,L AH T,1
L AY K DH AE T,L IH F,1
 HH AH, AE Z AH,1
AH S K IY Y,AH Y,1
M AA K D,M AO R D,1
AA HH AA,AA AA,1
IY TH AO T,IY G AA T,1
T AH L,T HH IH Z L,1
T AH L,T L,1
L AH,L AE S OW AH,1
L AH,L D DH AH,1
L AH,L DH AH,1
L AH,L IY N AH,1
L AH,L V AH,1
L AH,L IH M AH,1
L AH,L AO F AH,1
L AH,L N AH,1
AH SH D,AH N D,1
D AH V AO R S IY AE T L AE S T,D W AA Z,1
 DH AH, AE Z AH,1
 DH AH, AH,19
 DH AH, B AH,2
