D Y AO R D,D HH ER D,20
D Y AO R D,D AH D,30
D Y AO R D,D D,2
D Y AO R D,D DH AH D,4
D Y AO R D,D T UW D,2
D Y AO R D,D N OW D,1
T IH N,T AH N,94
T IH N,T N,1
T IH N,T EH N,1
N G,N D G,94
N G,N AH G,1
S IY,S HH IY,11
AA SH W,AA CH T W,1
AA SH W,AA Z W,14
AA SH W,AA CH W,4
AA SH W,AA S T W,7
 D AA N T, T,8
 D AA N T, AE T,3
T AE,T UW AE,8
T AE,T S AE,1
Z TH IH,Z L IH,1
N AH,N IY AH,1
N AH,N DH AH,4
N AH,N D AH,2
N AH,N T AH,1
AH N D HH AE G ER D AH,AH JH AH,1
DH IH S,DH AH S,2
S D AY,S K AY,1
AY V S,AY S,1
 P IY, HH IY,1
IY T S,IY S,1
IY T S,IY Z,1
S ER IY AH Z,S EH Z,1
 P UH T, B AH T,6
L AA K,L AE K,1
 D R, B R,1
R AA P F,R AO T F,1
R Y UW G,R HH IY G,2
Y AO R D AA R K S,Y EH T T UW S,1
R IY S,R EY S,9
R IY S,R OW S,1
R IY S,R AE S,1
S IY W,S W,25
S IY W,S IH NG W,2
 HH AH, AE Z AH,1
AH S K IY Y,AH Y,1
S EH D W,S AE T W,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
IY TH AO,IY S AO,1
AO T AH,AO AH,1
AH L AH SH,AH B UH SH,1
D AH V,D IH V,1
S IY AE,S AE,1
 DH AH S, AE S,1
 DH AH S, S,1
T EH K N IH K AH,T AH,1
AH L IH F IH SH AH,AH R AH,1
AH N S,AH S,1
IY IH,IY AH N IH,1
AH V P Y,AH F Y,1
UW T ER AA R,UW N IY R,1
R B Y UW T AH F AH,R IY AH,1
 CH IY P S, DH AH S,5
AA K IH,AA R T IH,1
R AH N,R AE N,1
M TH EY R W,M DH AH W,1
UW CH AA R L,UW K AE L,1
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
 K AE L S, HH AW S,2
S IY AH M M,S EH M,1
S IY AH M M,S OW M,1
S IY AH M M,S M,1
M EY K S B OW,M IY T OW,1
IY V AA,IY AA,1
M AH N,M AA N,1
M AH N,M OW N,2
M AH N,M AE N,4
M AH N,M IH N,1
S ER AE M,S EH M,1
IH K M AA D AH L,IH N OW L,1
L IH NG K,L K,1
L Z,L,14
S AH V DH AH,S AH,1
W AA SH W,W IH DH W,4
W AA SH W,W IH TH W,1
Y IH R,Y UW,2
Y IH R,Y AO R,1
 D AA N, B OW N,1
 D AA N, W AH N,1
N T AE S K M,N Z M,1
S AH NG,S AO NG,1
K AH N,K IH N,1
 M AY, AY,2
S Y,S T IY Y,1
 DH AH, AH,6
 DH AH, B AH,1
IY AW AO,IY T AO,3
IY AW AO,IY L AO,1
T S M,T M,7
T S M,T ER M,1
K L IH F W,K OW W,1
M AH S,M EH S,5
S AA ZH,S AH JH,5
S AA ZH,S AY D,1
L AO S,L AE S,6
S K,S T K,6
IY AE Z,IY Z,3
IY AE Z,IY IH Z,1
T IH N G,T AH G,1
T IH N G,T G,6
T IH N G,T EY K G,1
IY AE N OY L,IY AH L,2
IY AE N OY L,IY IH NG AO L,1
IY AE N OY L,IY IH T ER L,1
IY AE N OY L,IY IH T AO L,6
L IY R,L OW R,1
L IY R,L DH AH R,5
L IY R,L R,26
L IY R,L Y AA R,1
L IY R,L AH N D R,1
L IY R,L D R,2
L IY R,L IH R,1
L IY R,L AH R,2
L IY R,L AY R,2
R AE G L,R L,2
R AE G L,R EY L,1
