D Y AO R D,D HH ER D,36
D Y AO R D,D AH D,18
D Y AO R D,D D,5
T IH N,T AH N,55
T IH N,T AA N,1
T IH N,T EH N,1
T IH N,T EY N,1
N G,N D G,43
N G,N EH G,1
AA SH W,AA CH T W,1
AA SH W,AA S T W,20
AA SH W,AA Z W,14
L Y IH R,L HH ER,28
L Y IH R,L,4
L Y IH R,L IY,3
L Y IH R,L UW,1
L Y IH R,L AH V HH ER,2
 D AA N T AE, DH AH R AE,1
 D AA N T AE, AE,70
 D AA N T AE, L AE,2
 D AA N T AE, HH IY AE,5
 D AA N T AE, S OW AE,3
 D AA N T AE, OW AE,1
 D AA N T AE, DH AH L AE,1
 D AA N T AE, S OW HH AE,1
 D AA N T AE, AY AE,2
 D AA N T AE, M AE,1
AE S K M IY T UW K AE R,AE Z EH R,1
AE S K M IY T UW K AE R,AE Z HH EH R,1
AE S K M IY T UW K AE R,AE Z N IH R,1
IY AE N,IY IH N,12
IY AE N,IY N,2
IY AE N,IY IH NG OW N,2
IY AE N,IY AH N,7
IY AE N,IY AA N,5
IY AE N,IY IH T OW N,3
IY AE N,IY IH NG AA N,1
IY AE N,IY IH T AA N,1
IY AE N,IY D OW N,1
IY AE N,IY OW N,1
IY AE N,IY HH IH M AA N,1
N OY L,N R IH L,1
N OY L,N ER L,3
N OY L,N L,14
N OY L,N IH L,2
N OY L,N D G EY L,1
N OY L,N AA L,1
N OY L,N D HH AA R D L,1
N OY L,N OW N L,4
N OY L,N AH L,3
N OY L,N AO L,6
N OY L,N D AO L,1
N OY L,N AH W AO L,1
N OY L,N IH R L,1
N OY L,N D ER L,1
N OY L,N W AO L,1
N OY L,N HH OW L,1
N OY L,N IY L,1
AE G L,AE N L,6
AE G L,AE T L,8
AE G L,AE NG K L,1
 HH IH, IH T IH,1
Z TH IH N,Z T IY N,1
N AH N D HH AE G ER,N EY JH ER,1
ER D AH N,ER IH N,1
N D HH,N HH,7
DH IH S,DH AH S,4
S D AY,S AY,1
AY V S,AY D S,1
 P IY T S, DH AH S,2
 P IY T S, IH N S,1
 P IY T S, S UW S,1
S ER IY,S IH R IY,2
IY AH Z,IY Z,3
T F AO,T AO,2
T F AO,T P AO,1
R AH K,R K,1
R AH K,R AE K,1
K L AH N,K AA N,1
N CH,N,2
 P UH T, B AH T,1
 P UH T, IH T,1
 P UH T, W AH T,1
L AA K,L AE K,2
 D R, R,1
AA P F AY V F AO R M,AA D AH M,1
M Z IH N,M AH N,1
N DH AH B,N T B,1
 HH ER W, F AO R W,1
AO R D R,AO R,1
R OW B K AH,R AH,1
N S IH S T,N T,1
S K ER T,S T AA R T,1
AH N D B L,AH V L,1
L AW S,L AO S,1
L AW S,L AE S,1
D Y AO R D AA R K S,D HH ER HH AE T S,1
D Y AO R D AA R K S,D N OW AH S,1
D Y AO R D AA R K S,D AH AH S,1
D Y AO R D AA R K S,D AH S,4
D Y AO R D AA R K S,D T UW G OW S,1
D Y AO R D AA R K S,D HH EY S,1
S UW T IH N,S OW AH N,1
S UW T IH N,S EH N,1
S UW T IH N,S AH N,7
S UW T IH N,S AE D AH N,1
S UW T IH N,S AW N,1
S UW T IH N,S AY R EH N,1
R IY S,R AA S,1
R IY S,R EY S,17
R IY S,R AH S,3
R IY S,R S,1
R IY S,R EH S,1
IY W AA SH W,IY AH Z W,1
IY W AA SH W,IY DH D W,1
IY W AA SH W,IY K R AH T W,1
IY W AA SH W,IY W,1
 HH AH S K IY Y, AE Z Y,1
K D IH,K HH IH,1
IH S T EY,IH Z F EY,1
S T,S,5
S T,S ER T,1
S T,S IH T,1
S T,S IY T,1
S T,S AW T,1
 AA HH AA, AA,1
AA HH IY TH,AA TH,1
T AH L AH,T HH IY M AH,1
AH SH D AH V,AH S T AE V,1
V AO R S IY AE T,V AH K AH T,1
 DH AH, AH,19
 DH AH, K AH,1
T EH K N,T AH N,1
N IH K AH L IH,N IH,1
Z AH CH IY,Z S IY,1
IY V D AE,IY N AE,1
 AA B JH EH K T S M, AY M,1
 AA B JH EH K T S M, HH IY M,1
AH V P Y UW T ER,AH HH ER,1
AH V P Y UW T ER,AH F AY ER,1
ER AA R B Y UW T,ER EH T,1
T AH F AH,T IH K AH,1
 DH AH M, M,4
NG D UW AA N DH AH,NG EY EH S T AH,1
AH S P AY D ER W EH B G L IH S AH,AH V EY SH AH N AH,1
D IH,D HH IH,2
D IH,D IY S IH,1
IH N DH AH S,IH Z S,1
 CH IY, SH IY,4
IY P S,IY S,5
IY P S,IY T S,1
IY P S,IY S OW S,1
R AH N DH,R AE DH,1
DH AH F,DH ER F,1
M TH EY R W,M DH AH W,1
M TH EY R W,M HH ER W,1
 D AA N T D UW CH AA R L, AY K AO L,1
 D AA N T D UW CH AA R L, K AE L,1
L IY Z D ER T IY D,L D,1
D IH SH AH Z,D,1
 K AE L S, T UW S,1
 K AE L S, IH N V EH S,1
S IY AH M M EY K S B OW N Z AH N,S AE N,1
N D T IY TH S T R AO NG,N,1
N G R,N D R,7
N G R,N B R,1
N G R,N R,9
N G R,N K R,13
N G R,N D K R,1
N G R,N D B R,3
N G R,N T R,1
R IY S IY W AA SH W,R OW Z W,4
R IY S IY W AA SH W,R EY N W,1
R IY S IY W AA SH W,R EY W,1
R IY S IY W AA SH W,R EY K W,1
R IY S IY W AA SH W,R EY B AE TH W,1
IY T UW K,IY K,14
IY T UW K,IY AE K,1
IY T UW K,IY DH AH K,1
R IY AE N OY L IY R AE G L AY K DH AE T,R IH JH,2
R IY AE N OY L IY R AE G L AY K DH AE T,R AH,1
R IY AE N OY L IY R AE G L AY K DH AE T,R EY JH D,1
R IY AE N OY L IY R AE G L AY K DH AE T,R IH JH IH Z,1
 IH N W EY JH N AH G OW SH, R AE SH,1
IY EY SH AH,IY OW S AH,1
N Z DH AH,N EY SH AH,1
AH IH N,AH N,1
N D AH,N TH IY AH,1
