D Y AO R D,D HH ER D,18
D Y AO R D,D T UW D,5
D Y AO R D,D AH D,16
D Y AO R D,D DH AH D,6
D Y AO R D,D D,1
D Y AO R D,D N OW D,1
T IH N,T AH N,111
T IH N,T EH N,1
N G,N D G,111
S IY,S HH IY,12
AA SH W,AA CH T W,1
AA SH W,AA Z W,6
AA SH W,AA CH W,14
AA SH W,AA S T W,2
AA SH W,AA CH K W,1
DH IH S,DH AH S,3
S D AY,S K AY,1
AY V S,AY Z S,1
T S ER,T ER,1
ER IY AH Z AA,ER AA,1
 P UH T, B AH T,7
L AA K,L AE K,2
 D R, B R,1
 D R, R,1
R AA P F,R AO T F,1
D AA R K S,D UW S,3
D AA R K S,D AO G S,2
S UW T IH N,S OW AH N,2
S UW T IH N,S AH N,1
R IY S,R EY S,8
S IY W,S W,22
S IY W,S IH NG W,6
S IY W,S Y UW W,1
S IY W,S IH W,1
S IY W,S AH Z W,1
IY T UW K,IY DH AH K,3
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S AE,1
S T EH K,S DH AH AH K,1
K N,K AA N,1
N IH K AH,N AH,1
AH L IH F IH SH AH N,AH T AY N,1
N S IY IH,N IH,1
AH V P,AH P,1
P Y UW T ER AA R,P IH R,1
R B,R AH B,1
M TH EY R,M DH EH R,5
UW CH AA R L,UW K AO L,1
L IY Z D,L D,1
D ER T IY D,D D,1
K AE L S,K EY S,1
K AE L S,K AA N S,1
S IY AH M M,S M,1
EY K S,EY T S,1
N W,N AH W,1
N W,N D W,3
N S,N D S,1
N S,N,1
L Z S,L S,1
L Z,L,11
L L EY K,L W AY T,1
Y IH R,Y UW,2
Y IH R,Y AO R,3
N V ER,N F AY ER,1
ER S AH Z,ER Z,1
M IY AW AO,M EY IH T AO,1
M IY AW AO,M AO,1
 K L, L,1
L IH,L UW IH,1
IH F W AA Z S,IH S S,1
M AH S,M EH S,3
M AH S,M IH S,1
S AA ZH,S AH JH,3
S AA ZH,S AY D,1
S K,S T K,6
IY AE Z,IY Z,4
IY AE Z,IY IH Z,1
N G R,N K R,15
L IY R,L Y AO R,1
L IY R,L AH R,2
L IY R,L R,26
L IY R,L AH N D R,1
L IY R,L DH AH R,3
L IY R,L D R,2
L IY R,L IH N R,1
L IY R,L AY R,2
R AE G L,R EY JH L,1
R AE G L,R AH K AH L,3
R AE G L,R EH D L,1
R AE G L,R L,4
F D AH N,F B IH N,1
 B IY IH, IH,1
D AA N,D AH N,1
D AA N,D AW N,1
N T AY D EH N T,N AE T,1
AH F AY Y ER S EH L F,AH AH R,1
