D Y AO R D,D HH ER D,24
D Y AO R D,D AH D,13
D Y AO R D,D DH AH D,4
D Y AO R D,D IH N D,1
D Y AO R D,D D,2
D Y AO R D,D N OW D,2
D Y AO R D,D AH D D,1
D Y AO R D,D T UW D,2
T IH N,T AH N,115
T IH N,T EH N,1
N G,N D G,112
S IY,S HH IY,9
AA SH W,AA CH T W,1
AA SH W,AA Z W,5
AA SH W,AA CH W,14
AA SH W,AA S T W,4
DH IH S,DH AH S,2
S D AY V,S T OW V,1
 P IY T, D IH T,1
 P IY T, IH T,2
 P IY T, V IH K T,1
 P IY T, T,2
T S ER IY AH Z AA R,T IH R,1
R K AH N V IY,R IY,1
IY N Y AH N,IY ER EY T IH N,1
N T F,N F,1
 P UH T, B AH T,7
 D R, B R,1
R AA P F,R AO T F,1
Z IH N DH,Z AH V DH,1
UW T IH N,UW N AH N,1
UW T IH N,UW N,1
R IY S,R EY S,5
R IY S,R AY S,1
R IY S,R AH S,1
S IY W,S W,21
S IY W,S IH NG W,6
S IY W,S Y UW W,1
S IY W,S DH AH W,1
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S AE,1
S T EH K N IH K AH,S DH AH,1
AH L IH,AH M IH,1
AH L IH,AH N IH,1
IH F IH SH AH,IH CH OW K AH,1
N S IY IH,N IH,1
AH V P,AH P,1
P Y UW T ER AA R,P IH R,1
R B,R AH B,1
R AH N,R AE N,1
M TH EY R,M DH EH R,4
M TH EY R,M DH EH R AA R,1
UW CH AA R L,UW TH AH L,1
L IY Z D ER T,L EH S T,1
T IY D IH SH AH,T R AH,1
AH Z,AH S,1
K AE L S,K EY S,1
S IY AH M M,S M,1
S IY AH M M,S UW M,1
EY K S,EY T S,1
W EY JH N,W IH CH N,1
IY V AA,IY AA,1
M AH N,M AA N,1
M AH N,M OW N,1
M AH N,M EH N,1
M AH N,M IH N,1
M AH N,M AO N,1
T AH K,T AA K,1
Z S ER AE M,Z Y AH R IY M,1
M IH K,M AH K,1
M AA D AH,M AH,1
IH NG K L,IH L,1
L EY R,L AH R,1
L Z,L,12
L L EY K,L W AY T,1
Y IH R,Y UW,5
Y IH R,Y AO R,2
Y IH R,Y EH T,1
IY T UW K,IY DH AH K,3
IY T UW K,IY AY K,2
K AE R,K EH R,2
K AE R,K Y UH R,1
K AE R,K R,1
R IY AE,R AE,2
R AE G L AY K DH AE T,R IY D IH TH,1
R AE G L AY K DH AE T,R AH,1
 D AE, DH AH AE,1
S AH Z,S ER Z,1
S AH Z,S IH Z,2
S AH Z,S IY,1
S AH Z,S T HH IH Z,1
S AH Z,S AY Z,3
S AH NG,S AO NG,1
IY AW AO,IY T AO,1
IY AW AO,IY L AO,1
IY AW AO,IY AO L AO,1
T S M,T M,3
 K L IH F W, W IY W,1
UW DH D B,UW N B,1
UW DH D B,UW TH B,1
M AH S,M EH S,4
S AA ZH,S AH JH,4
S AA ZH,S AY D,1
S K,S T K,3
IY AE Z,IY Z,2
IY AE Z,IY IH Z,2
N G R,N K R,9
N G R,N D R,2
N G R,N D P R,1
N G R,N D K R,1
L IY R,L R,30
L IY R,L AH R,3
L IY R,L DH AH R,3
L IY R,L EH R,2
L IY R,L D R,2
L IY R,L IH N R,1
L IY R,L AY R,1
IY HH AE Z,IY IH Z,1
F D AH N,F DH AE N,1
D AA N T AY D EH N,D OW AH N,1
T AH F AY Y,T Y,1
D N,D AA N,1
N IH R DH,N DH,1
IH G G,IH G,1
G OW T,G AH T,1
T AY D L IY AE,T IH N AE,1
M B AH,M P AH,1
L D TH R UW,L T UW,1
 IY T IH, IH,1
 IY T IH, HH EH D IH,1
IH NG S,IH N S,1
S AH Z S,S T S,3
W EH L,W IH L,5
V SH AH B L IY,V S EY,1
IY IH Z,IY AE Z,1
D EH N,D AH N,1
D EH N,D AE N,1
 DH AH B, B,1
F L,F UH L,1
W UH L,W OW L,2
W UH L,W IH L,3
W UH L,W EH L,1
L D DH,L DH,2
L D DH,L AH V DH,1
R AH P,R P,4
P R AH S,P ER S,5
AY ER,AY,4
AY CH AA,AY K AA,1
R JH M,R M,1
OY L IY R,OY R,1
R AE G L,R AH N L,1
R AE G L,R D ER L,1
R AE G L,R EH D L,2
R AE G L,R AH K AH L,3
R AE G L,R EY JH L,1
R AE G L,R EY L,2
R AE G L,R L,1
