T IH N,T AH N,101
T IH N,T ER N,1
T IH N,T EH N,1
N G,N D G,99
AA SH W,AA CH T W,1
AA SH W,AA CH W,12
AA SH W,AA Z W,5
AA SH W,AA S T W,3
AA SH W,AA TH W,1
 D, B IH F AO R D,1
Z TH IH N AH,Z DH AH,1
AH N D HH,AH HH,1
DH IH S,DH AH S,2
S D AY V,S T OW V,1
 P IY T, D IH T,1
 P IY T, T,2
 P IY T, IH T,4
T S ER IY AH Z AA R,T IH R,1
R K AH N V IY,R IY,2
IY N Y AH,IY ER EY SH AH,1
IY N Y AH,IY Z AH,1
N T F,N F,2
R AH K,R K,1
K L AH,K W AH,1
K L AH,K B AH,1
N CH,N S,1
 P UH T, B AH T,7
L AA K,L AE K,2
 D R, B R,1
R AA P F,R AO T F,1
AY V F AO R,AY ER AA R,2
D Y AO R D AA R K,D HH ER B AE K,1
S UW T IH N,S OW AH N,1
HH AH S K IY Y,HH AE Z Y,1
DH M AA K D,DH DH AH D,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S IH Z AE,1
K AH L,K AE L,1
K AH L,K AO L,1
K AH L,K AA L,1
K AH L,K L,1
L IH F IH SH AH,L AH,1
AH N S IY,AH T IY,1
IY IH,IY Z IH,1
AH V P,AH P,1
P Y UW T ER AA R,P IH R,1
R AH N,R AE N,1
M TH EY R,M DH EH R,7
UW CH AA R L,UW K AE L,1
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
 K AE L S, HH AW S,1
 K AE L S, S,1
S IY AH M M,S M,1
S IY AH M M,S UW M,1
EY K S,EY T S,1
R IY S IY W,R EY W,11
R IY S IY W,R AH Z W,1
R IY S IY W,R EY Z IH NG W,1
N W,N AH W,1
N W,N D W,3
IY V AA,IY AA,1
S ER AE M,S EH M,1
M IH K,M IY S ER K,1
K M AA D AH,K AH,1
AH L IH NG K L,AH L,1
L EY R,L R,1
L Z,L,11
UW L IY,UW W IY,1
L L EY K,L W AY T,1
W AA SH W,W IH DH W,8
Y IH R,Y UW,3
L IY R,L R,27
L IY R,L Y AO R R,1
L IY R,L AH R,5
L IY R,L DH AH R,2
L IY R,L AY R,4
L IY R,L D R,1
L IY R,L EH R,2
L IY R,L IH R,1
L IY R,L AH N D R,1
L IY R,L Y UW R,1
S AH Z,S IH Z,5
S AH Z,S T,1
S AH Z,S IY,1
S AH NG,S AO NG,1
N V ER,N F ER,1
S IH K S Y IH R Z AH,S ER AH,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,2
T S M,T M,4
 K L IH F W, HH IY W,1
UW DH D B,UW N B,1
UW DH D B,UW T B,1
S M AH S AA ZH,S EY JH,2
S K,S T K,5
IY AE Z,IY Z,2
IY AE Z,IY IH Z,1
IY T S,IY Z,2
R AE G L,R EY JH L,2
R AE G L,R EY L,1
R AE G L,R AH L,2
R AE G L,R EH D L,2
R AE G L,R L,3
R AE G L,R AA K L,1
R AE G L,R AH K AH L,2
IY HH AE Z,IY IH Z,1
F D AH N,F DH AE N,1
 B IY, HH IY,1
D AA N T AY D EH N,D OW AH N,1
T AH F AY Y,T Y,1
K OW AH,K AH,1
S AY D,S IH D,1
D AH D W,D ER W,1
W IH DH M,W AH T M,1
D N,D AA N,1
N IH R DH,N DH,1
B IH G G OW T,B AW T,1
D TH R UW,D T UW,1
S AH Z S,S T S,1
R EH NG K TH M ER AE,R AE,1
AE K Y AH,AE T AH,1
AH L AH,AH K AH,1
AH L AH,AH N D,1
AH L AH,AH M AH,1
AH S L,AH L,1
AH S L,AH F L,1
L IY,L Z,1
L IY,L HH IY,1
AH T W,AH W,1
W EH L,W AO L,1
W EH L,W IH L,6
L F TH D EY,L DH EY,1
V SH AH B,V EY B,1
V SH AH B,V S IH B,1
IY IH Z DH,IY AH V DH,1
R D EH N,R T AH N,1
D AH S P ER,D AE Z F ER,1
 DH AH B, B,2
F L,F UH L,1
W UH L AH,W IH M AH,1
L D DH,L DH,5
R AH P,R P,4
D Y AO R D,D HH ER D,17
D Y AO R D,D AH D,12
D Y AO R D,D DH AH D,5
D Y AO R D,D T UW D,5
D Y AO R D,D D,3
D Y AO R D,D T ER N D D,1
R IY S,R AE S,2
R IY S,R EH S,1
R IY S,R EY S,6
IY AE N,IY IH N,16
IY AE N,IY IH T AA N,1
IY AE N,IY Y UW N,1
IY AE N,IY AH N,7
IY AE N,IY AA N,3
IY AE N,IY AH OW N,1
N OY L IY R,N W AH N R,1
N OY L IY R,N DH AH R,1
N OY L IY R,N AW T R,1
N OY L IY R,N AH R,3
N OY L IY R,N EH R,1
N OY L IY R,N AO R,3
N OY L IY R,N IH R,1
D IH K,D AH K,1
T S AH S,T S,1
W UH D JH EH,W IH CH EH,1
T AH L HH ER,T ER,1
 B R, R,1
OY L,OY AH L,1
M D IH P,M T AA P,1
K T S,K S,2
L AA R,L AO R,1
EY G,EY AH G,2
 IH F K, AH K,1
 IH F K, AH V K,1
 IH F K, K,1
T AH M,T UW M,6
T AH M,T M,1
V HH ER ER,V ER,4
JH F,JH D F,6
NG AE T,NG IH T,2
 HH IH, IH,1
IH Z SH,IH T SH,1
OW L D,OW D,2
D ER,D HH ER,1
D AA R,D AO R,1
R K S UW T IH N G R IY,R AH TH IY,1
IY S IY W AA SH W AO T ER AO,IY AH AO,1
IY S IY W AA SH W AO T ER AO,IY AH N AO,1
S K M IY T,S ER T,1
T UW K AE R IY AE N,T EY N,1
N OY L,N AO L,10
N OY L,N ER L,4
N OY L,N AO R L,2
N OY L,N D AE L,2
N OY L,N L,2
