D Y AO R D,D HH ER D,18
D Y AO R D,D AH D,16
D Y AO R D,D T UW D,3
D Y AO R D,D DH AH D,3
T IH N,T AH N,102
T IH N,T R AH N,1
T IH N,T EH N,2
T IH N,T EY N,1
N G,N D G,96
S IY,S HH IY,17
S IY,S W IY,1
AA SH W,AA CH T W,2
AA SH W,AA S T W,5
AA SH W,AA CH W,19
AA SH W,AA Z W,7
DH IH S,DH AH S,2
S D AY V,S T OW V,1
IY T S ER IY AH Z AA R,IY EH R,1
 P UH T, B AH T,7
 D R, B R,2
 D R, R,1
R AA P F,R AO T F,2
F AY V,F EY V,1
V F AO R M Z,V ER Z,1
R IY S IY W,R EY W,9
IY AE N,IY AH N,12
IY AE N,IY IH N,7
IY AE N,IY IH T OW N,2
IY AE N,IY AA N,2
IY AE N,IY IH T AA N,1
N OY L IY R AE G L,N OW T AH L,2
N OY L IY R AE G L,N OW IH NG L,1
N OY L IY R AE G L,N T ER L,1
N OY L IY R AE G L,N OW T L,1
N OY L IY R AE G L,N AH DH ER L,1
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
 AA HH AA, AA,1
AH L,AH B L,1
AH L,AH EY L,1
AH L,AH IH L,1
D AH V,D IH V,1
S IY AE,S IH Z AE,1
AH S T,AH T,1
T EH K,T AE K,1
K N IH,K T IH,1
P Y UW T,P IY T,6
P Y UW T,P EH T,1
ER AA R B,ER B,2
ER AA R B,ER AH V B,1
ER AA R B,ER AH B,2
R AH N,R AE N,1
M TH EY R,M DH EH R,5
M TH EY R,M DH EH R AA R,1
T D UW CH AA R L,T K AO L,1
L IY Z D,L D,1
L IY Z D,L EY S D,2
K AE L S,K EY S,1
S IY AH M M,S M,1
EY K S,EY T S,1
S IY W,S IH NG W,5
S IY W,S W,22
S IY W,S Y UW W,1
N W,N AH W,1
N W,N D W,3
IY V AA,IY AA,1
Z S ER AE M,Z Y AH R IY M,1
M IH K,M AH K,1
T IH S T S,T AH S,1
S AH B T,S T,1
T EY N P,T P,1
L L EY,L W EY,1
EY K,EY JH,1
T IH N G,T G,5
T IH N G,T AH D G,1
T IH N G,T AH G,1
W AO T,W EY T,5
W AO T,W AH T,1
T ER AO,T AH R AO,6
T ER AO,T AO,4
Y IH R,Y UW,3
Y IH R,Y AO R,2
N V ER,N F ER,1
S AH Z,S T,1
S AH Z,S IH Z,3
