D Y AO R D,D HH ER D,22
D Y AO R D,D DH AH D,2
D Y AO R D,D AH D,15
D Y AO R D,D T UW D,5
D Y AO R D,D N OW D,1
T IH N,T AH N,95
T IH N,T AY N,1
T IH N,T EH N,1
N G,N D G,93
S IY,S HH IY,17
AA SH W,AA CH T W,1
AA SH W,AA CH W,20
AA SH W,AA TH W,2
AA SH W,AA Z W,8
AA SH W,AA S T W,2
DH IH S,DH AH S,2
S D AY V,S T OW V,1
 P IY T, HH EH T,1
 P IY T, IH T,3
T S ER IY AH,T AH,2
AH Z AA R,AH R,2
R K AH,R AH,1
AH N V IY,AH JH IY,1
N Y AH N T F,N AY F,1
 P UH T, B AH T,7
 D R, B R,1
 D R, R,1
R AA P F,R AO T F,1
R Y UW G,R HH IY G,1
D Y AO R D AA R K,D HH ER B AE K,1
UW T IH N,UW N AH N,2
UW T IH N,UW N,1
 HH AH, AE Z AH,1
AH S K IY Y,AH Y,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
AH L,AH B L,1
AH L,AH IH L,1
D AH V,D IH V,1
S IY AE,S IH Z AE,1
S T EH K N IH K,S DH AH AH K,1
K AH L IH F IH SH,K EY SH,1
AH N S IY IH,AH IH,1
AH V P,AH P,2
P Y UW T ER AA R,P IH R,1
M TH EY R,M DH EH R,6
UW CH AA R L,UW K AE L,1
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
AH Z,AH V Z,1
K AE L S,K EY S,2
S IY AH M M,S M,2
EY K S,EY T S,2
 IH N, AH N,2
N W,N D W,4
IY B AA,IY M AA,1
R G AH,R JH AH,1
IY V AA,IY AA,1
 DH AH, AH,3
L Z,L,13
S AH,S AO F AH,1
S AH,S DH AH,1
S AH,S T AH,1
AH B T EY N,AH N,1
V DH AH,V AH,1
Y IH R,Y UW,3
Y IH R,Y AO R,1
S AH Z,S IH Z,3
S AH Z,S T,1
S AH Z,S IY,2
S AH Z,S IY Z,1
S AH NG,S AO NG,1
N V ER,N F ER,1
IY AW AO,IY T AO,1
IY AW AO,IY L AO,1
T S M,T M,4
M AH S,M EH S,5
