D Y AO R D,D HH ER D,25
D Y AO R D,D T UW D,6
D Y AO R D,D AH D,14
D Y AO R D,D DH AH D,3
D Y AO R D,D D,1
D Y AO R D,D T UW AH D,1
D Y AO R D,D N OW D,1
T IH N,T AH N,102
T IH N,T EH N,2
N G,N D G,102
S IY,S HH IY,13
S IY,S,1
AA SH W,AA CH T W,2
AA SH W,AA CH W,12
AA SH W,AA S T W,5
AA SH W,AA Z W,9
DH IH S,DH AH S,2
S D AY V,S T OW V,1
T S ER,T ER,2
ER IY AH Z AA,ER AA,1
 P UH T, B AH T,7
 D R, B R,1
R AA P F,R AO T F,1
D AA R K S,D UW S,4
D AA R K S,D AO G S,5
S UW T IH N,S OW AH N,1
S UW T IH N,S AH L AY N,1
S UW T IH N,S AW D AH N,1
S UW T IH N,S EY AA N,1
S UW T IH N,S AH N,1
R IY S IY W,R EY W,11
R IY S IY W,R Z W,1
L Y IH R,L HH ER,11
L Y IH R,L D HH ER,1
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S AE,1
S T EH K N IH K,S DH AH M AE K,1
K AH,K Y AH,1
K AH,K AE P AH,1
K AH,K AO R AH,1
L IH F IH SH,L EY SH,1
N S IY IH,N IH,1
V AE K CH AH W AH,V M EH N T AH,1
AH V P,AH P,2
P Y UW T ER AA R,P IH R,1
R B,R AH V B,1
R AH N,R AE N,2
R AH N,R AA N,1
R AH N,R N,1
M TH EY R,M DH EH R,6
UW CH AA R L,UW SH AE L,1
IY Z D,IY D,1
 K AE, AE,2
AE L S IY AH M M,AE Z M,2
IY V AA N,IY W AH N,1
N DH OW Z R,N D R,1
R OW P S,R AH S,1
M AH N,M IH N,2
M AH N,M IY N,1
M AH N,M EH N,1
M AH N,M AA N,1
M AH N,M AE N,1
T AH K,T AA K,1
L Z,L,14
S AH B T EY N,S IH N,1
L L EY,L W EY,1
EY K,EY JH,1
Y IH R,Y UW,4
N V ER,N F ER,1
S AH Z,S T,1
S AH Z,S IH Z,1
S AH Z,S AY Z,2
IY AW AO,IY T AO,2
IY AW AO,IY L AO,1
T S M,T M,3
T S M,T UW M,1
IH F W,IH P W,2
M AH S,M EH S,6
S AA ZH,S AH JH,6
S AA ZH,S AY D,1
S K,S T K,6
IY AE Z,IY Z,3
IY AE Z,IY IH Z,1
N G R,N K R,18
N G R,N R,1
S IY W,S W,16
S IY W,S IH NG W,8
S IY W,S Y UW W,1
L IY R,L Y AO R,1
L IY R,L AH R,4
L IY R,L R,28
L IY R,L DH AH R,3
L IY R,L AY R,1
L IY R,L D R,4
L IY R,L IH R,1
L IY R,L Y UW R,1
R AE G L,R EY JH L,1
R AE G L,R T ER L,1
R AE G L,R EY L,3
R AE G L,R D ER L,1
R AE G L,R EH D L,2
R AE G L,R L,5
R AE G L,R AA K L,1
R AE G L,R OW T L,1
R AE G L,R AH K AH L,2
IY HH AE Z,IY IH Z,1
F D AH N,F DH AE N,1
N EH N IY TH IH NG F,N AH HH AE T F,1
F AO R W,F AH L W,1
D AH N,D IH N,1
N D D,N D,1
D AA N T AY D,D EH D,1
D EH N,D AH N,2
D EH N,D AE N,1
N T AH F AY Y ER,N ER,1
ER S EH L F,ER Z,1
K OW AH,K AH,1
S AY D,S IH D,1
D AH D W,D ER W,1
D N,D AA N,1
N IH R DH,N DH,1
IH G G OW,IH T OW,1
OW T,OW IH T,1
T AY D L,T AH L,1
D TH R UW,D T UW,1
S AH Z S,S T S,1
R EH NG K TH M ER AE K,R AH T IY JH IH K,1
K Y AH L AH S L,K L,1
AH T W EH L,AH V AE L,1
L F TH D EY,L AH T EY,1
EY W EH L,EY L,1
L HH AE V,L S EY V,1
V SH AH B L IY,V,1
IY IH Z,IY AE Z,1
IY IH Z,IY W AA Z,1
D AH S,D S,1
M F L,M L,2
M F L,M P L,3
IY S IY,IY SH IY,2
W UH L,W IH L,3
W UH L,W EH L,1
W UH L,W AA L,1
L AH N,L IH N,2
L AH N,L AA N,1
L D DH,L DH,2
R OW SH,R AH SH,1
R OW SH,R EH SH,3
SH UH R IH Z,SH ER Z,1
R AH P,R P,4
R AH P,R AA P,1
P R AH S,P ER S,5
V B AY,V F AY,2
D IH K,D AH K,1
T S AH S,T S,1
L IH T,L AH N T,1
W UH D JH,W IH CH JH,1
 B R, R,1
R OY L AO R T,R AY AH T,1
T OW S,T AH S,1
S T AE Z Y UW ZH AH W AH L,S,1
M D IH P,M T UW P,1
K T S DH,K DH,2
L AH,L IY K W AH,1
L AH,L D DH AH,1
AH G L,AH L,1
AH G L,AH K AH L,1
L OW,L,1
L AA R,L AO R,1
EY G,EY AH G,2
 IH F K, K,1
T AH M,T UW M,6
V HH ER ER,V ER,4
JH F,JH D F,6
NG AE T,NG IH T,2
 HH IH, IH,2
IH Z SH,IH T SH,1
AA R K,AA K,1
K S UW T,K T,1
K S UW T,K AH T,1
K S UW T,K ER T,1
K S UW T,K K OW T,1
T IH N G R IY,T ER IY,1
IY S IY W AA SH W AO T ER AO L,IY AH L,1
IY AE N OY L,IY IH NG AO L,1
IY AE N OY L,IY AH AA L,2
IY AE N OY L,IY IH NG OW L,1
IY AE N OY L,IY IH T AO L,2
IY AE N OY L,IY IH NG ER L,1
T W IH DH IH,T IH,1
F R EY,F EY,1
EY M W ER,EY V ER,1
ER K HH IY AH L AW D,ER D,1
R AE Z M,R M,1
F L EH K S,F AH S,1
S AH B IH,S IH,1
L AH T,L IH T,1
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
N EH S AH,N AH,1
EH R IY T,EH S AH T,1
T UW R IY,T IY,1
R IH L S IH R K AH T,R AA T,1
S AH N,S IY AA N,1
S AH N,S EH N,1
N D AH L AA T EH,N OW EH,1
IY S T,IY T,1
AH D AY,AH T AY,1
 B IH F, F,2
R TH ER Z D EY Z IH,R DH IH S IH,1
M R IY V Y,M IH F Y,1
UW EH V ER IY F,UW AA R F,1
AY AA D,AY AH D,4
AY AA D,AY AO D,1
 JH EH F TH, HH IY TH,2
 JH EH F TH, SH IY HH AE D TH,1
N T R AH,N AH,1
AH F Y UW JH P,AH T P,1
AH F Y UW JH P,AH K AH CH ER P,1
 JH AA N, OW N,1
N K L,N L,1
IY N Z SH,IY SH,1
L F IH SH F AO R AH L,L T ER L,1
S UW T,S UH T,5
S UW T,S AE T,1
S UW T,S EH T,4
S UW T,S T,1
S UW T,S ER T,1
T IH N G,T G,7
T IH N G,T AH G,1
IY AE N OY L IY R,IY AH M AA R,1
IY AE N OY L IY R,IY IH T AH W EY R,1
IY AE N OY L IY R,IY AH AO R,2
 Y UW T, IH T T,1
 DH AH AY D, D,1
D IY AH AH V AH S,D IH R AE Z S,1
W IH DH L,W IY L,1
AY N Z T UW IY,AY IY,1
IH Z N,IH N,1
N AA T IH,N D IH,1
IH N,IH G N,1
N IH T S EH L F AH,N EY SH AH,1
N AA V AH L T IY,N,1
OY EH V ER IY F,OY M AY F,1
F AY L R,F AO R,2
F AY L R,F OW R,1
