T IH N,T AH N,92
T IH N,T EH N,1
N G,N D G,95
S IY,S HH IY,12
SH W,SH T W,2
 HH IH Z K, Y EH S K,1
DH IH S,DH AH S,3
S D AY,S K AY,1
AY V S,AY Z S,1
P IY T,P EH T,1
T S ER IY,T R IY,1
T S ER IY,T AO R IY,1
AH Z AA R K,AH K,4
 P UH T, B AH T,7
 D R, B R,1
R AA P,R AO T P,1
P F AY V F,P L AE T F,1
P F AY V F,P F,1
D Y AO R D,D HH ER D,24
D Y AO R D,D AH D,15
D Y AO R D,D T UW D,3
D Y AO R D,D N OW D,1
D Y AO R D,D T UW AH D,1
D Y AO R D,D DH AH D,3
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
AH L,AH B L,1
AH L,AH OW L,1
D AH V,D IH V,1
S IY AE,S AE,1
K AH L,K AE L,1
K AH L,K L,1
L IH F IH SH AH,L AH,1
AH N S IY,AH T IY,1
IY IH,IY Z IH,1
V AE K CH AH W AH,V M EH N T AH,1
AH V P,AH P,1
P Y UW T ER AA R,P IH R,1
R B,R AH V B,1
M TH EY R,M DH EH R,6
M TH EY R,M DH EH R AA R,1
CH AA R L IY Z D ER,CH EH S T ER,1
ER T IY D,ER D,1
K AE L S,K EY S,1
S IY AH M M,S M,1
EY K S,EY T S,1
S IY W,S IH NG W,10
S IY W,S W,21
S IY W,S Y UW W,1
W EY JH N,W IH CH N,1
IY V AA,IY AA,1
 M AH, K AH,1
AH T IH,AH R IH,1
IH R IY AH,IH S AH,1
AH L Z S ER AE M IH K M,AH M,1
M AA D AH,M AH,1
AH L IH,AH W IH,1
IH NG K L EY R EH D W AY T AO R B AH F,IH DH,1
L Z,L,11
T IH S,T AH S,3
T S AH,T AH,7
L L EY,L W EY,1
EY K,EY JH,1
Y IH R,Y UW,2
N V ER,N F ER,1
S AH Z,S T,1
S AH Z,S IY,2
S AH Z,S IH Z,3
S AH Z,S IY Z,1
S AH Z,S IH NG Z,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,1
IY AW AO,IY AO,1
T S M,T M,3
M AH S,M EH S,4
S AA ZH,S AH JH,4
S AA ZH,S AY D,1
L AO S,L AE S,5
L AO S,L AE S T S,1
S K,S T K,6
IY AE Z,IY Z,2
IY AE Z,IY IH Z,2
N G R,N K R,16
N G R,N D K R,1
IY T UW K,IY DH AH K,2
IY T UW K,IY AY K,1
IY T UW K,IY K,1
IY T UW K,IY AH K,1
IY AE N OY,IY IH NG OY,1
IY AE N OY,IY AH OY,1
L IY R,L Y AO R,1
L IY R,L IH R,1
L IY R,L AH R,3
L IY R,L R,27
L IY R,L AH N D R,1
L IY R,L DH AH R,2
L IY R,L AY R,3
L IY R,L D R,2
L IY R,L IH NG R,1
R AE G L,R EY JH L,1
R AE G L,R IH K L,1
R AE G L,R IY L,1
R AE G L,R T ER L,1
R AE G L,R EH D L,3
R AE G L,R L,3
R AE G L,R AH N L,2
R AE G L,R AA D L,1
