D Y AO R D,D HH ER D,21
D Y AO R D,D AH D,13
D Y AO R D,D DH AH D,4
D Y AO R D,D T UW D,3
D Y AO R D,D T UW AH D,1
D Y AO R D,D D,1
T IH N,T AH N,94
T IH N,T EH N,1
T IH N,T EY N,1
N G,N D G,92
N G,N T G,1
S IY,S HH IY,14
SH W,SH T W,3
DH IH S,DH AH S,4
S D AY,S K AY,1
AY V S,AY Z S,1
 P IY T, T,1
 P IY T, IH T,2
T S ER,T ER,2
IY AH,IY S AH,1
IY AH,IY JH AH,1
AH Z AA R K,AH K,2
 P UH T, B AH T,7
L AA K,L AE K,4
 D R, B R,1
R AA P,R AO T P,1
R AA P,R AE P,1
P F AY V F,P L AE T F,1
P F AY V F,P R AH F,1
P F AY V F,P IH T F,1
D AA R K S,D IH S,1
D AA R K S,D UW S,3
D AA R K S,D AO G S,4
D AA R K S,D AH S,1
S UW T,S T,5
S UW T,S AE T,2
S UW T,S EH T,4
S UW T,S UH T,2
S UW T,S ER T,1
R IY S IY W,R EY W,9
R IY S IY W,R EY Z IH NG W,1
L Y IH R,L HH ER,11
L Y IH R,L IY R,1
L Y IH R,L D HH ER,1
IY AE N,IY AH N,13
IY AE N,IY IH N,14
IY AE N,IY N,1
IY AE N,IY OW N,1
IY AE N,IY HH IH M OW N,1
N OY L IY R,N OW T R,1
N OY L IY R,N AO R,3
N OY L IY R,N EH R,1
N OY L IY R,N AH T EH R,1
N OY L IY R,N DH AH R,1
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
 AA HH AA HH, HH,1
L AH SH D AH,L AH,1
AH V AO R S,AH S,1
S IY AE T,S T,1
T L,T ER L,1
L AE S,L AH S,1
S T,S,2
S T,S T T,1
K AH L,K AE L,1
K AH L,K OW L,2
K AH L,K AA L,2
K AH L,K L,1
L IH F IH SH AH,L AH,1
AH N S IY,AH T IY,1
IY IH,IY Z IH,1
AH V P,AH P,4
P Y UW T ER AA R,P IH R,1
P Y UW T ER AA R,P IH R AO R,1
 CH IY P S, DH AE T S,1
 CH IY P S, DH AH S,2
R AH N,R AE N,1
R AH N,R N,1
M TH EY R,M DH EH R,7
UW CH AA R L,UW K AE L,1
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
K AE L S,K EY S,2
K AE L S,K AA N S,1
S IY AH M M,S M,2
EY K S,EY T S,1
S IY W,S IH NG W,9
S IY W,S W,20
S IY W,S Y UW W,2
W EY JH N,W IH CH N,1
IY V AA,IY AA,1
L Z,L,13
T IH S,T AH S,3
T S AH,T AH,7
L L EY K,L W AY T,1
Y IH R,Y UW,3
Y IH R,Y AO R,1
N V ER,N F ER,1
S AH Z,S T,1
S AH Z,S IH Z,3
S AH Z,S IY,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,2
T S M,T M,3
M AH S,M EH S,4
M AH S,M AE S,1
S AA ZH,S AH JH,4
S AA ZH,S AY D,1
S AA ZH,S AH,1
S K,S T K,7
IY AE Z,IY Z,4
IY AE Z,IY IH Z,1
N G R,N K R,17
N G R,N D B R,1
L IY R,L Y AO R,1
L IY R,L AH R,3
L IY R,L R,26
L IY R,L IH R,1
L IY R,L DH AH R,4
L IY R,L AH N D R,1
L IY R,L AY R,5
L IY R,L D R,2
L IY R,L IH N R,1
L IY R,L AE R,1
L IY R,L Y UW R,1
R AE G L,R EY JH L,3
R AE G L,R AH N L,1
R AE G L,R IH K L,1
R AE G L,R EH D L,4
R AE G L,R AH K AH L,6
R AE G L,R T ER L,1
R AE G L,R L,1
R AE G L,R AH B AH L,1
R AE G L,R EY L,2
R AE G L,R AA D L,1
R AE G L,R AH L,2
IY HH AE Z,IY IH Z,1
F D AH,F DH AE T AH,1
AH N EH N IY TH,AH TH,1
TH IH NG,TH AE NG,1
NG F,NG K F,1
F AO R W,F AH L W,1
 B IY, HH IY,1
D AA N T AY D,D EH D,1
D EH N,D AH N,2
D EH N,D AE N,1
N T AH F AY Y,N Y,1
D N,D AA N,1
N IH R DH,N DH,1
IH G G,IH G,1
G OW T AY D L,G OY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
S AH Z S,S T S,2
W EH L,W IH L,5
V SH AH B L IY,V S EY,1
IY IH Z,IY AE Z,1
AH S,AH V S,1
AH S,AH D S,1
AH S,AH S T S,1
M F L,M L,3
M F L,M P L,3
W UH L,W OW L,2
W UH L,W IH L,2
W UH L,W EH L,1
L D DH,L DH,2
R AH P,R P,4
OY L IY R,OY R,1
D IH K,D AH K,1
W UH D JH,W IH CH JH,1
M D IH P,M T UW P,1
K T S DH,K DH,3
DH AH AH,DH AH,2
P AH L AH S AO,P W AA Z AO,1
L AA R,L AO R,2
 IH F K, AH K,1
T AH M,T UW M,7
T AH M,T,1
V HH ER ER,V ER,5
JH F,JH D F,6
NG AE T,NG IH T,2
 HH IH, IH,2
IH Z SH,IH T SH,1
SH OW L D,SH UH D,1
D ER,D HH ER,1
ER F EH,ER S EH,1
L T AE,L F AE,1
D AA R K S UW T IH N G,D AO G,1
G R IY S,G S,1
G R IY S,G AE S,1
S IY W AA SH W AO T ER,S AH B ER,1
ER AO,ER K EY S AO,1
ER AO,ER K AO,2
N OY L,N AO L,8
N OY L,N ER L,3
N OY L,N IH R L,1
N OY L,N L,6
N OY L,N AO R M AH L,1
N OY L,N D AO L,2
N OY L,N D OW N L,2
N OY L,N D AE L,1
N OY L,N OW L,2
N OY L,N OW N L,1
N OY L,N AE L,2
N OY L,N D ER L,1
N OY L,N D AY W IH L,1
N OY L,N AH L,1
N OY L,N AO R L,1
T W IH DH IH,T IH,1
F R EY,F EY,1
EY M W ER,EY V ER,1
ER K HH IY AH L AW D,ER D,1
F L EH K S AH,F Y UW Z AH,1
N AE Z S,N AH N D S,1
S UW N AE,S OW AE,1
N EH S AH,N AH,1
EH R IY T,EH S AH T,1
T UW R IY,T IY,1
R IH L,R EY L,1
R IH L,R L,1
IH R K,IH K,1
K AH T S AH,K AH,1
L AA T EH K S T,L OW N AE F T,1
T R AH T,T ER T,1
IY S T,IY T,1
L AH,L D DH AH,1
L AH,L UW N AH,1
AH D AY,AH T AY,1
 B IH F, F,2
R TH ER Z D EY Z IH,R DH IH S IH,1
M R IY V Y UW EH,M EH,1
M R IY V Y UW EH,M IH N EH,1
EH V ER IY F,EH R AH F,1
F AO R,F AH R,1
F AO R,F R,5
M Y AH L AH,M,1
 DH EY EH, EH,2
AY AA D,AY AH D,3
AY AA D,AY AO D,1
