D Y AO R D,D HH ER D,22
D Y AO R D,D AH D,12
D Y AO R D,D DH AH D,5
D Y AO R D,D T UW D,5
D Y AO R D,D D,2
T IH N,T AH N,94
N G,N D G,95
S IY,S HH IY,11
SH W,SH T W,4
DH IH S,DH AH S,3
S D AY V,S T OW V,1
 P IY T, HH EH T,1
 P IY T, IH T,3
 P IY T, V IH K T,1
 P IY T, T,1
T S ER IY AH,T AH,1
AH Z AA R,AH R,1
R K AH,R AH,1
AH N V IY,AH JH IY,1
N Y AH N T F,N AY F,1
 P UH T, B AH T,7
 D R, B R,1
 D R, R,2
R AA P F,R AO T F,1
D AA R K S,D UW S,5
D AA R K S,D S,1
D AA R K S,D AO G S,3
S UW T IH N,S OW AH N,1
L Y IH R,L HH ER,11
L Y IH R,L IY R,1
HH AH S K,HH AE Z K,1
K IY Y,K Y,1
Y AH NG,Y AO NG,1
DH M AA K D,DH AH D,1
 AA HH AA, AA,1
D AH V,D IH V,1
S IY AE,S IH Z AE,1
S T EH K N IH K,S DH AH AH K,1
K AH L IH F IH SH,K EY SH,1
AH N S IY IH,AH IH,1
AH V P,AH P,3
P Y UW T ER AA R,P IH R,1
R B,R AH V B,1
M TH EY R,M DH EH R,6
UW CH AA R L,UW K AE L,1
L IY Z D ER T,L IH T,1
T IY D IH SH AH,T R AH,1
AH Z,AH CH,1
K AE L S IY AH M,K AA M,1
IY V AA,IY AA,1
 DH AH, AH,3
L Z,L,13
AH B T,AH V T,1
AH B T,AH N D T,1
T EY N P AA P,T AE P,1
P Y AH L EH R AH,P AH,1
L L EY,L W EY,1
EY K,EY JH,1
Y IH R,Y UW,2
S AH Z,S IH Z,3
S AH Z,S T,1
S AH Z,S IY,1
S AH Z,S AY Z,2
S AH Z,S IY Z,1
N V ER,N F ER,1
IY AW AO,IY T AO,2
IY AW AO,IY L AO,1
T S M,T M,5
M AH S,M EH S,4
S AA ZH,S AH JH,4
S AA ZH,S T EY JH,1
S AA ZH,S AY D,1
S K,S T K,8
IY AE Z,IY Z,2
IY AE Z,IY IH Z,2
T IH N G R,T EH R,1
T IH N G R,T K R,1
R IY S IY W AA SH,R UW AH SH,1
L IY R,L Y AO R,1
L IY R,L AH R,5
L IY R,L R,26
L IY R,L DH AH R,4
L IY R,L D R,1
L IY R,L IH R,1
L IY R,L AY R,3
L IY R,L AA R,1
L IY R,L Y UW R,1
R AE G L,R EY JH L,1
R AE G L,R AH K AH L,4
R AE G L,R L,4
R AE G L,R EH D L,1
R AE G L,R IH L,3
R AE G L,R AA K L,1
R AE G L,R EY L,1
R AE G L,R AH L,1
R AE G L,R OW T L,1
IY HH AE Z,IY IH Z,1
F D AH,F DH AE T AH,1
AH N EH N IY TH IH NG F,AH HH AE T F,1
F AO R W,F AH L W,1
 B IY IH, DH AH IH,1
N T AY D EH,N AH Z EH,1
EH N T,EH T,1
T AH F AY Y,T IY Y,1
K OW AH,K AH,1
S AY D,S IH D,1
D AH D W,D ER W,1
D N,D AA N,1
N IH R DH,N DH,1
IH G G,IH G,1
G OW T AY,G AY,1
D L,D AH L,1
L IY AE M B,L EY B,1
L D TH R UW,L T UW,1
S AH Z S,S T S,2
R EH NG K TH M ER AE,R AE,1
AE K Y AH,AE T AH,1
AH L AH,AH K AH,1
AH L AH,AH V,1
AH S L,AH L,1
L IY,L Z,1
L IY,L HH IY,1
AH T W,AH W,1
L F TH D,L D,1
W EH L,W IH L,4
V SH AH B,V S IH B,2
IY IH Z,IY AE Z,2
D EH N,D AH N,1
D EH N,D AE N,1
F L,F UH L,1
S IY W,S W,18
S IY W,S IH NG W,6
S IY W,S AH Z W,1
W UH L,W OW L,1
W UH L,W IH L,3
L D DH,L DH,2
R AH P,R P,4
R AH P,R AA P,1
P R AH S,P ER S,4
V B AY,V F AY,2
IY AE N OY L IY R,IY AH AO R,3
IY AE N OY L IY R,IY IH T IH R,1
L AY K DH,L DH,7
L AY K DH,L IY DH,1
D IH K,D AH K,1
T S AH S,T S,1
L IH T,L AH N T,1
W UH D JH EH N T AH L HH ER,W IH CH IY TH ER,1
 B R, R,1
OY L,OY AH L,1
T OW S,T AA S,1
T AE Z Y UW ZH AH,T EY T AH,1
AH W AH L,AH S,1
M D IH P,M T UW P,1
K T S DH,K DH,1
DH AH AH,DH AH,3
P AH L AH S AO,P W AA Z AO,1
L AH G,L G,1
G L OW,G OW,1
L AA R,L AO R,1
 IH F K, K,3
T AH M,T UW M,7
V HH ER ER,V ER,4
JH F,JH D F,6
NG AE T,NG IH T,2
 HH IH, IH,1
IH Z SH,IH T SH,1
AE D Y AO R D,AE D,1
UW T IH N G R IY S IY W AA SH,UW D EH SH,1
SH W AO T ER AO,SH N AH AO,1
S K M IY T,S ER T,1
T UW K AE R IY AE N,T EY N,1
N OY L,N AO L,9
N OY L,N ER L,5
N OY L,N IH R L,1
N OY L,N L,3
N OY L,N D OW N L,2
N OY L,N AO R L,1
N OY L,N T AA L,1
N OY L,N OW B AH L,1
N OY L,N D AO L,2
N OY L,N AH L,1
N OY L,N UW L,1
N OY L,N OW L,1
N OY L,N OW N L,3
N OY L,N AE L,1
N OY L,N D AE L,2
M W ER K HH,M HH,1
R AE Z M,R M,1
CH F L EH K S AH B,CH B,1
IH L AH,IH K AH,1
AH T,AH M AO R T,1
AH T,AH S T,1
IY AE Z P AA S AH B AH L,IY,1
N AE Z S,N AH N D S,1
S UW N AE,S OW AE,1
EH R IY T UW R,EH R,1
TH HH AE,TH AE,1
AE V Z,AE Z,1
Z AA N,Z AH N,1
N G R,N R,1
N G R,N D P R,1
N G R,N K R,15
N G R,N D R,1
N G R,N D K R,1
R IH L,R IY L,1
R IH L,R L,1
S IH R K,S AH K,1
K AH T S AH N,K AE N,1
N D AH L AA T EH K S T R AH T AY,N AY,1
AY M,AY,1
IY S T,IY T,1
L AH,L D DH AH,1
L AH,L IY S M AH,1
AH D AY,AH T AY,1
 B IH F, F,2
R TH ER Z D EY Z IH,R DH IH S IH,1
M R IY V Y UW EH V ER IY F AO,M AY S AO,1
R M Y AH L AH,R,1
 DH EY EH, EH,1
W EH N,W AH N,1
N AY AA D,N AH D,1
N T R AH,N AH,1
AH F Y UW JH P,AH T P,1
AA N K L IY N,AA N,1
N Z SH,N SH,1
R AH L,R L,2
UW T IH N,UW N,1
UW T IH N,UW N AH N,4
UW T IH N,UW D AH N,1
AA SH W,AA CH W,16
AA SH W,AA Z W,6
AA SH W,AA S T W,5
AA SH W,AA CH T W,1
N OY L IY R,N AO R D ER DH EH R,1
N OY L IY R,N AE R,2
N OY L IY R,N EH R,2
N OY L IY R,N AH T EH R,1
N OY L IY R,N AO R,1
N OY L IY R,N AH R,1
N OY L IY R,N AO R D ER DH EY R,1
 Y UW T, HH IY T,1
 DH AH HH, T UW HH,1
HH EH V,HH AE V,1
V AH N Z R,V R,1
DH EH R W,DH AH W,1
DH EH R W,DH OW W,1
 DH AH AY, AY,1
W IH DH L,W IY L,1
AY N Z T UW IY,AY IY,1
Z N AA T IH N,Z D AY N,1
N IH T S,N AH S,1
S EH L F AH N AA V AH L T,S T,1
F AY L,F L,1
L R IH,L AW ER IH,1
IH L EY T IH D T,IH N DH AH AE T,1
T UW M,T AH M,1
M AY AA,M IY AA,1
D AH,D IY AH,2
D AH,D DH AH,1
D AH,D ER AH,1
AH T S,AH N S,2
AE L AH S AH Z,AE Z,1
N OW T,N AA T,7
 B AA B P, AH P,3
 B AA B P, P,1
ER D OW,ER OW,3
NG R UW M M,NG AH M,1
M Y UH R,M AO R,3
 M IH D IY V AH, DH AH,1
AH L S,AH S,1
 Y UW Y, N AW Y,1
F L UW,F UW,1
UW S OW L,UW L,1
L AY T L,L IH SH L,1
M EH T AH,M IY AH,1
AH F EY M,AH M,1
M AH S AO,M AW N AO,1
P Y UW T,P IY T,4
P Y UW T,P EH T,1
ER AA R B,ER AH V B,1
ER AA R B,ER AH B,1
 CH IY P S, DH AH S,2
Z R AH N,Z AA N,2
R W AO R N,R AA N,1
L IY Z,L Z,4
 K AE L, EH L,1
IY AH M M,IY M,1
IY S IY W AA SH W,IY CH W,1
IY S IY W AA SH W,IY Z AE T W,1
 D AA N T AE, AE,4
K M,K T M,2
ER R,ER EH R,1
R IH M,R IY M,1
R IH M,R AH M,1
M EY N,M AE N,1
M EY N,M AY T N,1
N D AA,N AA,1
AH P ER,AH M ER,1
S AA R F AO R SH N,S AH V N,1
 AH M, HH IY M,1
 AH M, AY M,2
 AH M, M,1
K Y AH L,K IH L,1
L ER AE B D OW M,L EY P M,1
M AH N,M AE N,3
M AH N,M IY N,1
M AH N,M EH N,2
M AH N,M IH N,1
EY EH N,EY IH N,4
N D AH D AH,N T UW DH AH,1
N D AH D AH,N T UW AH,2
R AH P T L,R UH K L,1
L IY AE,L AH N AE,1
HH AA R M,HH Y UW M,1
Z M,Z D M,3
R M IY,R DH AH,1
R M IY,R,1
K AA R P,K AH M P,1
P AH,P EH T AH,1
P AH,P DH AH,1
T K L IY N ER,T ER,1
UW D AW ER AO,UW AO R AO,1
UW D AW ER AO,UW AA R AO,1
S UW T IH N G R IY,S OW P L IY,1
IY S IY W,IY Z W,1
IY S IY W,IY Z AH N W,1
ER AO L Y IH R,ER AA N HH ER,1
