T IH N,T AH N,115
T IH N,T IY AH N,1
N G,N D G,116
N G,N D DH AH G,1
D AH N D HH IH Z B,D DH AE T B,1
D AA R K,D AE K,1
D AH V,D IH V,1
R S,R S S,1
 D, AY D,1
 D, AH N D D,3
 D, Y AE D,1
HH IY V,HH AE V,1
S AH Z,S IH Z,1
S AH Z,S ER Z,1
 K L IH, IH,1
 K L IH, S OW IH,1
IH F W,IH T W,1
UW DH D,UW D,2
D W IH CH,D IY CH,1
 DH, IH N DH,2
 DH, TH ER D IY DH,1
 DH, IH F DH,1
 DH, IH Z DH,1
 DH, Y AE DH,1
 DH, W AH T AA R S AH M AH V DH,1
AH B IH,AH P IH,1
D L,D AH L,1
D L,D DH AH L,1
L IY AE M B,L Z EY B,1
L D TH R UW,L T UW,1
R D EH N,R T AH N,1
N D,N D D,1
N D,N AH D,1
D AH S,D UW S,1
 DH AH B, B,1
F K AH,F P AH,1
AH N T,AH T,1
L D DH,L DH,3
R AH P,R P,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,2
V HH ER ER,V AO R ER,1
JH F,JH D F,3
NG AE T,NG IH T,4
 SH, AH S P EH SH,1
 SH, AY SH,1
 SH, W EH L SH,2
 SH, IH F SH,6
 SH, Y AE SH,3
 SH, AH N D SH,2
 SH, W IH SH SH,1
 SH, W IH SH,2
 SH, W AY SH,1
SH IY,SH L IY,1
HH AE D Y,HH AW Y,1
HH AE D Y,HH IH T Y,2
AA R K,AA K,1
K S UW T,K T,1
T IH N G R IY S IY W,T ER Z SH UH D W,1
IY AE N,IY AA N,2
IY AE N,IY AH N,6
IY AE N,IY IH N N,1
IY AE N,IY IH N,1
N OY L IY R,N AH R,1
N OY L IY R,N AO R DH ER N IH R,1
IY T UW R,IY R,1
K AH T,K OW T,1
 B IH F, AY P R AH F,1
 B IH F, F,1
F AO R TH,F ER TH,1
EY Z IH G Z AE,EY JH AE,1
AE M R IY V Y UW EH V ER IY,AE N B AH T SH UH D B IY,1
F AO R M Y AH,F AH,1
AH L AH,AH N,1
JH EH F TH,JH AH S T TH,1
N Z SH,N SH,2
N Z SH,N DH AH SH,1
D Y AO R D,D AH D,3
D Y AO R D,D Z AH D,1
D Y AO R D,D T UW D,1
 Y UW T, IH T T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
OW T W,OW W,1
ER DH IY,ER S,1
 B AA B P, P,1
NG R UW M M,NG IH N DH AH M,1
AY R AA,AY ER AA,1
IY Z,IY,1
 SH IY HH, AY AY HH,1
 SH IY HH, IH F Y UW HH,1
T IH N G,T G,12
T IH N G,T DH AH G,1
 Y UW Y, Y,1
N DH AH S,N S,1
Z R AH N,Z W EH N,1
M TH EY R,M DH EH R,1
R W AO,R AO,1
AO R N,AO N,1
T ER R,T AH L R,1
 AH M, M,2
AH K AA,AH T AA,1
AA R P,AA P,1
P AH T K,P IH K K,1
UW D AW ER AO,UW Z AA R AO,1
UW D AW ER AO,UW AO R AO,1
F HH AW,F,1
JH F AO R AH M,JH HH ER M,1
N G R,N K R,9
N G R,N R,1
N G R,N T R,1
N G R,N D K R,1
S IY W,S IH NG W,4
S IY W,S DH AH W,5
S IY W,S AH N T W,1
S IY W,S IH V W,1
L IH,L IY IH,2
N AW DH,N OW DH,1
S N,S IH N,1
N AH,N DH AH,1
N AH,N D AH,2
AH G L,AH K AH L,1
AH G L,AH L,1
M ER AH,M AH R AH,1
S T K,S K,1
 DH AH S, S,2
B AE L,B IH L,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,1
IY T UW K AE R IY AE N OY L IY R AE G L AY,IY W AY,1
AY K DH AE T,AY,1
 IH, B IH,1
IH F DH,IH K AO Z DH,1
M IH Z,M ER Z,1
 B AA, IH T W AA,1
 B AA, AA,1
AA R,AA Z D R,1
R B B ER N D P,R AO IH NG P,1
S AH S,S IH Z,1
S AH S,S AY S,1
