T IH N,T AH N,130
N G,N D G,132
DH IH S,DH AH S,2
S D AY,S T AY,1
AY V S,AY L S,1
D AA R K,D AE K,1
UW T IH,UW N IH,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
S IY W,S DH AH W,4
K AE N,K EH N,1
K AE N,K AH N,1
N D,N AH D,1
D Y AO R D,D AH D,2
D Y AO R D,D HH ER D,1
R IY S,R EY S,11
ER Z B,ER B,1
AH B IH,AH P IH,1
D L,D AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
D IH D W,D AH Z W,1
W AO R W,W AA Z W,1
L D DH,L DH,4
R AH P,R P,1
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,4
JH F,JH D F,2
NG AE T,NG IH T,4
T IH N G,T AE NG G,1
T IH N G,T M IY G,1
IY S IY,IY SH IY,1
K M,K HH IH M,1
M IY T,M T,1
IY AE N,IY OW N,1
IY AE N,IY IH NG ER AW N,1
IY AE N,IY AH N,3
IY AE N,IY AA N,3
IY AE N,IY IH N,1
N OY L,N L,2
N OY L,N D OW N L,1
N OY L,N OW L,1
N OY L,N OW N L,2
N OY L,N AO L,5
N OY L,N D AO L,1
N OY L,N ER L,1
N OY L,N AH G L,1
AE G L,AE NG L,2
N AE Z S,N AH N D S,1
S UW N AE Z W,S EH D W,1
IY T UW R,IY R,1
S IH R K,S ER K,1
EY Z IH,EY IH,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
 JH AA N K, CH AO K,1
L IY N Z SH,L AH T SH,1
AA SH W,AA CH W,1
 Y UW T, HH IY T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
 AE L AH S, HH AW S,1
ER D OW,ER OW,1
L IH V IH,L ER N IH,1
NG R UW M M,NG DH AH M,1
Z R AH,Z W AH,1
M TH EY,M DH EY,3
EY R,EY AA R,3
R W AO R N,R AA N,1
T ER R,T AH L R,1
S AA R F AO R SH,S AH V N AE SH,1
SH N,SH AH N,1
N UH K S,N AH L IH S T S,1
D AW ER AO,D AA R AO,2
D AW ER AO,D AE N AO,1
JH F AO R AH M,JH HH ER M,1
JH EH F TH,JH AH S T TH,2
N AW DH,N OW DH,1
M ER AH,M AH R AH,1
S T K,S K,1
 B AE L, P AH L,1
L EY Z W,L IY S W,1
V W AO,V AO,2
IY IH Z,IY Z,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH D,1
IY T UW K,IY K,1
N OY L IY R AE G L,N D L,1
F DH,F AH DH,1
AH F AA R M IH,AH IH,1
R B B,R B,6
N D P,N P,2
S AH S,S ER Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,1
N K L IY N Z SH,N DH AH SH,1
ER N D P,ER AH P,3
N G R,N K R,2
N N,N D N,1
P EH K,P AE K,4
S T D,S D,1
Z JH AA,Z CH AA,1
L IH,L IY IH,1
IH D Z,IH Z,1
K T DH,K S DH,2
K T DH,K IH NG DH,2
K T DH,K DH,2
NG IH N,NG AH N,6
N P,N D P,7
P T F,P AH N D F,1
AA D AH,AA N T AH,1
P AH HH,P AO R HH,1
HH EH M,HH IH M,1
N AW ER HH,N DH AH HH,1
 AE L, EY L,1
L AH S AH Z,L Z IY Z,1
Z IH T S,Z DH AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
S IH N,S AH N,1
N L,N D L,1
N L,N D AH L L,1
CH DH,CH T DH,1
B AH N D K,B K,1
D AE Z,D HH IH Z,1
 AH S, HH ER S,1
 W IH L R, R,1
W AO R AA,W ER AA,1
 W IH L, OY L,1
L IH P,L EH P,1
N DH AH,N AH,1
W EH DH ER,W AO T ER,1
F OW N IY,F AO R T IY,1
N D T,N T,6
OW S S,OW Z D S,1
DH IY Z SH,DH AH SH,1
DH AE N,DH EH N,4
V AH,V W AH,1
AH HH,AH N HH,1
 P UH T, B AH T,3
M D AA,M DH AH AA,1
 L, AH L,1
L IH N,L AH N,2
AO AO,AO F AO,1
AO L F OW N IY,AO R T IY,1
IY AE,IY EY T AE,1
T R,T UH R,1
R IH SH P,R AH S T S P,1
EY D T,EY T,2
 AH CH, CH,2
T S F,T F,1
AH S T S,AH S,1
P L,P AH L,1
IY Z T,IY S T,1
K DH IH S,K AH S,1
S D ER,S T ER,2
ER T IY,ER D IY,3
ER Z SH,ER SH,3
G,G Z,1
AE D Y,AE Z Y,1
N IH Z,N HH AE Z,1
 IH F P, P,1
Z M,Z D M,2
AO Y,AO AH Y,1
AW M,AW AY M,1
AW M,AW Z M,1
IH N D,IH D,1
IH DH DH,IH DH,1
ER N,ER AH N,1
ER N,ER IH N,1
N M,N D M,1
IY AE Z,IY Z,2
T K,T AH N D K,1
 IH G, HH IY G,2
G W AA N AH Z,G L AY D ER Z,1
HH AE D Y,HH IH T Y,1
W IH D,W IY D,1
D OW N,D UW N,1
UW D AW ER AO,UW AO R AO,2
F AA F,F OW F,1
N AH M,N IY M,1
M AH K,M IH K,1
AH N T,AH D,1
S AE T,S EH T,4
P AA N,P AY N,1
P AA N,P OW N,1
P AA N,P AO N,2
N D AH,N AH,4
CH T DH,CH DH,2
 B EH G DH AE T G AA, P IH K N IH K K AA,1
AY Z S,AY S,1
AA P T,AA K T,1
B AA R B,B IY B,1
B IH K,B IY K,1
B OW L,B AO L,1
UW L W,UW D W,1
 V Y UW, D UW,1
UW T,UW D T,1
 B EH G DH, T EY K DH,1
 B AA B P, AW ER P,1
 B AA B P, P,1
D OW V ER DH,D AW N F AO R DH,1
 AH, DH AH,2
K AE R,K EH R,2
K AE R,K AO R,1
R IY AE N,R AH N OW N,1
EH M B L,EH L,1
OW IH F,OW AH F,1
D T UW F,D DH AH F,1
L HH ER,L AA R,1
T AH N,T IH N,1
T AH N,T AO N,1
N D SH,N SH,1
 IH F K, K,1
AE F AH,AE TH AH,1
B B,B ER AH B,1
 F AE, DH AE,1
S IH L V ER W,S AO F T W,1
IY AE N OY L IY R,IY AH R,1
 N EH V ER HH, IH F Y OW Y AH R HH,1
Y EH L,Y EY L,2
S IH L,S IY L,1
L IY AY,L IH NG AY,1
R AE G L,R EH K L,1
R AE G L,R AA K L,2
R AE G L,R EH D L,1
T IH,T HH IH,1
IH T S AE,IH Z AE,1
 HH UW AO, AO,1
Z D DH,Z DH,1
L AO R,L AA R,1
L AO R,L AH R,2
W ER IY,W IH R IY,1
W ER IY,W AO R IY,1
IH G M,IH D M,1
IH G M,IH K M,1
R IY AE,R AE,1
 HH IH ER Z, K EH R Z,1
Z W EH R,Z F AO R,1
P AA R,P AO R,1
P AA R,P R,1
EY N M,EY M,2
R OW AE,R AE,1
D AE F,D EH F,2
F N,F AH N,2
N Z S,N AH T L IY S,2
N Z S,N IY S,5
N Z S,N D S,1
L AY,L AE F,1
T S S,T S,1
T S R,T DH AH R,1
N AE,N D AE,2
IH V Z D,IH F T S D,1
HH AE D,HH ER D,2
M AE N,M EH N,1
N OW T,N AA T,1
T AH V,T HH AE V,1
V AA K,V AO L K,1
 AE T T, AH T,1
W EH L,W IH L,1
R W,R AH W,2
AA P W,AA K W,1
AH R,AH IH R,1
T IY V W AO,T EY F AO,1
AH N M,AH V ER M,2
N K,N T K,2
G W AA N AH,G Y UW AH,1
AH Z AH,AH N AH,1
AE D Y AO R D,AE Z AH D,3
IY W,IY HH UW W,1
 IH T IH, IH,1
Z AA IH,Z AE N IH,1
DH AE T HH,DH EH N HH,1
Z AH,Z DH AH,2
N AH,N D AH,2
N D W,N W,1
S AE T B,S EH D B,1
AY DH AH,AY HH IH Z AH,1
N D S,N T S S,1
T DH AH S,T UW S,1
 B EH G DH AE, TH AE,1
AE T G,AE NG K G,1
AA R D,AA D,1
Z DH AE N,Z AH N,3
N B,N D B,3
HH EH N,HH AE N,1
N AE N,N AH N,1
Y UW W ER IH,Y OW Y AH R IH,1
SH AH B L,SH IH P L,2
 D AA N T AE S K M, R IH Z UW M M,1
L IY R,L D R,1
L IY R,L IH R,4
L IY R,L AH R,1
L IY R,L DH AH R,1
S P,S AH V P,1
 D IH D Y UW B AY EH N, JH IY OW V AA N,1
T F AO R TH,T TH,1
 IH G W AA N, HH IY K AO R N,1
N AH Z,N ER Z,1
Z D UW,Z N UW,1
AY,AY V,1
DH B IY,DH M IY,1
IY CH B,IY T B,1
M EY N,M AY T N,1
S K AW ER IH NG,S T R AO NG,1
Z AO L EH R ER,Z OW ER,1
ER Z,ER TH,1
 D UW, T UW,1
S T,S T UW T,1
M AY AA D AH T,M AW N T IH T,1
M Y UH R,M AO R,1
M ER AW,M AH R AW,1
L IH D,L EH D,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,,1
IY AH V,IY HH AE V,1
M IY T AA,M EY D AA,1
ER EY JH,ER IH JH,4
AA G G,AA G,4
G EH T S V,G IH Z V,2
R AE,R AA K B AE,1
G L AY K DH AE,G D AE,1
AE T,AE D,1
AE T,AE S T,1
AH P AA N,AH F OW N,1
IY T AH,IY D AH,1
L D IH R,L DH EH R,1
S S,S T S,1
S IY M,S EY M,1
S IH,S EY IH,1
R AE G,R EH G,1
R AE G,R AH G,1
G EH T,G IH T,2
NG IH F F,NG AH F,1
NG IH F F,NG AH V F,1
IH D DH,IH NG DH,1
W UH L,W IH L,2
N OW,N D OW,1
R T,R AH T,1
T IH K,T EH K,1
K Y AH,K T AH,1
AH L ER L IY IH,AH D IH,1
F AO R M,F ER M,1
M AH,M EY SH AH,1
AH T IH V F,AH N F,1
EY L,EY Y OW L,1
S UW N,S ER T AH N,1
N DH AH AO,N L IY AO,1
AH HH EH,AH EH,1
N W,N D W,1
DH EH,DH AH EH,1
D IH D DH,D AH V DH,1
K IH,K L IH,1
S UW T IH N,S EH D AH N,1
S T L,S L,1
AY K R AY F,AY T L IY F,1
F AH,F R AH,1
AH L M,AH M,1
M AH N,M AE N,1
M AH N,M IH N,1
 AE N, AH N,1
N AA K,N D AE K,1
K T IH L,K CH UW AH L,1
L Y AH N,L IY IH N,1
N AE T,N AY T,1
T AH S,T S,1
F AA G P,F AY ER P,1
AE CH T,AE S T,1
T HH ER,T ER,1
K T AA N,K D AW N,1
T IH L,T EY L,1
R AH K CH,R EH CH,1
R AH P R,R AY AO R,1
R AY AH,R AH,1
P F AY V F,P DH AE T F,1
T S AH,T AH,1
G G OW T AY,G W AH N AY,1
 Y UW W, HH IY W,1
JH D D,JH D,1
HH EH L P G,HH AE V G,1
JH UW AH L B,JH AA B,1
Z D IH G M,Z T EY K M,2
R AY D DH,R AE DH ER DH,1
ER IH N,ER AH N,1
N T,N D T,2
N IH N,N AH N,1
N V,N D V,1
K IH NG Z R,K AH N D R,1
IY Z D ER,IY S T ER,1
AE F D,AE S T D,1
AH T ER,AH D ER,1
IY D Z,IY CH AH Z,1
R IH S K,R AY Z K,2
K G L,K L,1
L AH V Z,L AE B Z,1
L AH V Z,L OW Z,1
N IY DH,N DH,1
DH ER S,DH AH AH P S,1
M W EH N,M AA N,1
R AH JH,R JH,1
IY HH AE D Y,IY Y,1
IY TH AO T,IY DH OW IH T,1
W EH R OW,W ER OW,1
IY D B,IY B,1
D AA R K S,D AO G S,1
T IY N,T AY N,1
UW IH,UW HH IH,1
IH T S R,IH Z R,1
R Z IH Z,R Z,1
T S M,T M,1
AW AO,AW T AO,1
IH F,IH R F,1
F W AA Z S,F AO R S,1
UW DH,UW T DH,1
DH D B AY DH AH,DH AE T AH,1
S M AH S,S B IH S,1
S AA ZH,S AY D,1
CH AH N T,CH T,1
M L IY IH,M M AY IH,1
M EY ER,M IY ER,1
IY AE Z T,IY AH S T,1
DH AH AY,DH AE T AY,1
F R UW T AH,F ER D AH,1
R IY M Z,R EY N Z,1
Z AE T T,Z T,1
T OW L G EY,T UW D EY,1
Z AA R T,Z AH V T,1
W AO R DH,W AA Z DH,1
D IH N,D AH N,1
D IH D,D AH D,1
S HH AE Z,S IH Z,1
N S,N D S,1
R AA P F,R AW T F,2
AY V F,AY ER F,2
R AH M,R M,1
 AO R, AA R,1
IY OW V ER,IY ER,1
ER S,ER W AA Z S,1
EH R,EH R AA R,1
AY AA D,AY AH D,1
JH EH F,JH IY F,1
L IY N D,L EY M D,1
 AH P, P,1
 AH P, HH ER P,1
D HH ER,D ER,1
TH AY Z,TH AE Z,1
 R, F R,1
R AA B S,R AH M S,1
D S K,D K,1
K EH CH,K AE CH,1
L AH N AH,L AH,1
L AW L,L AA T AH V L,1
UW T IH N,UW N AH N,1
L AY K,L AE K,1
K DH,K S DH,1
 B AH T W, F AO R W,1
V DH AH,V D AH,1
 DH AH OW EY S, Y AO R AY S,1
S IH S,S AH S,1
Z R AH N,Z AA N,1
EY Z N,EY S N,1
B AH T,B R IH T,1
T DH AH SH,T IH SH SH,1
TH AO T Y,TH ER D IY Y,1
S IY D,S EH D,1
F AH S,F EY S,2
W EH R AH Y,W ER Y,1
T AY Z DH,T W IH SH DH,1
N D R,N R,1
AE T S M,AE CH M,1
IY AW AO,IY IH L AO,1
Z DH AE,Z AE,1
R K,R AH K,1
R Z S,R S,1
L IY P,L AY P,1
P F R,P R,1
AE N T,AE K T,1
K AH L,K L,1
HH IY IY,HH IY,1
IY T OW,IY D OW,1
AO L K,AO R K,1
AY Z,AY IH Z,1
Z D AH P,Z DH AE T,1
R AA D,R AY D,1
 K L IH F, G OW F,1
F W,F ER W,1
V AH L F,V ER F,1
D W AH,D B AH,1
DH AH M,DH AE T M,1
DH AH S,DH IH S S,1
IY S,IY IH Z S,1
T OW L,T IH L,1
K L IY,K W IY,1
N Z SH,N SH,1
 D AE, G AE,1
 AO SH, AA SH,1
IY TH M,IY EH S M,1
 P R AA JH EH K T D IH V EH L AH P M AH N T W AA Z P R AH S IY D IH NG T UW S L OW L IY,,1
DH AE T N,DH AH N,1
L IH Z,L AE Z,1
L AH N OW,L IH NG OW,1
 N OW R, DH AH R,1
DH AH N,DH EH N,1
N IH R,N DH EH R,1
R AH S T S,R S,1
SH TH,SH T TH,1
AH V Y UW P,AH P,1
IY D IH SH N,IY T AH S T N,1
T T UW D,T AH V D,1
P IH N,P AE N,1
N AH CH N,N IH SH N,1
SH AH B,SH IH B,1
M IH L,M EH L,1
L K B,L T B,1
 HH ER W, DH AH W,1
R IH Z,R AE Z,1
EY K M,EY T M,1
M IY SH,M AH N T SH,1
EH D AH N D,EH D,1
AY S,AY Z,1
ER AH N D JH,ER JH,1
IY AA R,IY AO R,1
