T IH N,T AH N,124
T IH N,T EH N,1
N G,N D G,125
D HH IH,D IH,1
N AH,N D AH,10
N AH,N T AH,1
Y AO R,Y IH R,1
IY AE N,IY AA N,4
IY AE N,IY AH N,8
IY AE N,IY IH N,1
IY AE N,IY OW N,1
M AA K D,M AY D,1
 AA HH AA, AA,1
D AH V,D IH V,1
R S,R S S,1
ER AA R B,ER AH B,3
R W AO,R M AO,1
R N,R AA N,1
R N,R M,1
R N,R,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
K AH M,K AA M,2
T AH K,T AA K,1
B AH F,B OW TH,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L,,1
W ER M,W AO R M,3
 AH, DH AH,15
 AH, DH AH AH,1
UW L IY,UW W IY,3
L EY K,L AY K,1
AA SH W,AA CH W,14
AA SH W,AA Z W,1
 D AE, DH AH AE,1
 D AE, DH AE,2
S AH Z,S ER Z,1
N EY T,N AH T,1
T AH D W,T IH V W,1
S AH NG,S AO NG,1
D S L,D L,1
UW DH D,UW D,5
M AH,M AH N AH,1
M AH,M L AH,1
N K,N D K,4
N K,N T K,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
 B IY IH, DH AH IH,1
OW T AY,OW AY,1
D L,D AH L,1
L IY AE M B,L DH AH EY B,1
L IY AE M B,L EY B,1
L D TH R UW,L T UW,1
N DH AH,N T AA M AH,1
N DH AH,N AH,3
AH T W,AH S W,1
AH T W,AH W,1
L F TH,L TH,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
EH G S,EH K S,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,5
R IH Z,R Z,2
R AH P,R P,5
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D IH K,D AH K,1
T S AH S,T ER Z S,1
W UH D JH,W IH DH JH,1
 B R, R,1
OY L,OY AH L,1
L AH G L,L AE Z W EH L,1
L OW,L,1
 M, DH AH M,1
V HH ER ER EY,V AH R EY,1
V HH ER ER EY,V R EY,1
NG AE T,NG IH T,2
 HH IH Z SH, DH AH SH,2
HH AE D Y AO R D,HH EY AH D,1
W AO T,W AH T,5
T ER AO,T AH AO,1
T ER AO,T AA R AO,2
T ER AO,T AO,2
K M IY T,K T,1
IY AE N OY L,IY IH NG AO L,2
L IY R AE G L,L ER AW N D L,1
 B AH, DH AH,1
R AE Z M,R M,1
CH F L EH K S,CH P ER S,1
AH B IH L,AH N AH L,1
L AH T IY,L IY,1
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
IY T UW R,IY R,1
S IH R K,S ER K,1
T S AH,T AH,9
 B IH F, F,1
 B IH F, DH AH F,1
R TH ER Z D EY Z,R DH OW Z,1
M R IY V Y,M Z Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,1
AY AA D,AY AO R D,1
AY AA D,AY AH D,2
N,N D,2
JH EH F TH,JH AH S T TH,1
UW D IH,UW IH,3
IY N Z SH,IY S SH,1
D Y AO R D,D D,3
D Y AO R D,D T UW D,1
UW T IH N,UW N,2
UW T IH N,UW D AH N,2
UW T IH N,UW N AH N,1
W AO T ER,W ER,1
W AO T ER,W AY ER,1
ER AO,ER D AO,1
ER AO,ER F AO,1
N OY,N D OY,2
 Y UW T, IH T T,1
V AH S,V IH S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
HH AW S IH Z,HH AE Z,1
Z N,Z AH N,1
N AA T IH N,N D N AY N,1
OY EH V ER IY F AY L R,OY R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
AH Z,AH Z HH IH Z,1
AH Z,AH AE Z,1
 B AA B P, DH AH P,1
 B AA B P, AH P P,1
 B AA B P, P,1
ER D OW,ER OW,1
NG R UW M M,NG AH V M,1
UW W AY L W,UW AA R W,2
 M IH D IY V AH L S, S,1
AY R AA,AY ER AA,1
IY Z,IY,1
 Y UW Y, Y,1
EH T AH F,EH D IH K F,1
P Y UW T,P IY T,2
Z R AH,Z W AH,1
M TH EY R,M DH EH R,2
R W AO R N,R AA N,1
T ER R,T AH L R,1
M S,M Z S,1
AH P ER,AH F ER,1
K S,K S S,1
S AA R F,S OW F,1
F AO R SH,F AH SH,1
V HH ER ER EY N,V AH R AE N,1
N JH F AO R AH M,N CH ER M,1
NG AE T T,NG AH P T,1
N OY L,N ER L,3
N OY L,N D AO L,3
N OY L,N L,1
N OY L,N OW N L,2
N OY L,N AO L,3
N OY L,N D OW N L,1
V IH N,V AH N,1
N F,N D F,3
N F,N AH F,1
N F,N IH NG F,1
L IH,L IY IH,2
L AH V,L HH AE V,1
L AH V,L IH V,1
F HH IY W,F Y UW W,2
N D SH,N SH,1
N D SH,N Z SH,1
IY N IH,IY T IH,1
 V EY, F EY,1
M AE Z S,M AH S,1
IY V IH,IY D IH,1
S AA R,S AO R,4
S N,S AH N D N,1
Y AO R D,Y UW D,3
Y AO R D,Y OW D,1
CH IH Z S,CH S,1
T IH S,T AH S,4
SH W,SH T W,1
SH W,SH K W,1
 B AE L, DH AH L,1
UW B AY,UW F AY,1
AY EH N,AY N,1
N IY K,N D K,1
W AO R AH B,W ER B,1
 IH G, DH AH G,1
G W AA N,G Y UW AH N,1
N AH Z,N AE Z,1
Z AH N,Z AE N,1
Z AH N,Z N,1
N D AE,N AE,3
ER Z AA R T,ER T,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,1
K AE R,K EH R,2
K AE R,K AO R,3
R IY AE N OY L IY R,R IH NG AO R DH AH R,1
IY IH NG AH,IY D AH,1
D AH D AH M B,D ER B,1
R EH L,R AO L,1
L AH AE,L AE,1
 IH F DH, DH,1
M IH Z,M ER Z,1
M IH Z,M AE Z,2
IY AA R,IY AO R,7
R W UH D B,R B,1
 B AA, F AA,1
R B B,R B,4
N D P,N P,3
P ER AH,P AE L AH,1
Z IH N,Z AH N,8
B AA N F,B AO L F,1
F AY ER,F AA R,2
S AH S,S IH Z,1
S AH S,S AY S,1
EY D Z HH,EY T HH,2
EY D Z HH,EY S HH,1
L AA AE,L AO AE,4
L AA R W,L AW ER W,1
ER R IH,ER IH,1
T AH N,T,1
T AH N,T AA N,1
T SH R,T T R,1
W EH N AY,W AY,1
AY AA,AY L AA,1
L IY N Z SH,L EY M D SH,1
R EH N D,R D,1
ER AH N S,ER T,1
 IH F P, P,2
ER N D P,ER AH P,1
ER N D P,ER P,1
 B AE, DH AH AE,1
 B AE, DH AE,1
 B AE, DH EY AE,1
AH T B AO L K,AH V AW ER K,1
 SH IY HH, DH AH HH,1
 SH IY HH, HH,1
AE D Y,AE Z Y,3
N G R,N K R,1
S IY W,S Y UW W,4
 D IH V ER, DH AH F ER,1
ER S,ER S T S,2
ER S,ER Z S,2
S AH T,S IH T,1
AH V P,AH P,2
R D DH,R DH,3
Z D DH,Z DH,2
 IH, DH AH IH,2
Z AA R,Z AO R,8
AH P,AH P P,3
P EH K,P AE K,5
P EH K,P IH K,1
N AH B,N AY B,1
B IH G,B EH G,1
S T D,S D,1
 HH IY T, DH AH T,1
S K F,S F,1
D EH K,D EY,1
K L IH D F,K W EY F,1
Z JH AA,Z CH AA,1
IH D Z OW M,IH T AO R M,1
M IH T,M IY T,1
IH S K,IH T,1
IH S K,IH Z K,2
NG IH N,NG AH N,8
N P,N D P,9
P T F,P AH F,1
HH ER ER,HH ER,1
ER EY N,ER IH N,1
N JH F,N F,1
AA D AH,AA N T AH,1
UW HH IH,UW IH,1
HH EH M,HH IH M,1
OW AA N,OW AH N,1
N B,N D B,2
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,,1
Z B IH,Z V IH,1
Z IY F,Z AH T F,1
 K AH M P AH L S ER IY R IY T AY ER M AH N T AE T S IH K S T IY F AY V L UW M Z AA N AW ER HH ER AY Z AH N,,1
S AH Z AH,S DH IH S AH,1
 HH AW Z IH T S, DH AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
S IH N,S AH N,3
S IH N,S EH N,1
N L,N D L,2
 P OW CH DH AH AE P AH L Z IH N DH IH S S ER AH P F AO R T W EH L V M IH N AH T S D R EY N DH EH M AH N D K UW L,,1
Z DH AH,Z AH,1
 L AO, AO,1
 L AO, N AO,1
T UW M N,T AH V N,1
T UW M N,T IH NG N,1
AY Z T,AY S T,1
B AH N,B IH N,1
N D K,N K,1
AY ER L,AY R L,1
V W AO,V F AO,1
V W AO,V AO,3
AH G AH N M,AH K R EH M,1
T F AO R TH,T W ER TH,1
T F AO R TH,T TH,1
 IH G W, HH IY K W,1
 IH G W, DH AH K W,1
W AA N,W EY N,1
AH Z AH,AH S AH,1
T S W,T W,1
 W IH L R, R,1
W EH R AH,W ER AH,6
UW TH F,UW F,3
L AW T,L OW,2
W AO R AA,W ER AA,1
N AA,N D AA,2
ER AH R,ER R,1
W IH L,W EH L,6
T D IH D AH,T DH AE T AH,1
L IH P,L EH P,2
F G AH,F K AH,1
AA SH AH Z,AA ZH IH Z,1
D AH L G,D AO G,1
L IY M,L EY M,1
F OW N IY,F AO R T IY,1
N D T,N T,6
OW D D,OW D,1
S AE T,S EH T,6
AA N D,AA D,2
D AH N,D IH N,2
N D S,N S,1
 B EH, DH AH EH,2
DH IY Z SH,DH AH SH,4
DH AE N B,DH AH B,1
D EY K S W,D EH G Z W,3
V AH,V W AH,1
AH HH,AH N HH,1
 P UH T, B AH T,3
 P UH T, DH AE T,1
 P UH T, W AH T,1
IY HH AE D,IY D IH D,1
IY HH AE D,IY ER JH D,1
IY HH AE D,IY EY JH D,1
T IH N G,T G,10
L IH N,L AH N,2
IH DH D,IH TH D,1
R AO AO,R AO,3
Z AE T,Z IH T,1
W AH N,W AA N,1
N S,N T S,1
N S,N D S,2
EY D T,EY T,6
M IH N,M AH N,2
V AA R T S,V AW ER S,1
 AH CH, CH,1
AO L L,AO L,1
EY K,EY T,1
EH N,EH M,1
UW F IY,UW B IY,1
IY D M,IY M,1
 DH IY Z IH N K L UW D L IY V Z AH V AE B S AH N S IH Z IH, IH,1
T B AY,T R AY,1
T B AY,T F AY,1
AY IH T,AY T,1
R IY D,R EH D,3
D Z DH,D DH,3
R IH S K,R IY Z K,2
L AO,L OW AO,1
IH Z G,IH T S G,1
ER Z SH,ER SH,2
D AW ER AO,D AA R AO,5
G AE S,G EH S,1
N IH Z,N HH AE Z,1
N IH Z,N AE Z,2
AW G UH D IH,AW IH,1
 B AA R B B, AW ER B,1
B AA N,B IH N,1
R M R,R R,1
IY IH Z,IY AE Z,2
AO L P,AO R P,1
S M AH,S B AH,1
K AH P,K AA P,1
Z M,Z D M,2
AH K,AH K R AO S K,1
S IH,S T IH,1
S IH,S EY IH,1
OY T,OY N T,1
AO Y,AO AH Y,1
AO L F,AO F,2
 IH Z IH T B IH K AO Z AH V M AY S L AH V AH N L IY N AH S DH AE T HH EH R G R OW Z AA N M AY F EY S,,1
R IH N,R AE N,1
D AE Z,D IH Z,1
AY IH,AY Y IH,4
ER N,ER AH N,3
N M,N D M,2
V K AA M,V G AH M,2
IY AE Z,IY HH IH Z,2
IY AE Z,IY Z,1
 B AH T AH, AH,1
K IH T AH,K AH,1
 OW HH, HH AW HH,1
S T UW,S K UW,1
AW AH R,AW AA R R,1
ER Z,ER,2
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,,2
K OW P,K AA P,1
ER AO L Y,ER HH AA G Y,1
ER AO L Y,ER AA R Y,2
ER AO L Y,ER Y,1
ER AO L Y,ER AW ER Y,1
UW W AO R,UW AA R,1
SH OW D,SH UH D,1
 AH B AO R IH NG N AA V AH L IH Z AH S, S,1
IY HH AE D Y AO R D,IY EY JH D,1
R EH M B AH,R AE V AH,1
L EH S,L AE S,1
IY S SH,IY SH,1
T D R,T T R,1
AH NG K HH,AH M P HH,1
AO L Z,AO F,1
OW N AY,OW M AY,1
AY S S,AY S,1
Z M Y UW Z,Z P AH Z,1
K DH IH S D,K AE Z D,1
F AA F,F AO R F,1
N AH M,N IY M,1
M AH K,M IH K,1
V AE Z,V IH Z,1
S IH N AH,S HH AE D AH,1
CH T DH,CH DH,3
B EH G,B IH G,1
AY Z S,AY S,1
B OW L,B AO L,2
N W,N D W,2
M AA P T,M AY T T,1
T TH IH K,T EY K,1
P AH L S,P AE S,1
 DH EH R, TH EY R,1
S W ER T,S F AO R T,1
D AH P,D P,1
F EH L,F IH L,1
 D UW L, DH AH L,1
T HH IY T,T EY T,1
UW TH F EH,UW S P EH,1
N D DH,N DH,2
