T IH N,T AH N,114
T IH N,T UW D AH N,1
N G,N D G,115
N G,N D DH AH G,1
N G,N T G,1
D AA R K,D AE K,1
D AA R K,D AH K,1
K D IH,K HH IH,1
IH S T EY,IH Z F EY,1
S T,S,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
N DH AH S,N S,2
B G,B Z G,1
N D IH,N IH,1
N D IH,N IH NG IH,3
R W AO,R B AO,1
Y UW N Y AH N,Y IH R,1
 HH IY, IY,1
V AA N,V IH N,1
B AH F,B OW TH,1
 DH AH, AH,4
 DH AH, F AH,1
T DH AH W ER M AA N DH,T DH,1
L Z,L,11
T S,T S S,1
T S,T,6
S AH B,S UH P ER B,1
B T EY N P,B P,1
UW L IY,UW W IY,1
UW L IY,UW B IY,1
N V ER S AH Z,N F AO R,1
UW DH D,UW D,2
D Y AO R D,D AH D,3
D Y AO R D,D T UW D,2
F D AH N EH,F DH AE T EH,1
ER Z B,ER B,1
AH B IH,AH P IH,1
D L,D AH L,1
D L,D DH AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
 DH AH B, B,2
 SH IY W AO, HH AH AO,1
L D DH,L DH,5
R AH P,R P,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
N T S,N S,1
S T R,S F AO R,1
R EH S,R AH S,1
S AH,S DH AH,1
L IH T,L AH N T,1
W UH D JH EH N,W IH DH CH AE N,1
L AH G L,L W EH L,1
L OW,L,1
 IH F K, K,3
V HH ER ER,V ER,3
JH F,JH D F,2
NG AE T,NG IH T,4
 HH IH Z SH, DH AH SH,2
N G R IY,N D W IY,1
IY S IY W,IY SH UH D W,1
IY AE N,IY AA N,3
IY AE N,IY AH N,6
IY AE N,IY AY D AA N,1
IY AE N,IY IH T AA N,1
IY AE N,IY IH N,1
N OY L IY R,N AH R,1
N OY L IY R,N DH AH R,1
N OY L IY R,N AO R DH AH R,1
CH F L EH K S,CH P AA S,1
IY T UW R,IY R,1
T S AH N D AH,T AH,1
T EH K S T R AH,T AH V DH AH,1
L AH,L DH AH,2
L AH,L AY K AH,1
L AH,L D F AO R DH AH,1
 B IH F AO, AO,1
AO R TH,AO TH,1
ER Z D EY Z,ER Z,1
M R IY V Y,M IH F Y,1
