T IH N,T AH N,127
N G,N D G,129
DH IH S,DH AH S,3
S D AY,S T AY,1
AY V S,AY L S,1
P F AY V F,P T S AA L AH D F,1
P F AY V F,P DH AE T F,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
Z D ER,Z S T ER,1
ER T IY,ER D IY,2
HH IY V,HH AE V,1
R IY S,R EY S,12
S AH Z,S IH Z,1
AH B IH,AH P IH,2
D L,D AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
W UH L,W IH L,1
L AH N OW,L IH NG OW,1
L D DH,L DH,4
R AH P,R P,3
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,5
JH F,JH D F,4
NG AE T,NG IH T,4
D Y AO R,D AH R,1
R D,R AH D,1
D AA R K,D AH K,1
K S UW T IH,K SH AH N IH,1
K M,K HH IH M,1
M IY T,M T,1
IY AE N OY L,IY IH T AO L,1
L IY R AE G L,L ER AW N D L,1
IY T UW R,IY R,1
S IH R K,S ER K,1
EY Z IH,EY IH,1
M R IY V Y,M Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
JH EH F TH,JH AH S T TH,2
N Z SH,N SH,1
N Z SH,N D SH,1
D Y AO R D,D AH D,2
D Y AO R D,D D,1
D Y AO R D,D Z AH D,1
 Y UW T, HH IY T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
OY EH V ER IY F AY L R,OY R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
 AE L AH S, HH AW S,1
N OW T,N AA T,1
 B AA B P, P,3
N G R,N K R,3
N G R,N D K R,1
S IY W,S DH AH W,3
S IY W,S Y UW W,1
P Y UW T,P IY T,1
ER AA R B,ER AW T B,1
N DH AH,N AH,2
ER W,ER Z W,1
Z R AH,Z W AH,1
M TH EY R,M DH EH R,1
R W AO R,R AA R,1
R N,R AA N,1
R N,R AH N,1
UW CH AA,UW T R AA,1
AA R L,AA L,1
T ER R,T AH L R,1
S AA R F,S AH V F,1
F AO R,F R,3
R SH,R EH SH,1
N UH K S,N OW T S,1
UW D AW ER AO,UW AO R AO,1
UW D AW ER AO,UW AA R AO,1
UW D AW ER AO,UW Y AO R AO,1
JH F AO R AH M,JH HH ER M,1
N AW DH,N OW DH,1
M ER AH,M AH R AH,1
S T K,S K,1
B AE L,B IH L,1
V W AO,V AO,4
 IH G, AH G,1
 IH G, HH IY G,1
G W AA N,G Y UW AH N,1
N AH Z,N IH Z,1
Z AH N,Z AE N,1
Z AH N,Z IH N,1
N D AE,N AE,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,1
SH IY HH AE D,SH EH D,1
AH W UH M AH N K,AH L AO NG K,1
M AH L,M L,1
IY IH NG AH,IY D AH,1
F DH AH,F AH,1
R B B,R B,5
ER N D P,ER AH P,4
S AH S,S ER Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,1
S AH Z AH,S EH S AH,1
AE D Y,AE Z Y,2
AH V P,AH P,1
K AO,K W AO,1
R D ER,R T ER,1
ER OY OW,ER L IY OW,1
