T IH N,T AH N,139
N G,N D G,139
D AA R K,D AE K,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
S AH Z,S IH Z,1
S AH Z,S OW HH IH Z,1
D Y AO R D,D AH D,3
D Y AO R D,D HH ER D,1
R EH M P,R AH P,1
P L OY M AH,P OW N AH,1
AH B IH,AH P IH,2
D L,D AH L,1
L IY AE M B,L Z EY B,1
L D TH R UW,L T UW,1
W EH L,W IH L,2
R D EH N,R T AH N,1
D AH S,D S,1
L D DH,L DH,3
R AH P,R P,3
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,3
V HH ER ER,V AO R ER,1
JH F,JH D F,2
NG AE T,NG IH T,5
N G R IY S IY,N D W IH SH IY,1
K M,K DH EH M,1
K M,K T M,1
M IY T,M T,1
IY AE N OY L,IY IH T AO L,1
L IY R AE G L,L ER AW N D L,1
IY T UW R,IY R,1
K AH T,K OW T,1
EY Z IH,EY IH,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
JH EH F TH,JH AH S T TH,1
IY N Z SH,IY S SH,1
 Y UW T, HH IY T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
 AE L AH S, HH AW S,1
N OW T,N AA T,1
 B AA B P, P,2
N DH AH S,N S,1
Z R AH,Z AH,1
N DH,N D DH,1
M TH EY R,M DH EH R AA R,1
W AO R N,W AH N,1
T ER R,T AH L R,1
S AA R F AO R SH,S AH V N AE SH,1
SH N,SH AH N,1
N UH K S,N AH L IH S T S,1
D AW ER AO,D AA R AO,1
R IY S,R EY S,9
K AE R,K EH R,2
K AE R,K AO R,1
R IY AE N,R AH N,1
JH F AO R AH M,JH HH ER M,1
N D SH,N SH,1
N AW DH,N OW DH,1
S N,S IH N,1
N AH,N DH AH,1
N AH,N D AH,2
AH G L,AH K AH L,1
B AE L,B IH L,1
K AO,K W AO,1
R D ER,R T ER,1
R D ER,R N ER,1
ER OY,ER R OY,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH D,2
F DH AH,F AH,1
R N,R AH N,2
TH S T,TH T,1
R B B,R B,5
IY AE N,IY AH N,6
IY AE N,IY IH N,1
IY AE N,IY AA N,1
N OY,N D OY,1
UW IH N,UW AH N,1
N IH,N D IH,1
N Z SH,N D SH,1
ER N D P,ER AH P,3
AE D Y,AE Z Y,3
N G R,N K R,1
S IY W,S DH AH W,1
AH V P,AH P,1
N N,N D N,1
P EH K,P AE K,5
S T D,S D,1
Z OW M,Z AO R M,1
M IH T,M IY T,1
K T DH,K S DH,1
K T DH,K IH NG DH,1
K T DH,K DH,3
NG IH N,NG AH N,5
N P,N D P,6
P T,P AE T,1
AA D AH,AA N T AH,1
P AH HH,P AO R HH,1
HH EH M,HH IH M,1
B IH,B EY S IH,1
IH Z IY F,IH K F,1
 AE L, EY L,1
 AE L, AO L,1
L AH S AH Z,L Z IY Z,1
Z IH T S,Z DH AH S,1
UW F,UW AO R F,1
F AW L,F AO L,1
S IH N,S AH N,1
N L,N D L,1
N L,N D AH L L,1
CH DH,CH T DH,1
D DH,D Z DH,1
B AH N D K,B K,1
D AE Z,D HH IH Z,1
HH AE D,HH ER D,2
AH F IY T W,AH W,1
L IH P,L EH P,1
N DH AH,N AH,1
W EH DH ER,W AO T ER,1
F OW N IY,F AO R T IY,1
N D T,N T,6
B EH G DH,B AE NG DH,1
DH IY Z SH,DH AH SH,2
DH AE N,DH EH N,4
V AH,V W AH,1
AH HH,AH N HH,1
M D AA,M DH AH AA,1
 L, AH L,1
EY D T,EY IH NG T,1
 AH CH, CH,2
T S F,T F,1
AH S T S,AH S,1
P L,P AH L,1
IY Z T,IY S T,1
ER Z SH,ER SH,2
UW D AW ER AO,UW AA R AO,1
UW D AW ER AO,UW AO R AO,1
N IH Z,N HH AE Z,1
 IH F P, P,1
B AA R B,B IY B,1
N D P,N P,1
R M,R AH M,1
R M,R AH M M,1
Y AA R,Y AO R,1
R N T,R T,1
R IH N,R AE N,1
IH DH DH,IH DH,1
IY AE Z,IY Z,2
Z AH M,Z M,1
 OW HH, HH AW HH,1
Z D ER,Z TH ER,1
Z D ER,Z S T ER,1
ER T IY,ER D IY,3
T K,T AH N D K,1
SH OW D,SH UH D,1
L IH Z,L AE Z,1
ER OY OW,ER R EY OW,1
V W AO,V AO,1
F AA F,F OW F,1
N AH M,N IY M,1
M AH K,M IH K,1
S AE T,S EH T,2
AA N D,AA D,1
CH T DH,CH DH,2
DH AE T G,DH EH R G,1
AY Z S,AY S,1
AA P T,AA K T,1
W IH L,W EH L,2
 D UW, JH UW,1
 D UW, T UW,1
AY N B,AY B,1
B OW L,B AO L,1
V DH AH,V AH,1
F UW L W,F AO R W,1
 V Y UW, D UW,1
 B EH G DH, T EY K DH,1
AA R D,AA D,2
 AH, DH AH,1
EH M B L,EH L,1
OW IH F,OW AH F,1
AE F AH,AE TH AH,1
B B,B ER AH B,1
 N EH V ER HH, IH F Y OW Y AH R HH,1
 T UW F, F,1
R IH S K,R AH K,1
R IH S K,R AY Z K,1
Y EH L,Y EY L,3
T IH,T HH IH,1
IH T S AE,IH Z AE,1
 HH UW AO, AO,1
Z D DH,Z DH,1
W ER IY,W EH R IY,1
R IY AE,R AE,1
AH TH IY M,AH F EY M,1
P AA R,P AO R,1
EY N M,EY M,2
L AH S,L S,1
N OY L,N D OW N L,4
N OY L,N AO L,3
N OY L,N OW L,1
N OY L,N OW N L,1
N OY L,N ER L,1
N OY L,N OW V ER L,1
N OY L,N AO R D ER L,1
D T UW B,D B,1
R OW AE N,R AH N,1
N AA,N D AA,1
L F,L AO R F,1
 D AE F N Z S, AH S,1
L IY R,L AH R,1
L IY R,L D R,1
L IY R,L IH R,2
L AY,L AE F,1
T S S,T S,1
N AE,N D AE,2
M AE N,M EH N,1
V AA K,V AO L K,1
 AE T T, AH T,1
SH OW N W,SH AW ER W,1
R W,R AH W,4
AY K HH,AY T HH,1
HH AH N,HH ER N,1
AH R,AH IH R,1
T IY V W AO,T EY F AO,1
AE D Y AO R D,AE Z AH D,2
Z AA IH,Z AE N IH,1
Z AH,Z DH AH,1
L IH N,L AH N,1
T AH N,T AO N,1
N D W,N W,1
S AE T B,S EH D B,1
DH AH,DH AH AH,1
P AA N,P OW N,1
P AA N,P AO N,1
N D AH,N AH,2
N D S,N T S S,1
T DH AH S,T UW S,1
 B, DH EY B,1
G DH AE T G,G G,1
G DH AE T G,G UH D G,1
Z DH AE N,Z AH N,3
N B,N D B,3
HH EH N,HH AE N,1
N AE N,N AH N,1
UW W ER IH,UW AA R IH,1
SH AH B L,SH IH P L,1
 D AA N T AE, AE,1
M AH G,M G,1
 D IH D, D,1
D Y UW,D UW,1
AY EH N,AY AH N,1
N IY K,N D AH K,1
AH N M,AH V ER M,1
N K,N T K,1
 IH G, HH IY G,1
G W AA N,G Y UW AH N,1
N AH Z,N AE Z,1
Z AH N,Z N,1
N D AE,N AE,1
AE L AH,AE V AH,1
Z AA R T,Z AH V T,1
AY,AY N,1
Z AO L EH R ER,Z OW ER,1
ER Z,ER TH,1
G B AY Z F,G R AA S F,1
F AY L,F AW L,1
AY AA D,AY L D,1
AY AA D,AY AH D,1
D AH T,D IH T,1
M Y UH R,M AO R,1
M ER AW,M AH R AW,1
L IH D,L EH D,2
