D Y AO R D,D HH ER D,2
D Y AO R D,D D,4
D Y AO R D,D DH AH D,3
D Y AO R D,D AH D,2
T IH N,T AH N,42
T IH N,T AW N,1
T IH N,T EH N,1
T IH N,T S AH N,1
N G,N D G,50
N G,N AH G,1
UW T S W,UW B Z W,1
M D F,M F,1
 P R, F AO R,1
D AH K SH,D AA P SH,1
N M EY,N DH EY,1
 P IY T S, DH AH S,1
S ER,S ER JH ER,1
S ER,S AA R,1
S ER,S OW V ER,1
IY AH Z,IY IH Z,2
Z AA R K,Z ER K,1
IH K,IH K K,1
K L AH N,K W AA N,1
N CH,N EH S,1
 P UH T DH, DH,7
L IH N,L AH N,3
L IH N,L AA N,1
L IH N,L EH N,1
N DH,N D DH,4
N DH,N Z DH,1
N DH,N AH DH ER DH,1
 D R, F R,1
 D R, TH R,1
 D R, SH UH R,1
R AA P F,R AH M F,1
R AA P F,R UW AW T DH AH F,1
R AA P F,R F,1
F AY V F AO,F AH JH AO,1
R M Z IH N,R AH N,1
N DH AH B,N JH B,1
OW AW,OW W AW,1
AW T,AW,1
AW T,AW D,1
D B L,D L,1
L AW S,L AO S,1
D Y AO R D AA,D G AA,1
D Y AO R D AA,D DH AH AA,1
D Y AO R D AA,D T UW G EH T K AH T AA,1
D Y AO R D AA,D HH ER K AA,1
D Y AO R D AA,D T UW AA,1
D Y AO R D AA,D P AA,1
D Y AO R D AA,D DH AH K AA,1
AA R K S,AA T S,2
S UW T IH N,S OW AH N,1
S UW T IH N,S OW L AH N,1
S UW T IH N,S OW EH N,1
SH W AO T ER AO,SH AA N AO,1
 D AA N T AE, S OW AE,20
 D AA N T AE, S OW L AO NG AE Z P AE,1
 D AA N T AE, JH AO R JH AE,1
 D AA N T AE, Y AE,1
 D AA N T AE, DH OW DH EY AE,1
 D AA N T AE, S EH R AH AE,1
 D AA N T AE, JH AH JH AE,1
 D AA N T AE, AE,6
 D AA N T AE, S OW L AE,1
 D AA N T AE, Y AE AE,2
 D AA N T AE, AO L DH AE,1
 D AA N T AE, DH AH L AE,1
 D AA N T AE, AO L AE,1
 D AA N T AE, L AE,1
 D AA N T AE, S OW AY AE,3
 D AA N T AE, S OW AW ER AE,1
 D AA N T AE, JH OW S AH F AE,1
 D AA N T AE, S OW DH EY AE,1
 D AA N T AE, S OW L AO NG AE,1
IY AE N,IY AA N,16
IY AE N,IY AH N,14
IY AE N,IY AH AH N,3
IY AE N,IY AA N AH N,1
IY AE N,IY IH N,2
IY AE N,IY IH T AA N,2
IY AE N,IY IH NG AH N,1
IY AE N,IY AY D AH N,1
N OY L IY R,N DH AH R,8
N OY L IY R,N R,1
N OY L IY R,N D AY HH AE V AH R,1
N OY L IY R,N AH R,9
N OY L IY R,N D AA N DH AH R,1
N OY L IY R,N AO R R,1
N OY L IY R,N D AO R AH R,1
N OY L IY R,N D AA N AH R,1
N OY L IY R,N IH R,2
N OY L IY R,N D IH R,1
N OY L IY R,N D AY R,1
N OY L IY R,N D AH R,1
 HH AH, AE Z AH,1
AH S K IY Y,AH Y,1
IY S EH D W,IY Z DH AE T W,1
W IH DH M,W AA Z M,1
AA K D IH S,AA JH AH S,1
T EY,T F EY,1
EY S T,EY Z,1
 AA HH AA, AA,1
IY TH AO T,IY Z G AA T,1
D AH V,D IH V,1
R S,R S S,1
 DH, AE D DH,1
 DH, Y AE DH,1
 DH, T UW DH,1
AH S T EH,AH EH,1
EH K N IH K AH L IH F IH SH AH,EH G Z AH,1
N S IY IH Z AH CH IY V D,N D,1
D AE T DH AH IH K S P EH N S AH V AE,D M AE,1
AE K CH,AE CH,1
CH AH W AH L,CH AO L,1
 AA B JH EH K T S, SH EY P S,1
D AH V P Y UW T ER AA R,D AO R K IH L D AO R R,1
R B Y,R IY V Y,1
UW T AH,UW D AH,1
UW T AH,UW DH AH,1
AH F AH L,AH V AO L,1
B G L,B P L,1
B G L,B L,1
L IH S,L AH S,3
L IH S,L OW S,1
 CH IY P S T AA K, K,1
K IH NG Z,K EY N Z,1
K IH NG Z,K SH AH N Z,1
M TH EY R,M DH EH R,2
W AO R N,W AA Z W AH N,1
W AO R N,W AH N,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
 D AA N T AE S, S OW JH EH L AH S,1
 D AA N T AE S, EH S,1
S K M,S M,4
M IY T UW,M Y UW,3
UW K,UW Z IH K K,1
UW K,UW DH AH K,1
UW K,UW T EY K AH K,4
UW K,UW AH K,1
UW K,UW Z IH K,2
UW K,UW T EY K K,2
UW K,UW B IY K,1
UW K,UW K UH D K,1
 IH N W EY JH N AH G OW SH IY EY SH AH N Z DH AH IH N D AH S T R IY B AA R G AH N Z AE Z AH Y UW N AH T W IH DH AH S IH NG G AH L Y UW N Y AH N,,1
IY V AA,IY AA,1
AH B OW,AH V OW,1
M AH,M W AH,1
M AH,M B AH,1
M AH,M IH N DH AH,1
M AH,M W IH DH DH AH,1
T AH K,T AA P,1
T AH K,T UW K,1
T AH K,T R AE JH IH K,1
T AH K,T AE K,1
R B AH F,R AO F,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L,,1
 DH AH, AH,8
 DH AH, D AH,1
 DH AH, JH AH,1
 AH CH, AY CH,3
Z AH N F Y UW,Z T UW,1
UW W IH L B,UW B,2
S AH B T EY N,S K AE N,1
SH B IH G AE,SH W IY K AE,1
T UW L IY P F,T W EY T F,1
F R,F AO R,5
R AE N T,R IH T T,1
R AE N T,R AO G T,1
K AH L,K L,4
K AH L,K UW L,1
K AH L,K AA L,1
K AH L,K AO L,1
L IY AA N DH,L IH R DH,1
L L EY K,L W AY,1
R D AA,R JH AA,8
R D AA,R K AA,8
R D AA,R SH AA,2
R D AA,R IY SH AA,1
R D AA,R Y AA,2
R D AA,R P AA,1
R D AA,R K L AA,1
R D AA,R L AA,1
R D AA,R DH EH R AA,1
R D AA,R G AA,1
R D AA,R AA,3
R D AA,R CH AA,2
R K S UW,R T UW,1
R K S UW,R AY V T UW,1
R K S UW,R Z F UW,1
R K S UW,R T T UW,1
R K S UW,R Z T UW,1
R K S UW,R F UW,1
UW T IH,UW IH,17
UW T IH,UW Z D IH,1
UW T IH,UW DH IH,6
UW T IH,UW D IH,9
UW T IH,UW L AY V D IH,1
UW T IH,UW Z IH,1
N G R,N K R,20
N G R,N R,1
N G R,N D R,1
N G R,N D W IY R,1
S IY W,S DH AH W,11
S IY W,S Y UW W,17
S IY W,S IH T W,1
S IY W,S AH W,3
S IY W,S HH UW W,12
S IY W,S W,3
S IY W,S IH NG W,1
S IY W,S T UW W,1
ER AO L Y,ER AA N Y,1
ER AO L Y,ER AH Y,1
Y IH R,Y UW,1
Y IH R,Y AO R,1
 D AA N, S AW N,1
 D AA N, DH AH W AH N,3
 D AA N, N OW W AH N,2
 D AA N, N,1
 D AA N, DH EH N,3
 D AA N, IH L N,2
 D AA N, N OW N,1
 D AA N, JH OW N,1
 D AA N, S OW N,1
 D AA N, EH L AH N,1
N T AE,N D Z AE,1
N T AE,N AE,8
N T AE,N OW AE,1
N T AE,N DH EY AE,1
N T AE,N AH L D HH AE,1
N T AE,N AY AE,1
N T AE,N AH AE,1
M IY T UW K,M AE N K,1
M IY T UW K,M EY D AH K,1
M IY T UW K,M EH D AH K,1
IY AE,IY IH NG AE,2
IY AE,IY IH N AE,1
IY AE,IY N AE,1
 D AE N S, Y EH S,1
S AH Z,S AE Z,1
S AH Z,S HH IH Z,2
S AH Z,S,1
S AH Z,S IH Z,2
S AH Z,S OW IH Z,1
S AH Z,S EY Z,1
S AH Z,S EH Z,1
Z AO L T ER N,Z AH V N,1
N EY T AH D W,N UW N W,1
W IH DH S,W AA Z S,1
N V ER,N ER,1
ER S AH Z,ER B Z,1
 M AY, AY,1
 M AY, L AY,2
 M AY, W AY,2
AY F AA DH ER R,AY HH AE V R,1
R AE N,R IH T AH N,1
R AE N,R OW G ER AH N,1
 HH IY R HH IY IH Z K W AY T P ER S W EY S IH V L IY DH AH V EH R IY EH M B AA D IY M AH N T AH V M, M,1
 K L IH F W AA Z S UW DH D B AY DH AH L AH G ZH ER IY AH S M AH S AA ZH,,1
 IY CH AH N T AY M L IY IH N K AH M L AO S K OW AH N S AY D AH D W IH DH DH AH B R EY K D AW N AH V AH HH, HH,1
M P AA,M AA,1
M P AA,M V AA,1
R T,R,8
R T,R IH T,1
R T,R T UW T,1
 JH EY, SH EY,1
EY N M,EY M,2
M EY ER,M DH AE T ER,1
N K AE N,N AH N,1
D IY AE Z,D HH IH Z,1
D IY AE Z,D AH IH Z,1
T IH N G,T AH G,2
T IH N G,T G,10
T IH N G,T UW G,2
N T AE S K M IY T UW K,N IH Z K,1
IY AE N OY,IY IH NG OY,1
IY AE N OY,IY OY,3
L IY R,L Y UW R,1
L IY R,L AE Z AH R,1
L IY R,L AH V IH R,2
L IY R,L AH R,5
L IY R,L DH EH R R,1
L IY R,L DH AH R,7
L IY R,L AH N D R,1
L IY R,L AO R DH AH R,2
L IY R,L IH N IH R,1
L IY R,L DH EY R,1
L IY R,L IH R,2
L IY R,L R,1
L IY R,L AH D EY R,1
L IY R,L AH V DH AH R,1
L IY R,L AH V AH R,1
R AE G L,R AY T L,5
R AE G L,R AY D IH NG L,1
R AE G L,R AA K L,10
R AE G L,R AY D L,4
R AE G L,R EY L,2
R AE G L,R EH D L,1
R AE G L,R EH S T L,1
R AE G L,R EH R R IH L,1
R AE G L,R EY T L,2
ER HH,ER G R OW N HH,1
F D AH N EH N,F DH AE T EY N,1
N IY TH IH NG F,N T HH EY F,1
CH T UW B IY,CH W IY,1
HH EY T AH D W,HH AE V W,1
 B IY IH, DH AH IH,1
D AH N,D IH N,1
D AH N,D EH N,1
N D D AA N T AY D EH N T AH,N DH AH,1
AY Y ER,AY ER,1
ER S,ER Z S,1
ER S,ER S T S,1
AH B AH,AH AH,2
AH B AH,AH W AH,1
NG G AH,NG K AH,1
L OW W,L W,1
L OW W,L AH W,1
Z P L,Z K L,1
L EH Z AH N T L,L OW S L,1
D N IH R DH,D T UW DH,1
OW T AY D L IY,OW IY,1
IY AE M B AH L D TH R UW,IY DH ER W EY W AO K T T UW,1
 IY, HH IY,3
IY T IH NG S,IY D AH Z S,1
S P IH N AH CH N AY,S L AY,1
S P IH N AH CH N AY,S IY M Z L AY,1
S AH Z S,S S,1
S AH Z S,S HH IH S,1
TH M ER,TH DH AH K ER,1
ER AE K,ER EH K,1
K Y AH L AH S L IY,K T W EY,1
T AA N DH AH,T HH OW M L AH,1
T AA N DH AH,T W AH,1
AH T W,AH S W,1
L F TH D EY,L DH EY,1
L F TH D EY,L V DH EY,1
W EH L,W IH L,5
W EH L,W AY L,1
SH AH B,SH IH T B,1
B L IY,B OY,1
D V EH JH T AH B AH L,D W AY L,1
Z DH AH HH,Z HH,1
D EH N,D AH N,2
D AH,D IH T IH Z F R AH,1
D AH,D IH N AH,1
D AH,D DH AH,1
D AH,D L AH,1
AH S P ER M,AH M,1
D IH D W,D AH Z W,1
D IH D S,D UW S,1
N IH Z T UW S,N S,1
S AA L V EH,S AO EH,1
S T R AH P,S HH ER P,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,4
DH IH S B,DH AH B,1
R IH Z,R Z,1
R IH Z,R IY Z,1
Z P AA,Z AA,1
T IH,T IH P IH,1
T IH,T W IH,1
T IH,T HH IH,1
T IH,T S IH,1
T IH,T D AH N IH,1
K Y AH L ER L,K L,1
R AH P R AH S,R F ER S,3
S P EH K T,S T T,2
S P EH K T,S T,1
T IH V B AY,T UW F AY,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
R K S,R S,22
R K S,R AH N T S S,1
R K S,R Z S,1
R K S,R P S,1
R K S,R D S,3
R K S,R T S,1
R K S,R D Z S,1
 AO F AH N D AA M AH N AH N T S, S,1
 HH IY HH AE D L EH F T HH ER IH N V AY AH L IH T TH IH NG K, M EY K,1
W UH D JH EH N,W IH DH DH AH CH AE N,1
N T,N S T,1
N T,N T T,2
N T,N,4
N T,N R AH F ER T,1
N T,N D T,2
N T,N D,1
N T,N Z T,1
N T,N AH T,1
T AH L HH,T UW HH,2
 B R, R,1
 B R, F AO R,1
OY L,OY AH L,1
L AO R,L AA R,2
T OW S T AE,T HH AE,1
AE Z,AE Z HH IH Z,1
DH AH EH M B L AH M D IH P IH K,DH AE T T EY K,1
K T S,K S,9
S DH AH AH,S AH,1
AA P AH L AH S AO,AA K W AA Z AO,1
AA P AH L AH S AO,AA Z AO,1
 M IH L AH T EH R, AA R,1
R IY P ER,R HH ER,1
ER S AH N,ER Z N,2
N EH L AA,N AW AA,3
M AH N,M EH N,2
M AH N,M ER,1
M AH N,M AE N,2
M AH N,M IH N,2
T AO,T AH L AO,1
V HH ER ER,V ER,1
V HH ER ER,V AO R ER,1
JH F,JH D F,1
NG AE T T,NG T,2
NG AE T T,NG AH N D T,2
ER F EH L T AE,ER AE,1
Z IH F IH,Z IH,1
ER B R OW K,ER K,1
K AH N,K AE N,4
K AH N,K,1
D AA R,D R,1
D AA R,D DH EH R,1
IH N G,IH NG G,14
IH N G,IH M G,1
G R IY S IY W,G L IH SH W,1
 B AH T W, W,1
 B AH T W, F AO R W,1
K HH IY AH,K Y UW AH,1
AW D F,AW F,1
IY K,IY B IH K,1
IY K,IY ER IH T K,1
M AA N AE Z S UW N AE,M L AO NG AE,1
UW R IY P,UW P,1
L S IH,L Z B IH,1
IH R K,IH K,1
K AH T S AH N D AH,K AO Z IH M AH,1
IY S,IY Z S,7
IY S,IY Z,4
T OW L,T IH L,2
B EH G,B AE NG G,1
B EH G,B AE G,1
 B IH F, F,1
 B IH F, DH AH F,1
 B IH F, AE Z F,1
R TH ER Z D EY Z IH,R DH IH S IH,1
 DH EY EH, EH,3
OY IH T W,OY W,3
W EH N,W AH N,2
W EH N,W IH N,1
AY AA D,AY D,3
AY AA D,AY ER D,1
N,N D,6
 JH EH, SH EH,5
 JH EH, Y EH,1
F TH AO T,F T,1
F TH AO T,F DH AE T,1
T Y,T UW Y,1
ER AH V AH S EH N T R AH,ER AO L W EY Z HH AE D AH,1
UW JH P,UW P,1
 JH AA N K L IY N Z SH, SH,1
F IH SH F,F F,1
IY HH AE D Y,IY IH Z Y,2
AO R D AA R,AO R,7
AA SH W AO,AA Z F AO,1
AA SH W AO,AA F AO,1
AA SH W AO,AA CH HH AO,1
AA SH W AO,AA CH T HH AO,1
AO T ER AO,AO R AO,12
AO T ER AO,AO D AA R AO,1
AO T ER AO,AO R AA R AO,1
AE S K,AE N IH K,1
AE S K,AE Z K,2
K M IY T UW K,K AH K,1
K M IY T UW K,K AE N K,1
K M IY T UW K,K F AO R AH K,1
K AE R,K ER IH NG AO R,1
K AE R,K EH R,12
K AE R,K ER AH N D N AO R,1
K AE R,K AO R,3
R IY AE N OY L IY R,R IH R,1
R IY AE N OY L IY R,R R,1
R IY AE N OY L IY R,R AH V IH R,1
 Y UW T, SH IY T,1
P DH EH R W,P AH N T IH L W,1
IY P IH,IY V B IH,1
IH NG,IH N,1
 DH AH AY D IY AH AH V AH S EH N T, Y AE IH T W AA Z T,1
T R AH,T UW DH AH,1
AH L T,AH T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
Z N AA T IH N IH T S EH L F AH,Z AH,1
 D IH S T R OY EH V ER IY F AY L R IH L EY T IH D T UW M AY AA D AH T S,,1
 AE L, EH L,1
 AE L, AO L,2
L AH S,L S,3
L AH S,L OW S,1
Z AH,Z DH AH AH,1
Z AH,Z HH IH T AH,1
Z AH,Z AH V DH AH,1
Z AH,Z HH AE V AH,1
 B AA B P, AY HH AE V P,1
 B AA B P, IH L P,1
P EY,P R EY,1
EY P ER D,EY D,1
ER L,ER DH AH L,1
ER L,ER AO R L,1
L W IY W ER AH,L TH EY R AH,1
 M IH D, AY D,1
IY V AH L,IY L,1
L S,L Z S,2
IY W AA Z,IY IH Z,1
T AA N HH,T HH,1
SH W AO,SH AO,3
SH W AO,SH HH AO,1
SH W AO,SH F R AO,1
SH W AO,SH F AO,5
K M,K T M,18
K M,K AY M,1
Z AH N,Z DH EH N,1
Z AH N,Z AE N,1
Z AH N,Z IH N,1
N D K,N K,1
 Y UW Y, Y,1
M EH N,M AE N,3
M EH N,M AH N,1
N G EH T,N IH T,1
F L UW,F UW,1
UW S,UW D S,1
UW S,UW Z S,1
N M EH T AH,N AH,1
ER AE,ER AO R AE,1
 AA B JH EH K, K,1
 AA B JH EH K, SH EY K,1
K T S M EY D AH V P Y,K Y,1
T ER AA R,T AO R,1
 DH AH M, IH M,1
M AO R N,M W AA N,1
M AO R N,M AA N,1
N IH,N T IH,3
N IH,N D IH,2
N IH,N JH TH IH,1
NG D UW,NG T UW,1
DH AH S,DH IH S,9
DH AH S,DH IH S S,1
S P AY,S W AY,1
S P AY,S S AY,1
D ER W EH B G L,D UW AY K L,1
S AH N,S T AY M,1
S AH N,S N,1
S AH N,S,1
 CH IY, SH IY,1
 CH IY, S IY,1
IY P S,IY S,1
IY P S,IY F S,3
Z R AH N DH,Z DH,1
R W AO R N,R AA N,1
D AA N,D AW N,1
T D UW,T UW,4
S B OW N,S W AH N,1
D T IY,D HH IY,2
IY TH S,IY S,1
IY TH S,IY Z S,1
UW T IH N G R,UW Z IY R,1
AE S K M IY,AE Z W IY,3
AE S K M IY,AE Y IY Z N IY,1
IY T UW K,IY K,5
IY T UW K,IY D AH D AH K,1
IY T UW K,IY IH F DH EY K,1
IY T UW K,IY AY K AE N K,1
IY T UW K,IY G K,1
IY T UW K,IY DH EY K UH D K,1
IY T UW K,IY K UH D K,1
D AA G,D AO G,1
N T AH D B AY,N L AY,1
AY S EH V R AH L D,AY Z HH UW D,1
Z AH N L AH,Z W AH,1
AH N CH R,AH T SH R,1
M S AH P,M Z P,1
P ER Z,P R OW Z,1
 B UH K S, S,1
AA R F,AA F T F,1
F AO R SH,F L EH SH,1
SH N UH,SH L UH,1
EH K S P ER T S DH,EH G Z AO R DH,1
Z IH N EH V,Z V,1
V AH,V OW T AH,1
V AH,V DH AH,3
V AH,V W AH,1
V AH,V ER S AH,1
V AH,V OY AH,1
AH T AH,AH D AA N DH AH,1
B AH L,B AO L,1
