T IH N,T AH N,140
T IH N,T EH N,1
N G,N D G,142
DH IH S,DH AH S,2
S D AY,S T AY,1
AY V S,AY L S,1
 D R, B R,1
 D R, R,1
R AA P F,R AO T F,1
R AA P F,R AW T F,1
R AA P F,R UW T F,1
R D AA R K,R B AE K,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
DH AH S,DH AE T S,1
S AH N,S AE N,1
N,N D,1
M TH EY,M DH EY,3
EY R W,EY W,1
HH IY V,HH AE V,1
S AH Z,S HH AE Z,1
S AH Z,S IH Z,1
D Y AO R D,D AH D,4
D Y AO R D,D HH ER D,1
 B IY IH, IH,1
ER Z B,ER B,1
AH B IH,AH P IH,1
D L,D AH L,1
L IY AE M B,L EY B,1
L D TH R UW,L T UW,1
L D DH,L DH,5
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
N D,N DH AH D,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,4
JH F,JH D F,3
NG AE T,NG IH T,5
AA R K,AA K,1
K S UW T,K T ER AH T,1
IY AE N OY L,IY IH NG AO L,1
L IY R,L DH AH R,2
L IY R,L D R,1
L IY R,L IH R,3
 IH F N EH, Y EH,1
EH S AH S,EH S,1
S EH R IY T,S T,1
T UW R IY P,T ER D EY P,1
K AH T S AH,K AA R D Z AH,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
JH EH F TH,JH AH S T TH,1
 JH AA N K, CH AO K,1
L IY N Z SH,L AH T SH,1
 Y UW T, HH IY T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
 AE L, EH L,1
L AH S,L S,1
N OW T,N AA T,1
 B AA B P, P,3
 B AA B P, AY P,2
 B AA B P, W AO L P,1
AY R AA,AY ER AA,1
IY Z,IY,1
N G R,N K R,4
S IY W,S DH AH W,4
N DH AH,N AH,2
ER W,ER Z W,1
Z R AH,Z AH,1
N DH,N D DH,1
M TH EY R,M DH EH R AA R,1
W AO R N,W AH N,1
T ER R,T AH L R,1
R IH M,R IY M,1
EY N D,EY D,1
L AH N CH R,L AA R JH R,1
M S,M Z S,2
M S,M AH N D S,1
F AO R,F R,2
R SH,R EH SH,1
N UH K S,N OW T S,1
D AW ER AO,D AA R AO,2
D AW ER AO,D AE N AO,1
D AA R K,D AH K,1
OW HH AE V,OW EH V,1
V HH ER,V ER,1
JH F AO R AH M,JH HH ER M,1
N D SH,N SH,2
N AW DH,N OW DH,1
 V EY, F EY,1
S N,S AH N D N,1
S T K,S K,1
 B AE L, R IY L,1
K AO,K W AO,1
R D ER,R T ER,1
ER OY,ER R OY,1
V W AO,V AO,2
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,2
SH IY HH AE D,SH EH D,1
AH W UH M AH N K,AH L AO NG K,1
F DH AH,F AH,1
R N,R AH N,2
R B B,R B,2
R B B,R K B,1
R B B,R JH B,1
ER N,ER AH AH N,1
ER N,ER AH N,1
S AH S,S IH Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,1
 JH AA, CH AA,1
AA N K,AA R L Z K,1
L IY N,L EY AH N,1
N Z SH,N D SH,1
N Z SH,N SH,1
R AH L,R OW L,1
IH V IH,IH M P IH,1
IH NG,IH K,1
R EH N,R IH N,2
N D ER AH,N SH UH R AH,2
 B AA R B B, AW ER B,2
N D P,N P,4
N D P,N T P,1
AE D Y,AE Z Y,5
ER D AE,ER T UW DH AE,1
ER D AE,ER DH AE,1
T G AH N P,T P,1
 B AH T SH, SH,1
N N,N D N,1
AH P,AH P P,1
P EH K,P AE K,3
S T D,S D,1
D EH K,D EY,1
Z JH AA,Z CH AA,1
L IH,L IY IH,1
IH D Z,IH Z,1
K T DH,K S DH,2
K T DH,K IH NG DH,3
K T DH,K DH,2
NG IH N,NG AH N,6
N P,N D P,7
P T,P AE T,1
AA D AH,AA N T AH,1
P AH HH,P AA N HH,1
HH EH M,HH IH M,1
Z B IH,Z V IH,1
Z IY F,Z AH T F,1
N AW ER HH,N DH AH HH,1
 HH AW Z, AE Z,1
Z IH T S,Z AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
W IY K N,W IH T N,1
S IH N,S AH N,1
N L,N D L,1
CH DH,CH T DH,1
 L AO, AO,1
R IH S K,R K,1
R IH S K,R AH K,1
R IH S K,R AH Z K,1
R IH S K,R AY Z K,1
T UW M N,T AH V N,1
B AH N D K,B K,1
HH AE D,HH ER D,5
W AO R AA,W ER AA,1
W EH DH ER,W AO T ER,2
F OW N IY,F AO R T IY,1
N D T,N T,7
OW S S,OW Z D S,1
 B EH G DH, AH DH,1
 B EH G DH, T EY K DH,1
 B EH G DH, DH,3
DH IY Z SH,DH AH SH,2
Z DH AE N B,Z T UW B,1
W EH N EH,W AH T EH,1
 B IY T M, L EH D M,1
V AH,V W AH,1
V AH,V DH AH,1
AH HH,AH N HH,1
 P UH T DH, DH,5
T IH N G,T G,1
T IH N G,T AH G,1
M D AA,M DH AH AA,1
 L, AH L,1
 L, AO L,1
 L, G L,1
 AH CH, CH,2
AH N CH T,AH SH T,1
T S F,T F,1
AH S T S,AH S,1
N IH Z,N HH AE Z,1
 IH F P, P,1
AA P S M,AA CH T M,1
 P AE, HH AE,2
AO Y,AO AH Y,1
R IH N D,R AE B D,1
 K L, G L,1
IH DH DH,IH DH,2
IY AE Z,IY Z,2
 B AH T AH S, AA R S,1
R IH SH,R AE SH,1
EY D T,EY T,1
EH R,EH R AA R,1
N IY D B IY,N IH R L IY,1
T G IH V,T IY V,1
V AH N,V IH N,2
D S,D Z S,1
NG Y AO R AA,NG HH ER AA,1
R EH M B AH,R AE V AH,1
DH IH S S,DH AH S,1
 HH IH, DH IH,1
IH Z W,IH S W,1
T G AH,T K AY N D AH,1
AH N P,AH V P,1
 IH G W, DH AH W,1
