T IH N,T AH N,97
T IH N,T S IY N,1
N G,N D G,95
N G,N D DH AH G,1
N G,N IY D AH G,1
N M EY,N DH EY,1
 P IY, HH IY,2
IY T S ER IY,IY Z EH R IY,1
 P UH T, W AH T,1
 P UH T, DH AH T,1
T DH,T S DH,1
T DH,T IH NG DH,1
 D R, B R,1
 D R, DH EH R,1
 D R, Y OW Y AH R,1
R AA P F,R AO T F,1
D B L,D L,5
L AW S,L AO S,1
L AW S,L AE S,1
R D AA R K,R B AE K,1
UW T IH,UW IH,7
UW T IH,UW DH IH,1
UW T IH,UW N IH,1
R IY S,R EY S,7
R IY S,R IH S,2
R IY S,R AH S,1
K D IH,K HH IH,1
IH S T EY,IH Z F EY,1
S T,S,5
S T,S IH T,1
S T,S AO L T,1
S T,S K T,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
SH D AH V AO R S,SH W AA Z S,1
ER AA R B Y,ER AH V Y,2
UW T AH,UW N AH,1
F AH L,F AO R M,1
UW AA N DH,UW AH DH,1
DH AH S,DH ER S,2
DH AH S,DH IH S,1
R AH N,R AE N,3
R AH N,R AA N,1
R AH N,R N,1
IY AE N,IY IH NG W AH N,1
IY AE N,IY IH NG AA N,1
IY AE N,IY N,1
IY AE N,IY AA N,2
IY AE N,IY AH N,4
N OY L IY R,N R,2
N OY L IY R,N AH IH R,1
N OY L IY R,N DH AH R,1
N OY L IY R,N AO T AH G R,1
N OY L IY R,N W EH N R,1
Y UW N Y AH N,Y IH R,1
 HH IY, IY,1
V AA N,V IH N,1
B AH F,B L AE K,1
 DH AH S, S,4
ER M AA,ER L D AA,1
N DH AH HH,N HH,1
HH UH K,HH ER,1
M JH EH N,M CH AE N,1
N ER AH,N AH,1
N ER AH,N T AH,1
AH B T,AH T,2
IY P F,IY K F,2
IY P F,IY F,1
 D AE N S AH Z, HH IY IH Z,1
N V ER,N P ER,1
AH Z,AH N,1
AH Z,AH T IH Z,1
AH Z,AH M Y UW Z,1
 K L, L,1
 K L, G L,1
 K L, W EH L,1
L IH F W,L UW K W,1
UW DH D,UW D,1
 IY CH AH, HH IH Z AH,1
M P AA,M HH AA,2
M P AA,M AA,2
K AA M,K AH M,2
M AH N,M IH N,3
N K AE,N HH AE,1
D Y AO R D,D AH D,8
D Y AO R D,D D,2
B IY HH,B IH HH,1
EY T AH D W,EY V W,1
 B IY IH, IH,1
N D D,N D,1
D AA N T,D T,1
T AY,T UW AY,1
T AY,T HH AY,1
R EH M P L OY M AH,R B OW N AH,1
AH N T,AH S,1
AH N T,AH T,1
 AH B IH, IH,2
 AH B IH, TH IH,1
 AH B IH, EH P IH,1
 AH B IH, HH AE V IH,1
