T IH N,T AH N,136
T IH N,T EH N,1
N G,N D G,137
N G,N AH G,1
DH IH S,DH AH S,2
S D AY,S T AY,1
AY V S,AY L S,1
R D AA R K,R AH T AE K,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
 DH AH S, IH T S,1
 DH AH S, S,2
V AE,V M AE,1
AE K CH,AE CH,1
CH AH W AH L IH,CH IH,1
 DH AH, AH,3
S IY W,S DH AH W,4
S AH Z,S HH AE Z,1
D L,D IY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
D EH N,D AH N,1
D AH S,D S,1
L D DH,L DH,3
L D DH,L Z DH,1
R AH P,R P,3
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,2
V HH ER ER,V AO R ER,2
JH F,JH D F,2
NG AE T,NG IH T,5
D AA R K S UW,D AO G SH UW,1
IH N G R IY S IY,IH NG W IH SH IY,1
K M,K DH EH M,1
M IY T,M T,1
IY AE N,IY IH NG AA N,1
IY AE N,IY AY D AA N,1
IY AE N,IY AA N,1
IY AE N,IY AH N,1
N OY L IY R,N AH R,1
N OY L IY R,N AA N AH R,1
IY T UW R,IY R,1
K AH T,K OW T,1
 B IH F, F,2
EY Z IH,EY IH,1
M R IY V Y,M IH F Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
IY N Z SH,IY S SH,1
D Y AO R D,D AH D,2
D Y AO R D,D Z AH D,1
D Y AO R D,D T UW D,1
 Y UW T, HH IY T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
N OW T,N AA T,1
 B AA B P, P,2
AY R AA,AY ER AA,1
IY Z,IY,1
 Y UW Y, Y,1
N DH AH S,N S,1
Z R AH,Z AH,1
N DH,N D DH,1
M TH EY R,M DH EH R AA R,1
W AO R N,W AH N,2
T ER R,T AH L R,1
D AW ER AO,D AA R AO,2
JH F AO R AH M,JH HH ER M,1
V IH N,V AH N,1
N F,N D F,1
L IH,L IY IH,1
N AW DH,N OW DH,1
 AW ER B, B,1
 V EY, F EY,1
S N,S AH N D N,1
S T K,S K,1
OY P UH T DH,OY W IH DH DH,1
B AE L,B IH L,1
AH V M,AH N D M,1
N AH V S,N IH N S,1
AH N,AH N N,1
N IH M,N EH M,1
M P AH,M AH,1
AH L S,AH S,1
IH Z,IH S,1
K AO,K W AO,2
R D ER,R T ER,2
ER OY,ER R OY,2
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,1
F DH AH,F AH,1
M IH Z,M F AA R M ER Z,1
R N,R AH N,2
W UH D B,W IH L B,1
R B B,R B,5
