T IH N,T AH N,138
N G,N D G,138
N G,N AH G,1
DH IH S,DH AH S,3
S D AY,S T AY,1
AY V S,AY L S,1
D AA R K,D AE K,1
D AH V,D IH V,1
R S,R S S,1
B AH F,B OW TH,1
S AH Z AO,S AO,1
D Y AO R D,D AH D,5
D Y AO R D,D D,1
D Y AO R D,D HH ER D,1
IY K,IY Z K,1
AH B IH,AH P IH,1
D L,D AH L,1
L IY AE M B,L Z EY B,1
L D TH R UW,L T UW,1
L D DH,L DH,4
R AH P,R P,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
L IH T,L AH N T,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,1
V HH ER ER,V AO R ER,1
JH F,JH D F,1
NG AE T,NG IH T,5
K M,K DH EH M,1
K M,K T M,1
M IY T,M T,1
IY AE N,IY IH NG AA N,1
IY AE N,IY AH N,4
N OY L IY R,N AH R,1
IY T UW R,IY R,1
K AH T S AH,K AA R D Z AH,1
 B IH F, F,2
EY Z IH,EY IH,1
M R IY V Y,M IH F Y,1
UW EH V,UW HH AE V,1
V ER IY F,V AH F,1
JH EH F TH,JH AH S T TH,1
N Z SH,N SH,2
N Z SH,N D SH,1
 Y UW T, T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
HH AW S IH Z,HH AE Z,1
Z N AA T,Z T,1
T IH,T UW D AY IH,1
 D IH S T R OY EH V ER IY F, DH AH F,1
D AH,D IY AH,2
AH T S,AH N S,2
AH T S,AH N Z,1
AY R AA,AY ER AA,1
IY Z,IY,1
N DH AH S,N S,1
Z R AH,Z AH,1
N DH,N D DH,1
M TH EY R,M DH EH R AA R,1
W AO R N,W AH N,1
T ER R,T AH L R,1
M S,M Z S,1
M S,M AH N D S,1
D AW ER AO,D AA R AO,2
T IH N G,T G,4
T IH N G,T AH G,1
JH F AO R AH M,JH HH ER M,1
N AW DH,N OW DH,1
 V EY, F EY,1
S N,S IH N,1
N AH,N DH AH,1
N AH,N D AH,1
AH G L,AH K AH L,1
M ER AH,M AH R AH,1
S T K,S K,1
 DH AH, AH,3
B AE L,B IH L,1
K AO,K W AO,1
R D ER,R T ER,1
ER OY,ER R OY,1
 IH G W, W,1
W AA N,W AH N,1
N AH Z,N IH Z,1
N AH Z,N AE Z,1
Z AH N,Z AE N,1
Z AH N,Z N,1
Z AH N,Z IH N,1
N D AE,N AE,2
Z AA R,Z AO R,1
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,1
M IH Z,M ER Z,1
R N,R AH N,2
W UH D B,W IH L B,1
R B B,R B,6
N D P,N P,2
UW IH N,UW AH N,1
N IH,N D IH,1
 DH, IH F DH,1
AA N,AA N K L IY N,1
R EH N D,R D,1
ER AH N S,ER T,1
ER N D P,ER P,1
ER N D P,ER AH P,2
AE D Y,AE Z Y,2
N G R,N K R,2
N G R,N D R,1
S IY W,S DH AH W,2
S IY W,S AH N T W,1
AH V P,AH P,1
N N,N D N,1
DH K R,DH G R,1
R EY AA N,R IY N,1
P EH K,P AE K,4
S T D,S D,1
B OW L,B AO L,2
L DH,L Z DH,1
D IH,D DH IH,1
S K,S,1
K T DH,K IH NG DH,3
K T DH,K DH,2
NG IH N,NG AH N,5
N P,N D P,6
P T,P AE T,1
AA D AH,AA N T AH,1
HH EH M,HH AE M,1
Z B IH,Z V IH,1
Z IY F,Z AH T F,1
Z IH T S,Z DH AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
S IH N,S AH N,1
N L,N D L,2
CH DH,CH T DH,1
D DH,D Z DH,1
B AH N D K,B K,1
D AE Z,D HH IH Z,1
AE V B,AE Z B,1
K EY N T Y UW,K,1
AH F IY,AH S IY,1
T W AO,T AO,1
UW TH F EH R IY,UW Z D IY,1
IY F,IY AY F,1
N DH AH,N AH,1
W EH DH ER,W AO T ER,1
F OW N IY,F AO R T IY,1
N D T,N T,7
DH IY Z SH,DH AH SH,1
DH AE N,DH EH N,5
V AH,V W AH,1
AH HH,AH N HH,1
 B AH, W AH,1
M D AA,M DH AH AA,1
 L, AH L,1
 L, G L,1
 AH, DH AH,1
P IH Z,P AE Z,1
T S F,T F,1
AH S T S,AH S,1
P L,P AH L,2
IY Z T,IY S T,1
ER Z SH,ER SH,2
AE D Y AO R D,AE Z AH D,3
N IH Z,N HH AE Z,1
 IH F P, P,1
R M,R AH M,1
R M,R AH M M,1
AH P S,AH B Z,1
Z M,Z D M,2
DH AE T HH EH,DH AH EH,1
R IH N D,R AE B D,1
IH DH DH,IH DH,1
IY AE Z,IY Z,2
K IH T AH,K HH ER AH,1
SH OW D,SH UH D,1
 AH B AO R IH NG N, N,1
L IH Z,L AE Z,1
DH DH IH,DH HH IH,1
IH S S,IH Z S,1
V W AO,V AO,1
UW D AW ER AO,UW T UW AO,1
UW D AW ER AO,UW AO R AO,2
F AA F,F OW F,1
N AH M,N IY M,1
M AH K,M IH K,1
AH N T,AH D,1
S AE T,S EH T,5
AA N D,AA D,1
CH T DH,CH DH,4
EY G IY,EY K IY,1
IY S,IY Z,1
IY S,IY Z S,1
DH AE T G,DH EH R G,1
DH AE T G,DH AH G,1
 F L AY, AY,1
AY Z S,AY S,1
S W AO R M D ER,S P AH N ER,1
AH B OW L AH V L EH N,AH T UW N,1
N T AH L Z,N Z,1
AA P T,AA K T,1
T TH IH K B,T DH AH B,1
B L AE,B R AE,1
AE K B R EH D,AE N D,1
P AH L S,P AE S,1
W IH L,W EH L,1
B AA R B,B IY B,1
B IH K,B IY K,1
 V Y, D UW Y,1
S IH N F,S AH M F,1
AA N D AH N,AA N,1
 B EH G DH, T EY K DH,1
 B EH G DH, DH,2
T G AA,T K AA,1
 HH ER R, R,1
D EY K S W,D EH G Z W,3
UW T IH N,UW N,1
UW T IH N,UW D AH N,1
 K, B IH K,1
K UH D DH,K AO Z DH,1
 AH B, B,1
N IH NG P,N AH L IY P,1
T HH ER R,T F AO R R,1
EH M B L,EH L,1
HH AE V,HH AW EH V,1
V HH ER,V ER,2
OW IH F,OW AH F,1
IY AE Z T,IY AO R T,1
IY AE Z T,IY AH S T,1
ER AO L,ER HH OW L,1
T AH N,T IH N,1
T AH N,T AO N,1
N D SH,N SH,1
L AH,L DH AH,1
AY TH IY,AY T IY,1
UW L HH AE,UW D AE,1
AE F AH,AE T DH AH,1
L AW D,L AE B,1
 B EY K S, F IH G S,1
B B,B ER AH B,1
 F AE, DH AE,1
IH V Z D,IH F T S D,2
IY D Z DH,IY CH DH,1
IY D Z DH,IY CH T DH,1
L AO R,L AA V R,1
L AO R,L AH R,1
R IH S K,R AH Z K,1
R IH S K,R AY Z K,1
Y EH L,Y EY L,2
N OY L,N D AO L,2
N OY L,N D OW N L,1
N OY L,N OW L,1
N OY L,N OW N L,1
N OY L,N ER L,1
N OY L,N AA L,1
L IY R,L DH AH R,1
L IY R,L AH R,2
L IY R,L D R,1
R AE G L,R EH K L,1
AH B,AH V B,1
B AW T IH,B AO L D HH IH,1
IH T S AE,IH Z AE,1
 HH UW AO, AO,1
Z D DH,Z DH,2
W ER IY,W EH R IY,1
L D S,L S,1
 DH AH V Y UW P, P,1
N T OW V ER L UH K T,N T,1
T DH AH OW SH AH N,T,1
Z D IH G M,Z T EY K M,2
K AE R,K EH R,1
R IY AE,R AE,1
AH TH IY M,AH S EY M,1
V,V Z,1
AY IH,AY N Y IH,1
N T,N D T,2
P AA R,P AO R,1
EY N M,EY M,2
IY AH N,IY IH N,1
T AH N D T,T AE T,1
T UW B,T DH AH B,1
R OW AE N,R AH N,1
N AA,N D AA,1
SH T IH M,SH CH EY M,1
S AW N,S AE N,1
D AH V JH EH N,D D UW N,1
N AH F,N F,1
F AH R Z B Y UW G AH,F ER S T V IY HH IH K AH,1
N Z S,N IY S,5
N Z S,N S,1
N Z S,N AH T L IY S,1
N IY D AH L P,N EY T OW P,1
AE N OY L,AE T AO L,1
R EH Z,R IH Z,1
N T B,N B,1
L AY,L AE F,1
EY D T,EY T,2
K UH D T,K AE N T,1
CH N AY,CH S L AY,1
P DH,P S DH,1
T S R,T DH AH R,1
N AE,N D AE,2
HH AE D,HH ER D,1
M AE N,M EH N,1
V AA K,V AO L K,1
 AE T T, AH T,2
W EH L,W IH L,1
R W,R AH W,5
IY W UH L AH N,IY V IH N,1
D AH R,D IH R,1
AY EH N IY K,AY HH IH M AH K,1
T IY V W AO,T EY F AO,1
Z AA IH,Z AE N IH,1
Z AH,Z DH AH,1
L IH N,L AH N,1
N D W,N W,1
AY DH AH,AY HH IH Z AH,1
AY DH AH,AY D AH,1
P AA N,P OW N,1
N D AH,N AH,1
N D S,N T S S,1
T DH AH S,T UW S,1
T DH AH S,T S,1
R EY G,R AY K G,1
DH AE,DH EY TH AE,1
AE T G,AE NG K G,1
AA R D,AA D,1
AH P UW,AH B UW,1
UW R,UW M ER,1
