D Y AO R D,D HH ER D,2
D Y AO R D,D AH D,2
D Y AO R D,D DH AH HH AE D,1
D Y AO R D,D T UW AH D,1
D Y AO R D,D CH ER CH D,1
D Y AO R D,D T UW D UW D,1
D Y AO R D,D JH ER K D,1
D Y AO R D,D DH AH D,1
D Y AO R D,D D,3
D Y AO R D,D T UW D,1
D Y AO R D,D TH ER D,1
S IY W,S Y UW W,45
S IY W,S DH AH W,2
S IY W,S IH NG W,4
S IY W,S HH IH M W,2
S IY W,S K W,1
S IY W,S HH UW W,3
S IY W,S T UW W,14
S IY W,S AH W,2
S IY W,S W,2
S IY W,S Y AO R W,1
S IY W,S IH N W,3
AA SH W,AA CH W,18
AA SH W,AA CH T K W,1
AA SH W,AA Z W,9
AA SH W,AA CH T W,2
AA SH W,AA R JH W,1
 D AA N T AE S, OW Y EH S,1
 D AA N T AE S, JH AH S,1
 D AA N T AE S, Y EH S,6
 D AA N T AE S, JH IH L EH S,1
 D AA N T AE S, DH IH S,1
 D AA N T AE S, S OW EH S,1
S K M,S M,8
S K M,S T AH M,1
N AH N,N DH AE N,1
N AH N,N AA N,1
N D HH,N HH,2
N D HH,N Z HH,1
D AH N,D DH EH M IH N,1
D AH N,D IH N,1
D AH N,D IH T IH N,1
Z B Y,Z F Y,1
Z B Y,Z V Y,1
Z B Y,Z Y,1
UW T AH F,UW D W IH DH F,1
UW T AH F,UW F,1
F AH L,F UH L,2
F AH L,F AA R M,1
F AH L,F AO R,2
S W ER W,S AO R W,1
R N AH N,R N,1
N D SH,N SH,1
S D AY,S G AY,1
AY V S,AY S,1
M D F,M F,1
 P R AH D AH K SH, G AA SH,1
AH N M EY F,AH F,1
 P IY T S, S,3
S ER,S AH M ER,1
S ER,S ER V ER,1
IY AH Z,IY IH Z,2
Z AA R K,Z S OW K,1
 P UH T DH AH B UH CH ER B L AA K T, F AO R T,1
 D R, F AO R,2
 D R, SH UH R,1
R AA P F,R AO R F,1
R M,R S AH M,1
R M,R N EY M,1
R M,R M AH M,1
R M,R AH M M,1
R M,R AH M,2
M Z IH N DH,M AH V DH,1
S B IH F,S AO R F,1
OW AW,OW AH W EY N AW,1
AW T,AW,4
AW T,AW ER,1
R D R OW B K AH N S,R G ER L S EH Z S,1
S IH,S L IH,1
S IH,S T IH,1
S IH,S EY IH,2
S IH,S AH N D IH,2
S IH,S HH IH,1
IH S T S AH,IH V ER AH,1
IH S T S AH,IH Z AH,2
S AH N D B L,S W AY L,1
L AW S,L S,1
L AW S,L AE S,3
S AH Z,S EH Z,1
S AH Z,S,1
S AH Z,S IY Z,3
S AH Z,S IH Z,6
S AH Z,S HH IH Z,3
IY P AH L AA R,IY F AO R,1
AH N,AH V AE N,1
AH N,AH M N,1
AH N,AH N D N,2
AH N,AH V AA N,1
AH N,AH N D HH AE V AE N,1
AH N,AH T CH EY N,1
AH N,AH M,1
AH N,AH N D IH N,1
AH N,AH S EH N,1
UW D AH,UW ZH AH,2
AH D,AH N,2
AH D,AH D AE D,1
AH D,AH N S IY,1
AH D,AH M,1
AH D,AH,1
D Y,D AH Y,2
D Y,D UW Y,1
D Y,D DH AE T Y,1
D Y,D T ER N Y,1
D Y,D HH IH Z Y,1
Y AO R,Y IH R,18
Y AO R,Y UH R,2
R D AA R K S,R DH AE T S,1
R D AA R K S,R F IH L AW ER S,1
R D AA R K S,R IY S,1
S UW T IH,S OW IH,3
S UW T IH,S IY HH IH,2
S UW T IH,S IY Z D IH,1
S UW T IH,S IH R IH,1
S UW T IH,S EY V IH,3
S UW T IH,S ER JH IH,2
S UW T IH,S EY IH,1
S UW T IH,S IH B L IH,1
S IY,S HH IY,20
S IY,S V EH R IY,1
AA SH W AO T ER AO L Y,AA Z AA N AA Y,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,,50
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T, IH T,2
 HH, AE Z HH,1
 HH, L AY K HH,1
 HH, AY HH,1
HH AH S K IY,HH IY,1
IY Y AH,IY AH,1
AH NG M AE N,AH N D AH N,1
N HH,N D HH,3
N HH,N DH AH HH,1
IY S EH D W,IY Z DH AE T W,1
W IH DH M,W AA Z M,1
M AA K D IH S,M AY JH AH S,1
T EY,T K EY,1
T EY,T AH D EY,1
S T,S,1
S T,S EH D DH AE T,1
S T,S T T,6
 AA HH AA HH IY TH AO T AH, AH,1
AH L AH,AH R AH,1
AH L AH,AH DH ER W AH,1
SH D AH V AO R S,SH JH AA B W AA Z S,1
 DH AH S T EH K N IH K AH L IH F IH SH AH N S IY IH Z AH CH IY V D AE, AE,1
P EH N,P AE N,1
P EH N,P IH R IY AH N,1
V AE,V M AE,1
V AE,V ER DH AE N AE,1
AE K CH,AE CH,1
CH AH W AH,CH TH R OW AH,1
AH L IH K S,AH S,1
P IH R,P EH R,2
R IY AH N S,R AE M,1
 AA B JH EH K T S M EY D AH V P, P,1
P Y UW T ER AA R,P IY AE N OW AO R,1
R B Y,R V Y,2
UW T AH,UW AH,1
UW T AH,UW DH AH,1
AH F,AH V F,1
NG D UW AA,NG JH OW AA,1
L IH S,L AE S,1
S AH N,S AE N,1
S AH N,S T AY M,1
S AH N,S EH N,2
N,N D,5
 CH IY, SH IY,3
IY P S,IY S,2
IY P S,IY T S,1
IY P S,IY F S,1
IY P S,IY CH S,1
T AA K,T AY L K,1
T AA K,T AO K,1
K IH NG Z,K IY Z,1
R AH N,R AE N,3
R AH N,R AA N,2
R AH N,R OW N,1
M TH EY R,M DH EH R,3
M TH EY R,M DH EH R AA R,1
W AO R N,W AA Z W AH N,2
W AO R N,W AA Z,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,3
M M EY,M W EY,1
M M EY,M V EY,1
EY K S B OW N,EY Z R AW N,1
N Z,N D Z,2
N Z,N,1
N Z,N IH Z,1
IY TH S,IY S,3
R D AA,R DH AH JH AA,1
R D AA,R K AA,4
R D AA,R SH AA,1
R D AA,R JH AA,7
R D AA,R G AA,2
R D AA,R V AA,4
R D AA,R IH NG CH AA,1
R D AA,R AA,6
R D AA,R DH AH AA,1
R D AA,R G IH T AA,1
R D AA,R DH EH R AA,1
R K S,R S,42
R K S,R D S,1
R K S,R T S,2
R K S,R S AW TH IY S T S,1
R K S,R S AW TH IY S,1
R K S,R V AH S,1
IH N G,IH M G,1
IH N G,IH NG G,10
IH N G,IH F S G,1
S K M IY T,S T,5
S K M IY T,S W EY T,1
T UW K,T K,5
T UW K,T AH D K,1
T UW K,T AH K,1
T UW K,T AH D AH K,1
T UW K,T EY K K,1
IY AE,IY IH NG AE,8
IY AE,IY AW T AE,1
IY AE,IY AA N AE,1
IY AE,IY AH N D AE,8
IY AE,IY ER DH AE,1
 IH N W EY JH N AH G OW SH IY EY SH AH N Z DH AH IH N D AH S T R IY B AA R G AH N Z AE Z AH Y UW N AH T W IH DH AH S IH NG G AH L Y UW N Y AH N,,1
IY V AA N DH,IY R AO NG DH,1
K AH M AH,K AE N L AH,1
T AH K,T AA P,1
T AH K,T UW K,1
T AH K,T K,1
 M AH T IH R IY AH L, EH L,1
L Z S,L S S,1
AY T AO,AY N AO,1
R B AH F,R V AA R,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L,,1
 DH AH S, S,1
OY P UH T DH,OY DH,1
OY P UH T DH,OY F AO R DH,1
W ER M,W AO R M,2
M AA N,M W AH N,1
N DH AH HH,N HH,1
 AH CH OW, S OW,1
 AH CH OW, SH AE D OW,1
 AH CH OW, SH OW,1
OW Z AH N F Y UW W IH L B IH K AH M JH EH N ER AH L Z,OW,1
 OW N L IY DH, DH,1
 OW N L IY DH, AH DH,1
 OW N L IY DH, AY DH,1
DH AH M OW S T AH,DH AH,1
AA M P L IH SH,AA R W AA SH,1
SH T AA R T IH S T S AH,SH AW ER D AH,1
AH B T EY N,AH Z K AE N,1
P AA P Y AH L EH R,P AE S TH R,1
R AH T IY,R UW ER L IY,1
R AH T IY,R ER L IY,1
 DH AH F IH SH B IH G AE, Y UW K AE,1
 DH AH F IH SH B IH G AE, Y AE,1
N T,N T OW T,1
N T,N IH T,1
N T,N D T,5
N T,N,7
N T,N S,1
N T,N TH S,1
N T,N D,1
T UW L,T AH L,1
IY P F,IY F,2
IY P F,IY V F,1
F R,F AO R,5
R AE N T,R IH T T,1
K AH L,K L,3
K AH L,K AO L,3
K AH L,K OW L,1
L IY AA N DH,L IH R DH,1
L L EY,L W EY,3
EY K,EY,3
EY K,EY K K,1
EY K,EY B IH K,1
 SH IY HH AE D Y, Y,4
 SH IY HH AE D Y, AH Y,1
D AA R K S UW,D IH Z AY ER T UW,1
D AA R K S UW,D IH Z ER V Z T UW,1
D AA R K S UW,D AO G T UW,3
UW T IH,UW IH,16
UW T IH,UW DH IH,3
UW T IH,UW D IH,17
UW T IH,UW P IH,1
UW T IH,UW N IH,3
UW T IH,UW L IH,1
UW T IH,UW Z IH,1
UW T IH,UW K IH,1
UW T IH,UW Y IH,1
N G R,N K R,40
N G R,N R,1
N G R,N D R,2
N G R,N D AO R,1
N G R,N D AA R,1
 D AE N S, S,1
S AH Z AO,S AO,1
AO L T ER N EY T AH D W IH DH S AH NG,AO NG,1
K AH N,K IH N,1
K AH N,K N,1
K AH N,K AE N,5
K AH N,K AE N N,1
K AH N,K HH IH M,1
N V ER,N ER,1
ER S,ER TH S,1
ER S,ER Z S,2
ER S,ER AH S,1
 M AY F, F,1
 HH IY R HH IY IH Z K W AY T P ER S W EY S IH V L IY DH AH V EH R IY EH M B AA D IY M AH N T AH V M IY N N AH S AH N D S L AY N AH S,,1
 DH AH, AH,2
 DH AH, AE M AH,1
 DH AH, R AY AH,1
 DH AH, HH AY AH,1
 DH AH, L AA T L AH,1
 K L IH F W AA Z S UW DH D B AY DH AH L AH G ZH ER IY AH S M AH S AA ZH,,2
 IY CH AH N T AY M L IY IH N K AH M L AO S K OW AH N S AY D AH D W IH DH DH AH B R EY K D AW N AH V AH, AH,2
M P AA,M HH AA,1
M P AA,M F AA,3
R T,R D,1
R T,R,8
