T IH N,T AH N,135
T IH N,T S D AY N,1
T IH N,T EH N,1
N G,N D G,137
D HH IH,D IH,1
 D R, B R,1
 D R, T R,1
R AA P F,R AO T F,1
Y AO R D,Y AE D,1
Y AO R D,Y UW D,1
UW T IH N,UW N AH N,1
UW T IH N,UW D AH N,2
M AA K D,M AY D,1
 AA HH AA, AA,1
SH D AH V AO R S,SH W AA Z S,1
 DH AH S T, AE Z T,1
AH V P,AH P,3
P Y UW T ER AA,P IY L AA,1
S AH N,S AE N,1
N,N D,4
 CH IY, SH IY,2
IY P S,IY S,1
IY P S,IY F S,3
R W AO,R M AO,1
R N,R AA N,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
 IH N, AH N,3
N W,N D W,3
K AH M,K AA M,3
T AH K,T AA K,1
W ER M,W AO R M,3
UW L IY,UW W IY,1
L EY K,L AY K,1
AA SH W,AA CH W,14
AA SH W,AA CH T W,2
AA SH W,AA Z W,2
 D AE N S AH, DH AH,1
AH Z AO,AH AO,1
S AH NG,S AO NG,1
 M AY, AY,1
 M AY, L AY,1
DH D B,DH B,2
IH DH DH,IH DH,3
V AH,V DH AH,1
V AH,V W AH,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
 B IY IH, IH,1
D L,D IY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
 IY T IH NG S, S,1
DH AH T,DH AE T,1
T W,T S W,1
W EH L F TH D EY,W AH T DH EY,1
W EH L,W IH L,7
EH G S,EH K S,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,3
R IH Z,R Z,1
R IH Z,R DH EH R Z,1
R AH P,R P,6
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
IY IH N D IH K EY T S AH,IY AH,1
W UH D JH,W IH DH JH,1
L AO R,L AA R,1
L AO R,L AA V R,1
G L OW,G OW,3
V HH ER ER,V ER,4
V HH ER ER,V AH ER,1
JH F,JH D F,5
NG AE T,NG IH T,1
HH AE D Y AO R D,HH EY AH D,1
W AO T,W AH T,3
T ER AO,T AO,2
T ER AO,T AA R AO,1
IY AE N OY L,IY IH NG AO L,1
IY AE N OY L,IY ER L,1
IY AE N OY L,IY AO L,1
L IY R AE G L,L ER AW N D L,1
 B AH T W, AY W,1
 B AH T W, F AO R W,1
W IH DH IH,W UH D IH,1
M W ER K,M OW K,1
K HH IY AH,K EY AH,1
AW D F,AW F,1
N AE Z S,N S,1
F N EH,F EH,1
S AH S EH R,S AA R,1
R IY T UW R IY P,R D P,1
R IH L,R EY L,1
S IH R K,S IY AH K,1
K AH T S AH,K AA Z AH,1
 B IH F, F,1
R TH ER Z D EY Z,R DH OW Z,1
M R,M Z R,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,3
AY AA D,AY AO R D,1
AY AA D,AY AH D,1
R G Y UW D IH,R IH,1
 JH AA N K L IY N Z SH, SH,2
 SH IY HH AE D Y AO R D AA R K S UW T IH N G, G,1
AA SH W AO,AA CH F AO,1
AA SH W AO,AA CH F L AO,1
AO T ER AO,AO R AO,1
AO T ER AO,AO R AH D AH AO,1
AO T ER AO,AO R F AO,1
Y IH R,Y AO R,1
Y IH R,Y UW,1
 D AA N T AE S K M IY T UW K, K,2
IY AE N,IY AH N,12
IY AE N,IY AA N,2
IY AE N,IY N,1
N OY L IY R,N D AO R DH AH R,1
N OY L IY R,N OW R,1
N OY L IY R,N OW DH AH R,1
N OY L IY R,N DH AH R,1
 Y UW T, HH IY T,1
V AH S,V IH S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z D IY,1
HH AW S IH,HH AE Z IH,1
IH Z N AA T,IH T,1
N IH T S,N AH S,1
S EH L F,S AO R F,1
F AH N,F AO R N,1
F AH N,F AE N,1
OY EH V ER IY F AY L R,OY R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
 AE L AH S AH Z, HH AW Z HH IH Z,1
 B AA B P, P,3
 B AA B P, DH AH P,1
 B AA B P, AH P P,1
P EY P,P IY P,1
P ER D OW,P AH L OW,1
UW W AY L W,UW AA R W,4
 M IH D IY V AH L S, S,1
 SH IY HH AE D Y AO R D, D,2
 SH IY HH AE D Y AO R D, AH D,1
L Y IH R,L IY R,1
 Y UW Y, Y,1
V P Y,V K Y,2
Z R AH N,Z AA N,1
M TH EY R,M DH EH R,1
R W AO R N,R AA N,1
 K AE L, EH L,1
L S IY AH M M,L K M,1
ER R,ER EH R,1
R IH M,R IY M,1
R IH M,R AH M,1
EY N D,EY D,1
M S,M Z S,1
P ER Z,P OW Z,1
 B UH K S, L AA T S,1
S AA R F AO R SH N,S AH V AH S N,1
N UH K S,N OW T S,1
R EH N,R EY N,1
R EH N,R AH N,1
R EH N,R AE N,1
R EH N,R IH N,1
N D W,N W,2
S K,S EH K,1
S K,S K K,1
S K,S T K,1
K Y AH,K AH,1
L ER AE,L AH AE,1
F AO R M IY,F AH N IY,1
T HH IH M S,T S,1
V HH ER ER EY N,V AH R AE N,1
N JH F AO R AH M,N CH ER M,1
V IH N,V AH N,1
N F,N D F,3
L IH,L IY IH,2
L AH V,L HH AE V,1
L AH V,L IH V,1
F HH IY W,F Y UW W,2
F TH AO T Y,F Y,1
N D SH,N SH,2
 N AW DH AE T DH, DH,1
 V EY, R EY,1
IY V IH,IY D IH,1
S N,S AH N D N,1
CH IH Z S,CH S,1
T IH S,T AH S,3
T S AH,T AH,6
IY P F,IY V F,1
SH W,SH T W,2
 B AE L, DH AH L,1
EY Z,EY D IY Z,1
T B AH T,T DH AE T,1
T B AH T,T W IH DH AE T,1
ER D T,ER T,1
K AO,K W AO,2
R D ER,R T ER,2
ER OY OW,ER AY OW,1
V W AO,V AO,4
V W AO,V F AO,1
 IH G W, AH K W,1
W AA N,W AY N,1
AH Z AH,AH S AH,1
AH Z AH,AH N T S AH,1
Z AA R,Z AO R,7
N AH W UH M,N OW B AA M,1
AH N K,AH K,1
K AE R,K EH R,3
K AE R,K AO R,1
R IY IH,R IH,1
IH NG AH,IH N AH,1
D AH,D ER AH,1
D AH,D DH AH,1
D AH,D IY AH,1
AH D,AH N D,1
D AH M B,D B,1
R EH L,R AO L,1
L AH AE,L AE,1
 IH F DH AH F, F,1
M IH Z,M ER Z,1
M IH Z,M AE Z,1
ER AH N D JH,ER JH,3
IY AA R,IY AO R,7
R W UH D B,R B,1
R B B,R B,4
ER N,ER AH AH N,1
ER N,ER AH N,2
Z IH N,Z AH N,10
N AH,N D AH,7
N AH,N D DH AH,1
S AH S,S IH Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,3
 AA R, AO R,2
EY D Z HH,EY T HH,2
EY D Z HH,EY S HH,1
L AA AE,L AO AE,4
L AA R,L AO R,1
D AA R,D AO R,1
N UH R S,N UW V ER S,1
 JH AA, CH AA,1
AA N K,AA R L Z K,1
AA N K,AA T K,1
L IY N,L EY AH N,1
L IY N,L EY N,1
N Z SH,N D SH,1
DH AE T,DH EH R,3
DH AE T,DH AH,1
D IH N,D AH N,2
N M,N D M,3
D ER AH N,D D AE N,1
ER N D P,ER P,4
 B, DH AH B,1
S IY W,S Y UW W,3
S IY W,S W,1
 D IH V ER, DH AH F ER,1
ER S,ER S T S,1
ER S,ER Z S,3
S AH T,S IH T,1
R D DH,R DH,4
T EH K,T AE K,1
T AH N D HH,T AE T HH,1
