T IH N,T AH N,93
N G,N D G,94
N G,N IY D AH G,1
N G,N K R IY S G,1
D HH IH,D IH,1
DH IH S,DH AH S,1
S D AY,S AY,1
AY V S,AY D S,1
AY V S,AY F S,1
 P IY T S, S,1
S ER IY,S AA R IY,1
IY AH Z,IY AE Z,2
 P UH T DH, DH,2
 D R, R,1
AA P F,AA K F,1
D B L,D L,7
D B L,D G L,1
L AW S,L AO S,2
L AW S,L AE S,1
Y AO R D AA R K S,Y AE DH AE T S,1
S UW T IH N,S OW AH N,3
 HH AH S, AE S,1
K IY Y,K AH Y,1
M AA K D,M AY D,1
 AA HH AA, AA,1
SH D AH V AO R S,SH IH T W AA Z S,1
 DH AH S T, AE Z T,1
S M EY D AH,S AH,1
AH V P,AH P,4
P Y UW T ER AA,P IH R AA,1
NG D UW AA N DH,NG JH OW AH DH,1
DH AH S,DH ER S,2
DH AH S,DH IH S,3
 CH IY, SH IY,4
IY P S,IY S,1
IY P S,IY Z S,2
IY P S,IY F S,3
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
T IH N G,T AH G,5
T IH N G,T G,11
T IH N G,T UW G,1
IY V AA N,IY W AH N,1
K AH M,K AA M,2
T AH K,T AA K,1
T AH K,T IH K,1
 DH AH S, S,5
OY P UH,OY K UH,1
UH T DH,UH D DH,1
W ER M AA,W AH N AA,1
N DH AH HH,N HH,1
HH UH K,HH ER,1
 OW N L IY DH AH M, HH AW EH V ER M,1
S AH B T EY,S OW K EY,1
EY N P,EY P,1
 DH AH F, IH F,1
 DH AH F, F,1
F IH SH B IH G AE,F HH AE,1
AE N T,AE V T,1
AE N T,AE K T,2
UW L IY P F R,UW W EY T K R,1
R AE N T,R IH T,1
L EY K,L AY K,2
AA SH W,AA Z W,15
AA SH W,AA CH W,27
AA SH W,AA CH T W,1
ER AO L Y,ER AA R Y,5
ER AO L Y,ER AH Y,1
ER AO L Y,ER Y,1
ER AO L Y,ER AW ER Y,1
ER AO L Y,ER AA N Y,1
Y IH R,Y UW,3
Y IH R,Y AO R,1
 D AE, AE,2
 D AE, Y AE,2
 D AE, DH AE,1
S AH Z,S ER Z,2
S AH Z,S EH Z,1
S AH Z,S IH Z,1
N EY T,N AH T,1
T AH D W,T W,1
S AH NG,S AO NG,1
 M AY, AY,3
 M AY, L AY,1
IY N N,IY N,1
N AH S AH,N AH,1
D S L,D L,1
 K L IH F W, W,2
 K L IH F W, DH EH R W,1
Z S UW,Z HH UW,1
UW DH D B AY DH,UW AA R DH,1
UW DH D B AY DH,UW N AO R DH,1
N T,N D T,4
N T,N S,1
N T,N,1
AO L Y,AO R Y,8
AO L Y,AO R AA R Y,1
IY T UW K,IY DH AH K,5
IY T UW K,IY K,3
K AE R IY AE N,K ER AH N,1
N OY,N T OY,1
N OY,N D OY,2
F D AH,F DH AE T AH,1
AH N EH N IY TH IH NG F AO R W,AH P EY P ER W,1
 B IY IH, IH,1
K OW AH N S AY D AH D,K AO L D,1
AH B IH G G,AH G,2
D L,D AH L,2
L IY AE M B,L EY B,2
L D TH R UW,L T UW,1
IH N AH CH N,IH R IH T S N,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
W EH L,W AY L,1
SH AH B L IY,SH UH D W EY,1
R D AA,R G AA,3
R D AA,R AA,3
R D AA,R IH G AA,1
R D AA,R T S HH AA,1
R K S,R D S,3
R K S,R S,7
R K S,R T S,1
D EH N,D AH N,1
S P ER M,S F R AH M,1
EH G S,EH K S,1
DH AH B EH S,DH IH S,1
S T W,S W,1
N IH Z,N AE Z,2
N IH Z,N HH AE Z,1
Z T UW S,Z DH AH S,1
S AA L V EH,S AO EH,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,5
R IH Z P,R P,1
R AH P,R P,6
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D Y AO R D,D HH ER D,2
D Y AO R D,D AH D,2
D Y AO R D,D T UW D,3
D Y AO R D,D D,4
N D AA,N N AA,1
N AH N T,N EY T,1
S T R,S AO R,1
S T R,S R,1
EH S S,EH S,1
S IH M P L,S AH G L,1
D IH K,D AH K,1
T S AH S EH,T IH Z EH,1
T TH IH NG K,T T EY K,1
W UH D JH EH N T AH,W IH DH AE P AH,1
 B R, R,1
OY L,OY AH L,1
T OW S T AE,T EH L Z AE,1
G L OW,G OW,2
UW OW B EY G,UW HH AE V AH G,3
ER Z,ER IH Z,1
 IH F, AH F,1
F K AE R,F EH R,1
F K AE R,F HH EH R,1
V HH ER ER,V ER,2
V HH ER ER,V AH ER,1
NG AE T,NG IH T,3
HH AE D Y,HH AW Y,1
Y AO R D AA,Y UW N AA,1
Y AO R D AA,Y UW G AA,2
AA R K S,AA T S,3
AA R K S,AA L F S,1
W AO T,W AH T,3
T ER AO,T AH AO,1
T ER AO,T AO,1
IY AE N OY L,IY IH NG AO L,2
IY AE N OY L,IY AH HH OW L,1
IY AE N OY L,IY HH AY L,1
L IY R AE G L,L ER AW N D L,2
 B AH T W, OW W,1
 B AH T W, W,1
AW D F,AW F,1
R AE Z M,R M,1
CH F L EH K S,CH P ER S,1
AH B IH L,AH N AH L,1
L AH T IY,L IY,1
AA N AE Z S UW N,AA N,1
 IH F N EH, EH,1
EH S AH,EH P AH,1
S EH R IY T UW R IY,S OW D HH IY,1
EY S B OW,EY Z OW,1
OW TH HH,OW HH,1
V Z AA,V AA,1
S IH R K,S IY K,1
K AH T,K OW S T,1
K AH T,K T,1
T S AH,T AH,8
L AH,L DH AH,4
L AH,L,1
L AH,L AH M AH,1
L AH,L W AH,1
AH D AY,AH G AY,1
AY M F,AY F,1
 B IH F, F,1
 B IH F, HH IY F,1
 B IH F, AH F,1
R TH ER Z D EY Z IH G Z AE M R IY V Y UW,R AH N UW,1
UW EH V ER IY F AO R M Y AH L,UW K OY L,1
AY AA D IH,AY HH AE V V IH,1
IH SH AH,IH ZH AH,1
JH EH F TH AO T,JH AH S T K AA T,1
UW D IH,UW IH,3
JH P ER,JH ER,3
ER CH AH,ER JH AH,3
AH S,AH Z,3
AH S,AH S S,1
 JH AA N K L IY N Z SH, SH,2
IY HH AE D Y AO R,IY W AA Z W EH R,1
R K S UW,R Y UW,1
UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,UW,1
 D AA N T AE S K M IY T UW K, K,3
IY AE N OY,IY IH NG OY,6
IY AE N OY,IY OY,1
IY AE N OY,IY ER OY,1
 Y UW T UH K M, M,1
R AH F Y,R IY V Y,1
Z D T UW G IH V,Z IY V,1
AH P DH,AH V DH,1
DH EH R W,DH AH W,1
DH AH AY D IY AH AH V AH S EH,DH EH R DH EH,1
EH N T R,EH R,1
R AH,R W AA Z AE Z AH,1
AH L T,AH T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,2
Z T UW IY,Z IY,1
HH AW S IH Z,HH AE Z,1
Z N AA T IH N IH,Z IH,1
S EH L F AH,S AH,1
AH N,AH P AE N,1
AH N,AH CH,1
N AA V AH L,N AE L,1
L T IY,L IY,1
 D IH S T R OY EH V ER IY F AY, M AY,1
AY L R,AY AO R,1
R IH L EY T IH D,R D,1
D T UW M AY AA D AH T S,D ER Z,1
 AE L AH S, HH AW S,3
AH B IH,AH V OY D IH,1
AH B IH,AH P IH,1
IH L AH T IY T UW W,IH NG W,1
N OW T,N AA T,1
 B AA B P, P,1
 B AA B P, DH AH P,1
P EY P,P IY P,1
P ER,P AH L M ER,1
ER D OW V ER,ER M ER,1
ER L IH V IH,ER IH,1
NG R UW M M Y,NG AH V Y,1
R AH L Z,R Z,1
 M IH D IY, HH IY,1
 M IH D IY, AE N IY,1
IY V AH L,IY W IH L,1
 SH IY HH AE D Y AO R D, D,2
SH W AO T ER,SH HH AA R D ER,1
D DH EY L,D HH IY L,1
N M EH,N V EH,1
EH T AH F,EH R IY F,1
AH V P Y,AH F Y,1
T ER AA,T UW AA,1
S P AY,S AY,2
D ER W EH B G L,D AH V AY V L,1
S AH N,S AE N,1
S AH N,S AY D,1
N,N D,2
N,N IY AH,1
Z R AH N,Z AA N,1
M TH EY R,M HH EH R,1
M TH EY R,M DH EH R,2
R W AO R N,R OW AH N,1
 D AA N T D UW CH, CH,3
 D AA N T D UW CH, IY CH,1
 K AE L, W EH L,1
 K AE L, HH IY AO L,1
L S IY,L TH IY,1
IY AH M M,IY M,1
ER R,ER EH R,1
ER R,ER DH AH R,1
R IH M,R IY M,1
R IH M,R AH M,1
M EY N D AA,M IY AA,1
S AH P ER,S ER V ER,1
 B UH K S, W AH T S,1
S AA R F,S EH L F,1
F AO R SH,F IH SH,1
SH N,SH N AH S N,1
N UH K S,N OW T S,1
R EH N,R EY N,1
R EH N,R IH N,2
R EH N,R AE N,1
N D W,N W,2
UW D AW,UW AW,1
AE R,AE R IY K AO R,3
IY AE N,IY AH N,12
IY AE N,IY IH NG AA N,1
IY AE N,IY AA N,1
IY AE N,IY IH N,2
NG N AY,NG AY,1
AY T S,AY S,2
S AH V T,S EH D T,1
 DH AH EH M B L AH M D IH P, HH IY P,1
K T S,K S,5
UW OW B EY,UW M EY,1
EY G,EY K G,1
EY G,EY T G,1
V HH ER,V AH R AE N CH ER,1
V HH ER,V ER,1
ER ER EY,ER HH EY,1
EY N JH F AO R AH M IY T,EY T,1
N OY L,N ER L,3
N OY L,N D AO L,5
N OY L,N L,1
N OY L,N D OW N L,1
N OY L,N AO L,3
Z B,Z B IY B,1
V IH N,V AH N,1
N F,N D F,4
N F,N AH F,1
N F,N T F,1
L IH V EH N T,L IY HH ER T,1
S B IY F,S D IH F,1
L AH V,L HH AE V,1
L AH V,L IH V,1
D AY M F,D AW N F,1
 JH EH F, S OW IH F,1
F TH AO T Y,F Y,1
F TH AO T Y,F AA R Y,1
N K L IY,N G R IY,2
N D SH,N SH,1
N D SH,N Z SH,1
D AA R,D AO R,2
AW DH AE T DH,AW DH,1
IY N IH,IY T IH,1
 V EY, R EY,1
IY V IH,IY D IH,1
P P IY,P HH IY,1
AW L IY,AW M IY,1
 K AE T AH S, S,1
R AA F IH K EH,R AO NG ER EH,1
R AA F IH K EH,R AO NG EH,2
K K,K IH F EH K,1
T B AE K S,T S,1
S N,S AH N D N,1
 IY, HH IY,1
IY CH IH Z,IY Z,1
Z S,Z JH AH S,1
T IH L G,T AH G,1
S T K,S K,1
V DH AH,V AH,1
AE D R,AE V R,1
OY P UH T DH,OY W IH DH DH,1
OY P UH T DH,OY F AO R DH,1
W ER M,W AO R M,2
W ER M,W AO R IH M,2
T IH S,T AH S,4
 DH AH F IH SH B, B,1
UW L IY,UW B IY,1
UW L IY,UW W IY,1
P F R,P R,2
K AH L,K L,2
SH W,SH T W,2
G L AY,G M AY,1
G L AY,G R AY,2
G L AY,G AY,2
AY K DH AE,AY AE,1
AY K DH AE,AY S AE,1
AY K DH AE,AY P AE,1
AE T,AE S,1
AE T,AE D,1
AE T,AE K,1
AE T,AE S T,1
 B AE, F AE,1
 B AE, R AE,1
 B AE, AE,1
 B AE, DH AE,1
AE L,AE M AH L,1
L EY Z,L IY Z,1
D IH N,D AE N,1
D IH N,D AH N,4
N AA P R AH F,N AO F ER F,1
ER T AE,ER CH AE,1
N T B,N JH B,1
N AH V S,N S,1
ER D T,ER T,1
UW B AY,UW F AY,1
UW B AY,UW L AY,1
AY EH N,AY N,1
N IY K,N D AH K,1
W AO R AH B,W ER B,2
N M AH N K EH P T,N D IH S T,1
T HH IH Z V IH,T R IH,1
AH M K,AH N D K,1
AH M K,AH P K,1
AH M K,AH V K,1
T F AO,T AO,2
IY IH Z,IY Z,3
Z TH IH,Z IH,1
N ER,N HH ER,1
N ER,N T ER,1
 IH G W, AH W,1
 IH G W, HH IY W,1
W AA N,W AH N,1
N AH Z,N AE Z,3
Z AH N,Z AE N,1
Z AH N,Z IH N,1
N D AE,N AE,1
ER Z AA R T,ER T,1
 P R IH T IY S UW N AH W UH M, OW B AA M,1
AH N K,AH K,1
NG K AE R,NG HH IY R,1
R IY IH,R IH,1
IH NG AH,IH N AH,1
D AH D AH,D ER AH,1
AH AE Z,AH Z,1
 IH F DH AH F, F,1
M IH Z,M ER Z,1
M IH Z,M AE Z,1
T M AH S T B,T W AA Z B,1
EY D,EY,1
ER AH N D JH,ER JH,4
IY AA R N,IY AH N D N,1
 HH AW G, OW G,1
D IH Z,D AE Z,1
D IH Z,D EH Z,1
 IH F P, AH P,2
 IH F P, P,3
R W UH D B,R B,2
R B B,R B,2
ER N D P,ER AH P,1
ER N D P,ER P,3
ER AH N D L,ER L,2
G B AA,G AA,4
NG S P AO,NG AO,1
R T,R,3
AH F,AH V F,1
S AH S,S IH Z,1
S AH S,S AY S,1
UW IH N,UW AH N,1
N IH,N D IH,3
N IH,N HH IH,2
ER AH AH,ER AH,1
AO NG T,AO T,1
 AA R, AO R,1
L AA AE,L AO AE,4
D DH AH OY,D Y AO R OY,1
W EH N S,W AA Z S,1
L AA R,L AO R,1
R OW,R OW L D ER OW,1
N UH R S P R,N UW V ER Z G R,1
R EH D ER,R EY T ER,1
IY F AO,IY K AO,1
IY F AO,IY AO,2
R M Y AH L AH,R N ER,1
T W EH N AY,T M AY,1
JH EH F TH,JH AH S T TH,1
JH AA N K,JH AE K,1
K L,K W AH L,1
K L,K G L,1
L IY N,L IH N,1
L IY N,L EY N,1
N Z SH,N SH,1
DH AE T,DH EH R,6
DH AE T,DH IH S,1
N DH AH OW,N Y EH L P OW,1
IY AA R,IY AO R,6
AY S M AH N TH S,AY S,1
N M,N D M,3
R EH N D,R D,1
R EH N D,R AE D,1
D ER AH N S,D EH T S,1
D ER AH N S,D AO R Z,1
D ER AH N S,D R EH S,1
S DH EH R W,S W,1
 B AA, AA,5
 B AA, HH AA,2
L IY V Z,L EY Z,1
B IH G B,B L IY K B,1
AH T B AO L K,AH V AW ER K,1
S P AO,S T AO,1
AE D Y,AE Z Y,9
AE D Y,AE V Y,1
S D,S AE D,1
D IH V,D V,1
S AH T IY,S L IY,1
AH V F,AH F,2
F AE K,F EH K,1
T Y EH S,T AH S,1
M IH G N AO,M AH AO,1
R D DH,R DH,6
T EH K,T AE K,1
IY M EH,IY EH,1
EH M ER,EH V ER,1
Z D DH,Z DH,3
 B AH T HH, AO R HH,1
G IH V HH,G EH T HH,1
HH IH M,HH IY R,1
AY EH N IY K,AY DH AH K,1
AY EH N IY K,AY K,1
AH N M,AH V ER M,2
N K,N T K,2
N K,N D HH AE Z K,1
N K,N D K,4
Z V IH K T AH,Z AH,2
T G AH N P,T DH AE T P,2
 IH, HH IY HH IH,1
IH G W AA N AH Z,IH Z,1
Z AA R,Z AO R,6
 B AH T SH, SH,1
 DH AH, AH,9
 DH AH, Z IH R OW AH,1
 HH EH, EH,1
L P G R,L R,1
P EH K,P AE K,6
P EH K,P IH K,1
N AH B,N AY B,1
B IH G,B EH G,1
N DH AH,N AH,5
W AO T ER AO,W AY TH EY R AO,1
W AO T ER AO,W AY AA R AO,1
W AO T ER AO,W EH R Y OW Y AH R AO,1
 D UW DH EY, EY,1
M EY K K,M IY K,1
S T D,S D,1
S K F R AH,S AH,1
AH M HH,AH V HH,1
D EH K,D EY,1
 M EY K L IH D F AO, W ER AO,1
AO R SH UH G ER B OW L,AO L,1
Z JH AA,Z CH AA,1
L IH,L IY IH,1
L IH,L AY V IH,1
IH D Z,IH Z,1
Z OW M IH T IH NG D,Z AO R D,1
N D IH,N IH,2
IH S K,IH Z,1
IH S K,IH Z K,1
 DH AH K, B IH K,1
 DH AH K, K,5
 DH AH K, HH IY K,1
 DH AH K, HH ER K,1
K L AH M Z,K AO Z,1
Z IY K,Z AH K,1
L D S,L S,6
 DH AH V, HH AE V,1
 DH AH V, V,1
UW P OY N T OW,UW AO R OW,1
T DH AH OW SH AH,T TH AW Z AH,1
 P L IY Z D IH G M, M,2
Z AH P B,Z AO R B,1
Z AH P B,Z AW T B,1
Z AH P B,Z DH AE T B,1
R F R AO S,R HH ER AE S,2
EY B AH,EY AH,1
AH T AY,AH N D AY,1
T IH N AH F CH,T IY DH ER CH,1
N P EH T IY K,N HH AE N D K,1
K OW T S,K AH F S,1
AA R,AA F UW R,1
UW T IH N,UW D AE N,1
UW T IH N,UW D AH N,3
UW T IH N,UW AH N,1
 P AE, AE,2
 P AE, HH AE,4
S IH,S K IH,1
S IH,S EY IH,1
L B AA,L M AA,1
AA T CH IH L,AA R D SH EH L,1
P T,P IH T,1
M D IH,M IH,1
IH P IH K,IH F EH K,1
AH G L,AH V L,1
OW HH AE V,OW EH V,1
 DH EH N, AH N,1
N HH,N D HH,2
IY DH EH N W,IY HH ER D W,1
AA D AH,AA N T AH,1
AA D AH,AA N AH,1
L AH N D S,L HH AE Z S,1
UW HH IH,UW IH,1
HH EH M,HH IH M,1
OW AA N B,OW IH M B,1
K N,K EH N,1
IY T B AH,IY AH,1
AH T AH N HH OW,AH P M OW,1
AY B AY OY L,AY IH L,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,,1
S P AH,S HH AH,1
M AH,M B AH,1
L D HH,L HH,1
Z B IH,Z HH IH,1
Z B IH,Z W IH,1
Z IY F IY,Z V IY,1
IY T SH,IY SH,2
S P AE,S HH AE,1
ER D ER,ER ER,1
 K AH M P AH L S ER IY R IY T AY ER M AH N T AE T S IH K S T IY F AY V L UW M Z AA N AW ER HH ER AY Z AH N,,1
UW M M,UW M,4
Y UH R,Y IH R,1
R AH L,R OW L,1
R AH L,R AY L,1
L Z,L D Z,1
L Z,L,1
R D AA R K S,R N ER V Z S,1
R D AA R K S,R TH AO T S,1
R D AA R K S,R ER TH S,1
 D, AY D,7
 D, DH EY D,2
 HH AW Z IH T S, AO L S OW AH S,1
UW F,UW W IH L F,1
F AW L,F AO L,1
S IH N,S AH N,3
N L,N D L,3
 P OW CH DH AH AE P AH L Z IH N DH IH S S ER AH P F AO R T W EH L V M IH N AH T S D R EY N DH EH M AH N D K UW L,,1
 HH UW AO, AO,1
 HH UW AO, OW AO,1
 L AO, AO,2
