 SH IY HH AE D Y AO R D AA R K, IH K,1
 SH IY HH AE D Y AO R D AA R K, S K,1
 SH IY HH AE D Y AO R D AA R K, K,1
 SH IY HH AE D Y AO R D AA R K, S OW K,1
S UW T,S T,3
S UW T,S IH T,2
S UW T,S IY T,1
IH N G,IH NG G,2
IH N G,IH G,1
IH N G,IH NG AH G,1
G R IY S IY W,G W,5
G R IY S IY W,G Z W,1
W AA SH,W IH SH,1
SH W,SH DH AH W,1
SH W,SH Y AO R W,1
SH W,SH AH V W,1
SH W,SH IH NG W,1
IY AE N OY L IY R AE G L,IY Y UW L,1
D AH N D HH,D AE T HH,1
IY M D F,IY N Y ER F,1
 P R AH D AH K SH AH N M EY F AO L F, IH T S F,1
 P IY T S ER IY AH Z AA R K AH N V IY N Y AH N T F AO R AH K, K,1
 P UH T DH AH B UH CH ER B L AA K T EY B AH L IH N DH, DH,1
V OW N L IY S,V S,2
D B,D W EH B,1
B L AW S,B S AY T S,1
S AH Z,S,3
 EH L D ER L IY P IY P AH L AA, IH R AA,1
 EH L D ER L IY P IY P AH L AA, IH T S AA,1
AA R AO F AH,AA K AH,1
AH N IH K S,AH S,1
S K L,S L,1
S K L,S P L,1
L UW D AH D,L IY P,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W, W,5
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W, AY W,2
IY AE N,IY AH N D D AA N,1
IY AE N,IY AA N,6
IY AE N,IY AH N,7
IY AE N,IY EH N,2
IY AE N,IY IH N,2
IY AE N,IY AH AH N,1
IY AE N,IY IH T ER AW N,1
IY AE N,IY N,1
IY AE N,IY ER AW N,1
N OY L,N T R IH L,1
N OY L,N AO R D ER L,1
N OY L,N D AO L,2
N OY L,N OW L,1
N OY L,N D OW N L,3
N OY L,N AH HH AA L,1
N OY L,N AO L,1
N OY L,N AH W AY L,1
AE G L,AE K L,2
 HH AH S, S,1
S K IY Y AH,S AE D AH,1
