T IH N,T AH N,128
T IH N,T M IY N,1
T IH N,T EH N,1
N G,N D G,127
D HH IH,D IH,1
N AH,N D AH,8
N AH,N T AH,1
Y AO R,Y IH R,2
IY AE N,IY AA N,2
IY AE N,IY AH N,9
IY AE N,IY N,1
M AA K D,M AY D,1
 AA HH AA, AA,1
IY TH AO,IY S AO,1
AO T AH,AO AH,1
D AH V,D IH V,1
R S,R S T S,1
AH V,AH V V,1
V AE K CH,V ER CH,1
CH AH W AH,CH UW AH,1
Y UW T ER AA,Y UH R AA,1
R W AO,R M AO,1
R N,R AA N,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
 IH N, AH N,2
N W,N D W,3
K AH M,K AA M,2
T AH K,T AA K,1
W ER M,W AO R M,2
L EY K,L AY K,1
S AH NG,S AO NG,1
DH D B,DH B,2
N K,N D K,4
N K,N T K,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
D L,D IY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
AH T W,AH S W,1
W EH L F TH,W AA TH,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
N IH Z,N AE Z,2
N IH Z,N HH AE Z,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,1
L D DH,L DH,4
R IH Z,R Z,1
R IH Z,R AE Z,1
R AH P,R P,4
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
IY IH N D IH K EY T S AH,IY AH,1
W UH D JH,W IH DH JH,1
L AO R,L AA R,1
ER Z,ER IH Z,1
ER Z,ER TH,2
V HH ER ER,V ER,3
V HH ER ER,V AH ER,1
JH F,JH D F,3
NG AE T,NG IH T,1
HH AE D Y AO R D,HH EY AH D,1
W AO T,W AH T,4
T ER AO,T AO,2
T ER AO,T AA R AO,2
IY AE N OY L,IY IH NG AO L,2
IY AE N OY L,IY IH NG ER L,1
L IY R AE G L,L ER AW N D L,1
L IY R AE G L,L AH L,1
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
EH R IY T UW R,EH R,1
R IH L,R EY L,1
S IH R K,S ER K,1
T S AH,T AH,7
EY Z IH,EY IH,1
M R,M P R,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,2
AY AA D,AY AO R D,1
AY AA D,AY AH D,2
N,N D,2
IY N Z SH,IY S SH,1
D Y AO R D,D T UW D,2
D Y AO R D,D D,1
AA SH W AO,AA CH F AO,1
AO T ER AO,AO R AO,1
AO T ER AO,AO R F AO,1
N OY L,N D ER L,1
N OY L,N ER L,4
N OY L,N D AO L,6
N OY L,N D OW N L,2
N OY L,N AO L,1
 Y UW T, HH IY T,1
V AH S,V IH S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
HH AW S IH,HH AE Z IH,1
IH Z N,IH T S N,1
N AA T IH N,N AY N,1
OY EH V ER IY F AY L R,OY AH R,1
IH L EY T IH,IH F ER IH,1
IH D T,IH NG T,1
 AE L AH S, HH AW S,1
NG R UW M M,NG AH M,1
UW W AY L W,UW AA R W,2
P Y UW T,P IY T,3
Z R AH,Z W AH,1
M TH EY R,M DH EH R,1
R W AO R N,R OW N,1
T ER R,T AH L R,1
M S,M Z S,1
P ER Z,P OW Z,1
B UH K,B AA K,1
S AA R F,S AO F,1
F AO R SH,F AH S SH,1
V HH ER ER EY N,V AH R AE N,1
N JH F AO R AH M,N CH ER M,1
V IH N,V AH N,1
N F,N D F,2
L IH,L IY IH,2
L AH V,L HH AE V,1
L AH V,L IH V,1
F HH IY W,F Y UW W,2
N D SH,N SH,1
S AA R,S AO R,5
S N,S AH N D N,1
AY T S,AY S,1
IH S T S,IH S,2
 B AE L, P AH L,1
L EY Z W,L IY S W,1
Z AH M,Z M,1
N AH V M,N M,1
W AO R AH B,W ER B,1
 IH G, AH G,1
 IH G, G,2
 IH G, HH IY G,1
G W AA N,G Y UW AH N,3
G W AA N,G AO N,1
N AH Z,N AE Z,5
Z AA R,Z AO R,10
SH IY HH AE D,SH UH D,1
SH IY HH AE D,SH EH R D,2
K AE R,K EH R,3
K AE R,K AO R,1
R IY IH,R IH,1
IH NG AH,IH N AH,1
D AH D AH,D ER AH,1
AH AE Z,AH Z,1
F DH AH,F AH,1
M IH Z,M ER Z,1
M IH Z,M AE Z,2
IY AA R,IY AO R,7
R W UH D B,R B,1
R B B,R B,4
ER N D P,ER AH P,4
Z IH N,Z AH N,7
AA N F,AA M F,1
F AY ER,F AA R,1
EY D Z HH,EY T HH,2
EY D Z HH,EY S HH,1
L AA AE,L AO AE,4
L AA R,L AO R,1
D AA R,D AO R,1
T SH R,T T R,1
L IY N Z SH,L IH R SH,1
R EH N,R AH N,1
R EH N,R IH N,1
D ER AH N,D D AE N,1
AE D Y,AE Z Y,1
N G R IY S IY W,N Y UW W,1
 D IH V ER, DH AH F ER,1
ER S,ER S T S,1
ER S,ER Z S,3
S AH T,S IH T,1
AH V P,AH P,1
AH V P,AH P P,1
R D DH,R DH,3
Z D DH,Z DH,2
M AH N,M EH N,1
ER DH AE N,ER AH N,1
N AY,N D AY,1
AH P,AH P P,2
P EH K,P IH K,2
P EH K,P AE K,5
K AH V P,K P AE K ER P,1
N AH B,N AY B,1
B IH G,B EH G,1
W AO T ER AO,W AY TH EY R AO,1
S T D,S D,1
S K F,S F,1
D EH K,D EY,1
K L IH D F,K W EY F,1
Z JH AA,Z CH AA,1
IH D Z OW,IH T S OW,1
IH S K,IH Z,1
K T DH,K DH,6
