 SH IY HH AE D, DH AH B L EH N D,1
 SH IY HH AE D, Y UW D,1
 SH IY HH AE D, ER AW N D,1
 SH IY HH AE D, AH D,1
 SH IY HH AE D, DH AH AY D,1
 SH IY HH AE D, AH N D,1
D Y AO,D IH NG M AO,1
D Y AO,D AO,2
R D AA R K S UW,R DH AE T Y UW,1
UW T,UW N AY T,1
UW T,UW AH L IY IH T,1
T IH N,T S N,1
T IH N,T AH N,25
T IH N,T EH N,1
T IH N,T HH AE Z N,1
N G R IY S IY W,N UW Z Y UW W,1
N G R IY S IY W,N CH W,1
N G R IY S IY W,N EY B AH L T UW W,1
N G R IY S IY W,N AE Z Y UW W,1
AA SH W AO T,AA CH M AE T,1
AA SH W AO T,AA N T,2
AA SH W AO T,AA N T T,2
AA SH W AO T,AA CH T,1
AA SH W AO T,AA R T,1
AA SH W AO T,AA CH AW T,1
AA SH W AO T,AA CH DH AE T,1
AA SH W AO T,AA CH L AA T,1
AA SH W AO T,AA T,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L, L,2
 HH IH Z K AE P T AH N W AA Z TH IH N AH N D HH AE G ER D AH N D HH IH Z B Y UW T AH F, F,1
F AH L B,F AO R B,1
N AH,N D AH,4
N AH,N IH F Y OW Y AH,1
N AH,N D K AH,1
N Z F,N DH IH S F,1
N M EY F,N AH F,1
F AO L F,F AA R F,1
IH L OW EH,IH AA N D EH,1
 P, W UH D P,1
 P, S T R AE P,1
 P, DH AH P,2
 P, D IH P,1
P IY T S ER IY AH Z AA R K AH N V IY N Y AH,P AH,1
N T F AO R AH K W IH,N IH,1
IH K L AH N CH,IH SH,1
IH K L AH N CH,IH DH T UW W AA CH,1
 D R AA P F AY V F AO R M Z IH N DH AH B AA K S B IH F AO R Y UW G OW AW, W AW,1
AW T,AW,2
 HH ER W, DH AH W,2
 HH ER W, AH W,1
S AH N D B L,S L,1
L AW S,L AY S,1
L AW S,L S,1
AH Z,AH N S,1
AH Z,AH N T,1
AH Z,AH N Z,1
AH Z,AH G UH D,1
AH Z,AH V Z,1
 EH L D ER L IY P IY P AH L AA R AO F AH N IH K S K L UW D AH D,,2
 SH IY, DH AH S IY,1
 SH IY, HH IY,5
 SH IY, W IY,1
 SH IY, P R IY,1
 SH IY, IH T S IY,1
IY HH AE D Y AO R D AA R K,IY G EH T DH AH AH T AE K,1
S UW T IH N G R,S OW V ER AH R,1
S UW T IH N G R,S IY K R,1
S UW T IH N G R,S ER AA R,1
S UW T IH N G R,S OW L AY K B R,1
S UW T IH N G R,S IY R,1
R IY S,R EY S,3
R IY S,R AH S,3
R IY S,R AH T S,1
R IY S,R S,1
R IY S,R IH S,1
R IY S,R EH S,1
