T IH N,T AH N,113
T IH N,T EH N,1
N G,N D G,111
N G,N AH G,1
D HH IH,D IH,1
N AH,N D AH,12
Y AO R,Y IH R,1
IY AE N,IY AA N,3
IY AE N,IY AH N,10
IY AE N,IY AH AH N,1
IY AE N,IY N,1
M AA K D,M AY D,1
 AA HH AA, AA,1
D AH V,D IH V,1
R S,R S T S,1
Y UW T ER AA,Y UH R AA,1
R B,R AH B,2
R W AO,R B AO,1
R W AO,R M AO,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
Y AO R D,Y UW D,3
Y AO R D,Y OW D,1
UW T IH,UW N IH,1
N G R,N K R,2
N G R,N D R,1
N G R,N D K R,1
N G R,N D B R,1
S IY W,S IH NG W,2
S IY W,S DH AH W,1
S IY W,S Y UW W,2
S IY W,S W,1
AA SH W,AA CH W,10
AA SH W,AA Z W,1
 IH N, AH N,2
N W,N D W,4
K AH M,K AA M,2
T AH K,T AA K,1
W ER M,W AO R M,2
W ER M,W EH R IH M,1
L EY K,L AY K,2
Y IH R,Y UW,5
 D AE, DH AH AE,1
S AH Z,S ER Z,1
S AH NG,S AO NG,1
DH D B,DH B,2
V AH,V DH AH,2
V AH,V W AH,1
N K,N D K,5
N K,N T K,1
AO L Y,AO R Y,7
 HH IY HH, DH AH HH,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
 B IY IH, DH AH IH,1
AH B IH G G,AH P EH T G,1
D L,D IY L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
 IY T IH, AE D IH,1
AY T,AY T T,1
AA N DH AH,AA M AH,1
AH T W EH L F TH,AH S R AO TH,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
T IH N G,T G,13
T IH N G,T AH G,1
EH G S,EH K S,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,2
L D DH,L DH,2
L D DH,L AH V DH,1
R IH Z,R Z,2
R AH P,R P,4
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D IH K,D AH K,1
T S AH S,T ER Z S,1
IH T TH,IH N TH,1
W UH D JH,W IH DH JH,1
L AO R,L AA R,1
G L OW,G OW,1
ER Z,ER IH Z,1
ER Z,ER,2
V HH ER ER,V ER,2
V HH ER ER,V AH ER,1
JH F,JH D F,3
NG AE T,NG IH T,1
HH AE D Y AO R D,HH EY D,1
AA R K,AA K,1
K S UW,K SH UW,1
IH N G,IH NG G,3
W AO T,W AH T,5
T ER AO,T AO,3
T ER AO,T AA R AO,1
IY AE N OY L,IY IH NG AO L,2
L IY R AE G L,L ER AW N D L,1
 B AH T, DH AE T,2
W IH DH IH N,W UH D AH N,1
N DH,N D DH,3
N AE Z S,N AH N D S,1
S UW N AE Z W,S OW W,1
F N EH S,F DH IH S,1
S AH S,S S,1
S AH S,S AY S,1
S EH R IY T,S T,1
T UW R IY,T AH D IY,1
V Z AA,V AA,1
S IH R K,S ER K,1
T S AH,T AH,8
 B IH F, F,2
EY Z IH,EY IH,1
M R,M P R,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
AY AA D,AY AO D,2
AY AA D,AY AO R D,1
AY AA D,AY AH D,2
N,N D,2
UW D IH,UW IH,3
IY N Z SH,IY S SH,1
D Y AO R D,D T UW D,2
D Y AO R D,D D,1
UW T IH N,UW N,4
UW T IH N,UW D AH N,2
UW T IH N,UW N AH N,1
W AO T ER AO L Y,W EH R AA R Y,1
N OY L IY R,N D AO R DH AH R,1
N OY L IY R,N AO R R,1
N OY L IY R,N OW DH AH R,1
 Y UW T, HH IY T,1
V AH S,V IH S,1
N T R AH,N SH AH,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
CH HH AW S IH Z,CH AE Z,1
N AA T IH N,N AY N,1
 D IH S, S,1
T R,T AO R,1
T R,T R EH R,1
R OY EH V ER IY,R IY,1
IY F AY L R,IY R,1
IH L EY T IH,IH F ER IH,1
