T IH N,T AH N,86
T IH N,T EH N,1
N G,N D G,92
N G,N AE NG G,1
N G,N G R IY S G,1
N G,N K R IY S G,1
D HH IH,D IH,1
 D R, B R,1
 D R, T R,1
R AA P F,R AO T F,1
Z IH N,Z AH N,12
N DH,N D DH,2
D AA R K S,D AE D S,1
D AA R K S,D AO G S,7
D AA R K S,D AE N S,1
D AA R K S,D AH N S,1
S UW T IH,S OW L D IH,1
S UW T IH,S IH,1
W AO T ER AO L Y,W AA N AH AH V Y,1
IY AE N,IY AA N,2
IY AE N,IY AH N,11
IY AE N,IY B IH N,1
IY AE N,IY IH N,1
M AA K D,M AY D,1
 AA HH AA, AA,1
AA HH IY TH,AA TH,1
D AH V,D IH V,1
R S,R S T S,1
DH AH S,DH AE T S,1
DH AH S,DH IH S S,1
DH AH S,DH IH S,1
V AE K CH,V EH N CH,1
CH AH W AH,CH UW AH,1
Y UW T ER AA,Y UH R AA,1
R B,R AH B,1
S AH N,S AE N,1
S AH N,S AY D,1
N,N D,4
 CH IY P S, JH EY M Z S,1
R W AO,R B AO,1
R W AO,R R AO,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
K AH M,K AA M,2
T AH K,T AA K,1
W ER M,W AO R M,3
W ER M,W EH R IH M,1
M AA N,M AH N,1
N DH AH HH,N D HH,1
 AH, DH AH,12
N F Y,N HH Y,1
N F Y,N D UW Y,1
UW W IH,UW M AH N B IY IH,1
IH L B,IH NG B,1
L Z,L,2
 OW N L IY DH AH M OW S T AH K AA M P L IH SH T AA R T IH S T S AH B T EY N P AA P Y AH L EH R AH T IY,,1
UW L IY,UW W IY,2
UW L IY,UW B IY,1
S AH V DH AH,S AH,1
L EY K,L AY K,1
Y IH R,Y UW,7
 D AE, DH AH AE,1
 D AE, DH AE,2
S AH Z,S ER Z,1
S AH Z,S T,1
S AH Z,S HH IH Z,1
S AH Z,S IH Z,1
N V ER,N F ER,1
D S L,D L,1
N AH S,N ER Z,1
N AH S,N IH S,1
UW DH D,UW D,3
V AH,V DH AH,3
V AH,V W AH,1
 Y, DH AH Y,5
N K,N D K,5
N K,N T K,2
T S,T,1
T S,T UW S,1
T S,T S EH Z S,1
F D AH N EH N IY TH IH NG F,F DH AE T AY HH EY T F,1
 B IY IH, DH AH IH,1
D L,D AH L,1
L IY AE M B,L DH AH EY B,1
L D TH R UW,L T UW,1
 IY T IH, DH AH AE D IH,2
 IY T IH, AE D IH,1
S AH Z S,S IH N S,1
S AH Z S,S T S,1
AY T,AY T T,1
AA N DH AH,AA M AH,1
AH T W EH L F TH,AH S R AO TH,1
TH D EY,TH DH EY,1
W EH L,W IH L,7
EH G S,EH K S,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,3
L D DH,L DH,5
T AA P W,T AO R M W,1
R IH Z,R Z,2
R AH P,R P,4
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D IH K,D AH K,1
T S AH S,T ER Z S,1
T S AH S,T UW S,1
ER IH,ER IH N IH,1
W UH D JH,W IH DH JH,1
 B R, R,1
OY L,OY AH L,1
L AO,L M AO,1
L AO,L OW W AO,1
G L OW,G OW,2
 M, DH AH M,1
ER Z,ER IH Z,1
ER Z,ER TH,1
V M,V D M,1
 IH F K, K,1
 IH F K, AH V K,1
V HH ER ER,V ER,5
JH F,JH D F,3
NG AE T,NG IH T,2
 HH IH Z SH, DH AH SH,1
HH AE D Y AO R D,HH EY D,1
AA R K,AA K,1
K S UW,K SH UW,1
K S UW,K F UW,1
IH N G R IY S IY,IH NG W IH SH IY,1
SH W,SH IY W,1
W AO T,W AH T,4
T ER AO,T AO,3
T ER AO,T AA R AO,1
 D AA N, N OW N,2
 D AA N, DH AH AH N,1
 D AA N, DH EH N,1
N T AE,N AE,3
