T IH N,T AH N,46
T IH N,T AE N,1
T IH N,T N,1
N G,N D G,54
N G,N AE NG G,1
N G,N AH G,1
K DH AE,K M AE,4
K DH AE,K D AY AE,1
AE T,AE N,9
D HH IH,D DH IH,1
D HH IH,D IH,1
IH Z B,IH S B,1
B UW T S W,B OW N Z W,1
ER W AO,ER B AO,1
N AH N,N IH N,1
N D SH,N SH,2
N D SH,N CH SH,1
M D F,M Z F,1
 P IY T S, S,1
S ER IY,S AA R IY,1
AH Z AA R K AH,AH N D S ER T AH,1
N V IY,N M IY,1
N V IY,N IY,1
N Y AH,N AH,1
N T F,N D F,2
N T F,N F,4
K L AH,K W AH,1
N CH,N,1
 P UH T DH, W EH N DH,1
 P UH T DH, DH,3
 P UH T DH, W IH DH DH,1
AH B UH CH,AH M AH CH,1
CH ER B,CH Y AO R B,1
L AA K T,L AO G T,1
 D R, B R,1
 D R, DH EH R,1
 D R, F R,1
R AA P F,R AO T F,1
R AA P F,R AH M F,1
D AA R K S,D AE NG S,1
D AA R K S,D S,1
D AA R K S,D AO G S,12
D AA R K S,D AH N S,1
D AA R K S,D B ER N S,1
UW T IH,UW N IH,8
UW T IH,UW N M IY IH,1
UW T IH,UW D IH,2
W AO T ER AO L Y IH R,W AA N AH AA N HH IY R,1
W AO T ER AO L Y IH R,W AH N AH N D AY AE M,1
W AO T ER AO L Y IH R,W AH N,1
 HH AH S, AE S,1
K IY Y,K AH Y,1
M AA K D IH,M OW N DH IH,1
S T EY,S D EY,1
EY S T,EY Z,1
 AA HH AA, AA,1
AA HH IY TH,AA TH,1
D AH V,D IH V,1
R S,R S S,1
IY AE T L,IY AH N D L,1
DH AH S,DH AE T S,1
DH AH S,DH IH S,2
DH AH S,DH IH S S,1
EH K N,EH N AH N,1
N IH K,N D K,1
N IH K,N EH K,1
K AH L,K OW L,1
K AH L,K L,1
Z AH CH,Z CH,1
CH IY V D AE,CH EY N AE,1
AH V AE,AH M AE,1
AE K CH AH W AH L IH,AE N Z IH,1
AH V P Y UW T ER AA R,AH AO R,1
R B,R AH B,2
N D IH,N IH,3
N D IH,N T IH,1
 CH IY P S T AA K IH NG Z, JH EY M Z D AO G M IY N Z,1
R W AO,R M AO,2
R N,R,4
R N,R OW N,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
N G R,N K R,17
N G R,N R,12
N G R,N D R,3
N G R,N P R,1
N G R,N EH M B R,1
S IY W,S IH NG W,17
S IY W,S Y UW W,4
