T IH N,T AH N,43
T IH N,T D AH N,1
T IH N,T EH N,1
N G,N D G,52
N G,N T ER M Z G,1
AA SH W,AA CH W,25
AA SH W,AA Z N T W,2
AA SH W,AA CH IH NG W,2
AA SH W,AA Z W,7
DH AE T,DH EH M,12
DH AE T,DH EH N,9
DH AE T,DH AH,1
DH AE T,DH OW,1
AE P T AH,AE B AH,1
D HH IH,D IH,2
ER W AO,ER B AO,1
 P UH T, W AH T,1
 P UH T, DH AE T,2
 D R, B R,1
 D R, R,2
 D R, T R,1
R AA P F,R AO T F,1
AH D,AH N D,8
AH D,AH,1
AH D,AH N,1
Y AO R,Y IH R,1
Y AO R,Y AH R,4
D AA R K,D AE K,1
K S,K S S,1
K S,K S S ER F AH S S,1
K S,K S UW T S,1
K S,K AH N S,1
UW T IH,UW N IH,8
UW T IH,UW IH,2
UW T IH,UW D IH,1
UW T IH,UW D AH N IH,1
W AO T ER AO,W AA N AH AO,1
W AO T ER AO,W AY TH EY R AO,1
W AO T ER AO,W AH N AH N D AO,2
W AO T ER AO,W AH N DH EH M AO,1
W AO T ER AO,W AH N AO,1
 HH AH S, AE S,1
K IY Y,K AH Y,1
DH M AA,DH B AA,1
AA K D,AA T DH IY Z D,1
D IH S T EY,D EY,1
EY S T,EY Z,1
 AA HH AA, AA,1
AA HH IY TH,AA TH,1
SH D AH,SH DH AH,1
AH V AO R S,AH W AA Z S,1
DH AH S,DH AE T S,1
DH AH S,DH IH S,1
EH K N,EH N AH N,1
N IH K,N D K,1
K AH L,K OW L,1
K AH L,K AA L,2
Z AH CH IY V,Z SH EY V,1
V D,V AH N D,1
D AE T DH AH IH,D B IY IH,1
IH K S,IH NG S,1
P EH N S,P AE M D S,1
AH V AE,AH M AE,1
AH V AE,AH N D AE,1
D AH,D K AH,1
D AH,D IY AH,5
AH V P,AH M P,1
AH V P,AH N D P,1
AH V P,AH P,1
ER AA R B,ER AH B,1
N D IH,N IH,5
R W AO,R M AO,2
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,,3
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R, M AH CH,1
 IH N W EY JH N AH G OW SH IY EY SH AH N Z DH AH IH N D AH S T R IY B AA R G AH N Z AE Z AH Y UW N AH T W IH DH AH S IH NG G AH L Y UW N Y AH N,,1
 HH IY, IY,1
 HH IY, DH AH F IY,1
V AA N,V IH N,1
R OW P S DH,R UW M Z DH,1
M AH N S,M S,1
T AH K,T AA K,1
 M AH T IH R IY AH L Z S ER AE M IH K M AA D AH L IH NG K, K,1
AY T AO,AY N AO,1
R B AH F,R,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L,,1
 DH AH S, S,3
OY P UH T DH AH W ER M AA N DH AH HH UH K,OY,1
 AH CH OW Z AH N F Y UW W IH L B IH K AH M JH EH N ER AH L Z,,1
 OW N L IY DH, DH,1
 OW N L IY DH, DH AH W EY DH,1
S T AH K AA M P L IH SH T,S T,1
AH B T EY,AH N D G EY,1
UW L IY,UW W IY,1
L EY K,L AY K,2
L EY K,L IH NG,1
 SH IY HH, DH AH HH,6
 SH IY HH, HH,8
 SH IY HH, IH F Y UW HH,1
K S UW,K T UW,2
N G R,N K R,12
N G R,N R,8
N G R,N D B R,2
N G R,N T R,1
N G R,N D M AO R,1
N G R,N D R,2
N G R,N B R,1
S IY W,S DH AH W,1
S IY W,S IH NG W,10
S IY W,S Y UW W,2
S IY W,S AH N W,1
S IY W,S AH N D W,2
S IY W,S AH N T W,2
S IY W,S T Y UW W,1
 D AE, DH AH AE,2
S AH Z,S ER Z,2
S AH Z,S IH Z,2
N EY T,N AH T,1
T AH D W,T IH V W,1
AH NG AO R,AH M AA R,1
N V ER S AH Z,N F AO R,1
R S IH,R TH IH,1
IH K,IH NG K,2
IH K,IH P,1
K S Y,K Y,1
N AH S AH,N AH,1
AH N D S,AH S,1
N AH S,N ER,1
AY IH R,AY IY R,1
R Z,R,1
Z S UW DH D B,Z B,1
S M AH S,S S,1
S AA ZH,S AY Z,1
V AH,V DH AH,4
V AH,V W AH,1
M P AA R,M AO R,1
R T,R,2
R T,R N,1
R T,R D AH N,2
EY ER,EY ER ER,1
 Y, DH AH Y,9
K AA M,K AH M,1
M AH N,M IH N,1
N K AE,N HH AE,1
Z T R,Z D R,1
IY T S,IY M,1
IY T S,IY M Z,1
Y AO R D,Y UW D,4
W AO,W AH N AO,1
AO T ER AO,AO R M AO,1
AO L Y,AO R Y,12
 HH IY HH, DH AH HH,1
F D AH,F DH AE T AY AH,1
AH N EH N IY TH IH NG F,AH F,1
S HH AE,S AE,1
 B IY IH, DH AH IH,1
Z HH IY K,Z IH T K,1
UW L UH K IH NG F,UW F,1
F AO R,F R,6
R EH M,R AH M,1
P L OY,P OY,1
OY M AH N,OY N,1
OW T AY D,OW IH D,1
D L,D OW N L,1
D L,D AH L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
 IY T IH NG S, S,2
S AH Z S,S S,1
S AH Z S,S IH NG S,1
S AH Z S,S T S,2
 AE T T W, AH N D W,1
AY T AA,AY D AA,1
N DH AH T,N T,1
W EH L F TH D EY,W AA N T DH EY,1
W EH L,W IH L,4
V SH AH B L IY,V W EY,1
D EH N,D AH N,1
S P ER,S B ER,1
EH G S,EH K S,1
 D, DH AH D,3
 D, DH EY D,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,4
L D DH,L DH,2
R IH Z,R Z,2
R AH P,R P,2
R AH P,R IH T P,1
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
D Y AO R D,D HH ER D,1
D Y AO R D,D N T D,1
D Y AO R D,D T UW D,3
D Y AO R D,D D,4
D IH K,D AH K,1
T S AH S,T ER Z S,1
W UH D JH,W IH DH JH,1
 B R, R,1
OY L,OY AH L,1
L AO,L M AO,1
L AO,L OW W AO,1
