 SH IY HH AE D Y AO R D AA R K S, S,1
 SH IY HH AE D Y AO R D AA R K S, M AY S,1
 SH IY HH AE D Y AO R D AA R K S, DH AH S,1
S UW T IH N G R IY S IY W AA SH W AO T,S AH T,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,,38
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T, W EY,2
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T, Y EH T,1
 HH IH, DH IH,1
IH Z K AE P T AH N W AA Z TH IH N AH N D HH AE G ER D AH N D HH IH,IH S IH,1
Z B Y UW T AH F,Z F,1
F AH L B,F AO R B,1
N AH,N D AH,5
N AH,N AO R AH,1
N AH,N Z AH,1
N AH,N D R AH,1
N AH,N T AH,1
N AH,N S AY K AH,1
N AH,N DH AH,1
N AH,N T R AH,1
S D AY,S G AY,1
AY V S,AY S,1
P R AH D AH K SH,P EY SH,1
N M EY F AO L F AA R B IH L OW EH K S,N T S,1
S P EH K T EY SH AH N Z,S,1
 P IY T S ER IY AH Z AA R K AH N V IY N Y AH N T F AO R AH K W IH K, K,1
L AH N CH,L AE S,1
 P UH T DH AH B UH CH ER B L AA K T EY B AH L IH N DH AH G ER AA ZH,,3
 P UH T DH AH B UH CH ER B L AA K T EY B AH L IH N DH AH G ER AA ZH, W AY AE M AY,1
 D, AH N D,3
 D, DH AH D,2
 D, K AO L D,1
 D, DH AH OW L D,1
D R AA P F AY V F AO R M Z IH N,D N,1
N DH AH B AA K S B IH F AO R Y UW G OW AW,N AW,1
AW T,AW,1
 HH ER W, W,2
 HH ER W, DH AH W,1
W AO R D R OW B K AH N S IH,W AY IH Z DH IH,1
S T S AH V OW N L IY S K ER T S AH,S W AH,1
N D B L AW S,N S,1
S AH Z,S,3
S AH Z,S IY,1
 EH L D ER L IY P IY P AH L AA, S AA,1
R AO F AH N IH K S K L UW D AH D,R IY,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W, W,4
AA SH W,AA CH W,2
AA SH W,AA Z W,4
AA SH W,AA CH DH AH W,1
AA SH W,AA R JH ER W,1
AA SH W,AA S T ER W,1
AA SH W,AA T ER W,1
ER AO L Y,ER AH V Y,1
ER AO L Y,ER AA R Y,2
ER AO L Y,ER Y,2
ER AO L Y,ER AW ER Y,1
 HH AH S K IY Y AH NG M, M,1
M AE N HH IY S EH D W IH DH M AA K D,M AY D,1
 AA HH AA HH IY TH AO T, DH AH G AY L AY F IH N T,1
T AH L AH,T R AH,1
AH SH D AH V AO R,AH S T IH NG TH R,1
R S IY,R IY,1
 DH AH S T EH K N IH K AH L IH F IH, IY V IH,1
IH SH AH N,IH N,1
N S IY IH Z AH CH IY V D AE,N AE,1
 AA B JH EH K T S M EY D AH V P Y UW T ER AA R B Y UW T AH F AH L,,3
 DH AH M AO R N IH, IH,1
IH NG D UW AA N,IH N,1
S P AY D ER W EH B G L IH S AH N,S AE N,1
D IH N DH AH S AH N,D,1
 CH IY P S T AA K IH NG Z R AH N DH AH F ER S, L AE S,1
M TH EY,M DH EY,1
EY R,EY AA R,1
R W AO,R B AO,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
 K AE, S AE,1
 K AE, DH AE,1
 K AE, Y AE,1
 K AE, R AE DH ER DH AE,1
AE L S IY AH M M,AE M,1
M EY K S,M S,1
S B OW,S N OW,1
OW N Z AH N D T IY TH S T R AO NG,OW,2
 SH IY HH, HH,4
 SH IY HH, DH AH HH,5
 SH IY HH, AY N OW HH,1
 SH IY HH, D AA N T HH,1
HH AE D Y AO R D AA R K S UW T IH N G R IY S IY,HH IY,2
IY W AA SH W AO T ER AO L Y IH R,IY R,5
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L, L,5
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L, AY L,1
K DH AE T,K,8
K DH AE T,K R AW N D,1
K DH AE T,K Y UW,1
K DH AE T,K W EH L,1
K DH AE T,K S EH S,1
K DH AE T,K AH N D,1
K DH AE T,K IH T,1
K DH AE T,K F AO R,1
K DH AE T,K IH N,1
K DH AE T,K F IH SH,1
K DH AE T,K IH N T,1
K DH AE T,K S AH N D,1
 IH N W EY JH, AH V EH JH,1
JH N AH,JH AH,1
AH G OW SH IY EY,AH K EY,1
N Z,N IH Z,1
N Z,N D,1
Z DH AH IH,Z D IH,1
IH N,IH F AY N,1
IH N,IH NG AA N,1
IH N,IH S W AH N,1
IH N,IH L Z AA N,1
IH N,IH T W AA N,1
IH N,IH N AH N,1
IH N,IH D AY M IY N,1
IH N,IH L Y AH N,1
D AH S T R IY B AA R G AH N Z AE,D AE,1
HH IY V AA N DH OW Z R OW P S DH AH B OW T S K AH M AH N S T AH K,HH UH K,1
 M AH T IH, CH IH,1
IY AH L Z S ER,IY OW ER,1
ER AE M IH K M AA D,ER AW N D,1
D AH,D DH AH,1
D AH,D B AH,1
D AH,D HH IY M AE N AH JH AH,1
D AH,D AO R AH,1
D AH,D V AE L AH,1
AH L IH NG K,AH K,1
K L EY R,K AO R N ER AH V R,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L,,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R IY L, OW K EY,1
 DH AH S, S,3
L B OY P UH T DH AH W ER M AA N DH AH HH UH K,L D AO G F AO R S K,1
