 SH, R AH SH,1
 SH, DH AH SH,6
 SH, W EH L SH,1
 SH, W AA SH,1
 SH, DH EH R SH,1
SH IY HH AE D Y AO,SH AH AO,1
AO R D AA R K S UW T IH N G R,AO R,1
R IY S IY W AA SH W,R W,1
 D AA N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH, DH,3
 HH IH Z K AE, DH AE,1
AE P T,AE T,1
T AH N W,T W,1
AA Z TH IH N AH N D HH AE G ER D AH N D HH IH Z,AA Z,1
N AH,N D AH,4
N AH,N DH AE T AH,1
N AH,N DH AH,2
N AH,N T AH,1
N AH,N IY Z AH,1
N AH,N IH Z W AH,1
N AH,N HH AA R T AH,1
N AH,N W AH,1
S D AY,S G AY AY,1
IY M D F UW L IH SH N,IY N DH OW Z N,1
 P R, F OW T OW F L AO R,1
 P R, R,1
D AH K SH AH,D AH,1
AH N M,AH M,2
AH N M,AH V ER M,1
M EY F AO L F AA R B IH L OW,M AY P OW,1
OW EH K S,OW S,1
S P,S T P,1
S P,S AH N D P,1
S P,S AH P,1
P EH K T EY,P OW N F AW N D EY,1
 P IY T S ER IY AH, DH AH,1
AH Z AA R K AH N V IY N Y AH N,AH D IH M IH N,1
N T F AO R AH K W IH,N IH,1
IH K L AH N CH,IH SH,1
 P UH T, W AH T,2
 P UH T, B AH T,1
 P UH T, DH AE T,2
DH AH B UH CH ER,DH EY N EH V ER,1
ER B L AA,ER W AA,1
AA K T,AA N T,1
T EY B AH L,T T UW L,1
L IH,L AY V IH,1
 D R AA P F AY V F, F,1
 D R AA P F AY V F, DH AE T B AE D F,1
R M,R T AY M,1
R M,R OW M,1
Z IH N DH AH,Z AH,1
AH B AA K,AH W IY K,1
K S B IH F AO R Y UW G OW AW,K AW,1
 HH ER W, DH AH W,4
R D R,R B R,1
OW B K,OW K,1
K AH N S,K S,1
S IH S T S AH V OW,S OW OW,1
T S,T S S,1
T S,T M AH S,1
T S,T UW S,2
T S,T,2
T S,T OW S,1
T S,T D IH S,1
S AH N,S IH N,1
S AH N,S OW,1
N D B L AW S,N S,1
S AH Z,S,5
S AH Z,S IH Z,1
S AH Z,S IY Z,1
S AH Z,S IY,1
S AH Z,S T,1
R AO F AH N IH,R AA R IH,1
Y AO R,Y IH R,1
Y AO R,Y AH R,2
D AA R K S,D AY S,1
D AA R K S,D AW ER S,1
D AA R K S,D AO G S,2
D AA R K S,D AY N AH S,1
S UW T IH N G,S OW G,3
S UW T IH N G,S IY R G,1
ER AO L Y,ER AH V Y,1
ER AO L Y,ER AA N Y,1
ER AO L Y,ER AA R Y,1
ER AO L Y,ER Y,5
ER AO L Y,ER AW ER Y,1
 D AA N T AE, M AE,1
 D AA N T AE, HH AE,3
 D AA N T AE, AE,5
 D AA N T AE, DH AH V AE,1
 D AA N T AE, DH AH L AE,2
S K M IY T UW K,S K,1
 HH AH S K IY Y AH NG M AE N, AA N,1
N HH IY S EH D W IH DH M AA K D,N D,1
 AA HH, DH AE T HH,1
HH AA HH IY TH AO T AH,HH AE V B IH N AA N AH,1
AH L,AH B L,1
AH L,AH N D F L,1
AH L,AH L L,1
AH L,AH,1
AH L,AH N D,1
SH D AH V AO R S,SH T UW S,1
EH K N,EH N,1
N IH K,N AH K,1
K AH L,K AO L,1
L IH F,L AH N D F,1
N S IY,N D G EY M L IY,1
N S IY,N D B IH Z IY,1
IY IH Z AH,IY AA N DH AH,1
AH CH IY V,AH SH EY V,1
S M EY D AH,S AH,1
AH V P,AH P,4
P Y UW T ER AA R,P IH R,1
R B Y UW,R N UW,1
UW T AH,UW AH,1
AH F,AH V F,2
F AH L,F OW N,1
 DH AH M AO R N IH, IH,1
IH NG D UW AA N,IH N,1
S P AY D ER W EH B G L IH S AH N,S AE N,1
D IH N DH AH S AH N,D,1
 CH IY P S, JH EY M Z S,1
 CH IY P S, S,1
AA K IH,AA R T L IH,1
NG Z,NG IH Z,1
N DH AH,N AH,8
N DH AH,N D OW AH,1
R W AO,R M AO,1
R N,R AA N,1
R N,R AH N,1
R N,R D,1
 D AA N T D UW CH AA R L IY Z D ER T IY D IH SH AH Z,,1
T IH N,T AH N,30
T IH N,T S D AY N,1
T IH N,T AH V HH AH N,1
T IH N,T EH N,1
T IH N,T AH B AH L R OW D Z AH N,1
N G,N D G,29
IY AE N OY L,IY D B L,1
IY AE N OY L,IY IH NG AO L,2
IY AE N OY L,IY Y AO R L,1
IY AE N OY L,IY HH OW L,1
IY AE N OY L,IY HH AY L,1
L IY R AE,L AE,2
AE G L,AE K L,1
AE G L,AE N D L,1
 IH N W EY JH N AH G OW SH IY EY SH AH N Z DH, B AY DH,1
DH AH IH,DH IH,1
IH N D AH S,IH S,1
S T R IY B AA R G AH N Z AE,S AE,1
K AH M,K AA M,1
K AH M,K EY M,1
T AH K,T AA K,1
T AH K,T UW K,1
T AH K,T AA R K,1
 M AH T IH R IY AH L Z S ER AE M IH K M AA D AH L IH NG K L EY R, R,1
 AA R T AH F IH SH AH L IH N T EH L AH JH AH N S IH Z F AO R R, R,1
OY P UH T DH AH W ER M AA N DH AH HH UH K,OY F AO R B R IH NG IH NG F EY L,1
OY P UH T DH AH W ER M AA N DH AH HH UH K,OY,1
 AH, DH AH,16
 AH, DH AH AH,1
UW W IH L B IH K,UW K,1
K AH M JH EH N,K AA N,1
N ER AH L Z,N T R AE K T S,1
N ER AH L Z,N IY,1
UW L IY,UW W IY,1
V DH AH S,V S,2
L EY K,L AY K,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y, AY Y,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y, AH Y,1
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y, Y,1
 D AA N T AE S K M, AH M,1
 D AA N T AE S K M, DH OW DH EH R W ER M,1
 D AA N T AE S K M, W ER M,1
M IY T UW K AE R IY AE N,M IH N,1
N OY L IY R AE G L AY K DH AE T,N AH T,1
N OY L IY R AE G L AY K DH AE T,N,2
 D AE N S AH Z AO L T ER N EY T AH D W IH, K R IH,1
IH DH S AH NG AO R S P OW K AH N V ER S,IH S,1
 M AY F AA DH ER R AE N HH IH M AO F HH IY R S IH K S Y IH R Z AH G OW,,1
IY DH AH V,IY V,1
 DH AH K AE T S M IY AW AO L W EY Z HH ER T S M AY IH R Z,,3
 K L IH F W AA Z S, EH S,1
S UW DH D B AY DH AH L AH G ZH ER IY AH S M AH S AA ZH,S EY CH,1
 IY CH AH N T, T,2
V AH,V DH AH,1
V AH,V W AH,1
V AH,V IH Z AH,1
 JH EY N M EY ER N M AO R M AH N IY B AY W ER K IH NG HH AA R D,,1
N K,N D K,1
N K,N T K,1
AA R K S,AA G Z S,2
AA R K S,AA B V IY AH S,1
AA R K S,AA N T S,1
AA R K S,AA N S,1
AA R K S,AA T S,2
AA R K S,AA G AH S,1
S UW T IH N G R,S OW R,2
S UW T IH N G R,S IY DH AH B AY R,1
S UW T IH N G R,S EY K AH B R,1
S UW T IH N G R,S OW D AH K AE R,1
S UW T IH N G R,S EY M R,1
R IY S,R AH S,9
R IY S,R EY S,3
R IY S,R EH S,1
R IY S,R AY S,1
R IY S,R IH S,1
IY W AA SH W,IY V D M AH CH W,1
IY W AA SH W,IY V W,1
ER AO L Y IH R,ER,5
ER AO L Y IH R,ER AW N D HH IY R,6
ER AO L Y IH R,ER AA N DH EH R,1
ER AO L Y IH R,ER AA N DH AH,1
ER AO L Y IH R,ER HH IY R,2
 HH IY HH, DH AH HH,1
ER HH IH M S,ER S,1
L F D AH N EH,L DH EH,1
EH N IY TH IH NG F AO R W,EH M W,1
IY HH EY T AH D W IH,IY IH,1
IH CH,IH N AA R CH,1
 B IY IH K S AY T AH D AH, HH AH,1
D D AA N T AY D,D R AH D,1
D EH N T AH F AY Y ER S EH L F,D,1
 S AH M T AY M Z HH IY K OW AH N S AY D AH D W IH DH M AY F AA DH ER Z B IY IH NG AE T HH OW M,,1
R DH AH SH,R SH,1
UW L UH K IH NG F,UW F,1
F AO R,F R,4
R EH M,R AH M,1
R EH M,R M,1
P L OY,P OY,1
OY M AH N,OY N,1
 AH B, B,2
G G OW T,G M AY T,1
T AY D L,T OW N L,1
L IY,L IY B IY,1
L IY,L EY T ER,1
L IY,L AH N,1
L IY,L IH NG,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
UW DH AH F AA R,UW CH EH R,1
R M Y AA R D,R IH T IY,1
R M Y AA R D,R F AH N,1
R M Y AA R D,R AH N T,1
 IY T IH, W IH,1
 IY T IH, DH AH AE D IH,1
 IY T IH, AE D IH,1
IH NG S P IH N AH,IH DH AH,1
AH CH N AY,AH S L AY,1
IY IH N K R,IY R,1
AH Z S,AH N T S,1
AH Z S,AH S,2
R EH NG K,R AY K,2
K TH M,K S M,1
 AE T T W AY, M AY,1
L AY T,L EY T,1
T AA N,T AE T N,1
N DH AH T,N AY T,1
N DH AH T,N T,2
T W,T AO R HH AW W,1
T W,T L AH S W,1
EH L F TH D,EH R AH N D,1
D EY W EH L HH,D HH,1
HH AE V SH AH B L IY,HH AW IH T,1
T IH N G,T G,6
T IH N G,T AH G,1
W AA SH W,W AO T ER W,2
W AA SH W,W ER S W,1
W AA SH W,W AH N W,1
M IY T UW K,M AE N K,1
IY AE N OY,IY IH NG OY,3
IY AE N OY,IY OY,6
IY AE N OY,IY AH OY,2
IY AE N OY,IY P OY,1
L IY R,L AH R,4
L IY R,L IH R,2
L IY R,L R,1
L IY R,L IH NG R,1
R AE G,R EH G,4
R AE G,R IH G,1
R AE G,R AY G,1
G L,G Y AH L,3
G L,G AH L,2
L AY K DH AE T,L EY SH AH N AH N D,1
L AY K DH AE T,L,2
L AY K DH AE T,L ER,1
D V EH JH T,D DH AE T,1
T AH B AH L,T W IH L,1
L AY V ER IY IH,L IH M R IH,1
IH Z DH,IH L IY DH,1
IH Z DH,IH S DH,1
R D EH N,R T AH N,1
D AH S P ER M,D DH OW Z R UW M,1
EH G S,EH K S,1
NG T UW W,NG AY W,1
W AH N,W AA N,2
W AH N,W EH N,1
N Z IY G,N T T UW G,1
N IH Z,N AE Z,1
N IH Z,N HH AE Z,1
Z T UW S,Z AH S,1
Z T UW S,Z S,1
S AA L V EH,S AO NG N EH,1
S AA L V EH,S AH M EH,2
S AA L V EH,S AO NG EH,1
T R,T Y AO R,1
T R,T M EH R,1
T R,T R EH R,1
R AH P,R P,4
Z,Z T UW,1
Z,Z B IH F AO R,1
Z,Z N T,1
Z,Z IH N T R AH S T IH NG,1
Z,Z AH N D,1
Z,Z DH AE T IH N T R AH S T IH NG,1
 SH IY W AO R W AO R M F L IY S IY W UH L AH N OW V ER AO L Z,,2
L D DH,L DH,3
R IH Z,R Z,1
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
IY HH AE,IY K AE,1
IY HH AE,IY AE,2
AE D Y AO R D,AE N T ER N D,1
AE D Y AO R D,AE JH IH T D,1
AE D Y AO R D,AE JH IH K D,1
AE D Y AO R D,AE D,1
SH W AO T ER AO L Y IH R,SH M AY HH EH R,1
IY T UW K AE R IY AE N OY L IY R,IY AH R,1
G L AY K DH AE T,G,4
G L AY K DH AE T,G AA N,1
N D AA,N N AA,1
AH N T,AH T,4
D IH K,D AH K,2
T S AH S,T ER Z S,1
W UH D JH,W IH DH JH,1
 B R, G R,1
 B R, DH EH R,1
R OY L AO,R EY AH M M AO,1
Y UW ZH AH W AH L,Y AE,1
 DH AH EH M B L AH M D IH P IH K T S DH AH AH K R, R,1
R AA P AH L AH S AO,R AO,1
AO L AH G L OW,AO NG,1
 M, DH AH M,3
 M, D AY N AH M,1
UW OW B EY G,UW HH AE V AH G,1
T AO R D ER,T OW N ER,1
ER Z,ER SH IH P,1
ER Z,ER,1
 OW N, AA N,1
N L IY L,N W EH N L,1
ER Z L,ER AH N D L,1
M IH L Y AH N EH R Z,M IY,1
V HH ER ER EY,V AH R EY,2
NG AE T,NG IH T,1
NG AE T,NG AW T,1
 HH IH Z SH, SH,2
 HH IH Z SH, DH AH SH,2
 HH IH Z SH, S OW SH,1
Z IH F IH T W ER B,Z AH N D B,1
 SH IY HH AE D Y, Y,5
 SH IY HH AE D Y, W AY Y,1
 SH IY HH AE D Y, DH EH R Z Y,1
 SH IY HH AE D Y, Y OW Y,1
Y AO R D,Y UW D,2
Y AO R D,Y EH T D,1
AA R K S UW,AA N T Y UW,1
AA R K S UW,AA G Z D UW,1
AA R K S UW,AA B IH Z T UW,1
AA R K S UW,AA JH UW,1
UW T IH,UW TH IH,1
UW T IH,UW IH NG IH,1
IH N G R IY S IY,IH NG K W IY,1
IH N G R IY S IY,IH L IY,1
IH N G R IY S IY,IH SH IY,1
IY W AA SH,IY SH,1
IY W AA SH,IY V D M AY SH,1
SH W AO,SH UH D AO,1
SH W AO,SH IH NG T AH N AO,1
SH W AO,SH R AO,1
SH W AO,SH AO,1
SH W AO,SH M AY D AO,1
T ER AO,T AA N AH M IY AO,1
T ER AO,T AO,3
T ER AO,T AA R AO,1
T ER AO,T AH D W AA Z AO,1
T ER AO,T HH AO,1
L Y IH R,L,3
L Y IH R,L IY R,1
