T IH N,T AH N,132
N G,N D G,131
N G,N D DH AH G,1
DH IH S,DH AH S,3
S D AY,S T AY,1
AY V S,AY L S,1
D AA R K,D AE K,1
D AA R K,D AH K,1
 AA HH, HH AE HH,1
HH AA HH,HH AH HH,1
D AH V,D IH V,1
R S,R S S,1
R W AO,R B AO,1
 DH AH, AH,3
S AH B T EY,S G EY,1
N P,N D P,8
S AH Z,S HH AE Z,1
D Y AO R D,D AH D,3
D Y AO R D,D T UW D,1
F D AH N EH,F DH AE T EH,1
T AH,T AH D AH,1
AH D,AH N D,1
IH G G,IH NG G,1
OW T,OW N AY T,1
T AY D L,T OW N L,1
IY AE M B,IY EY B,1
L D TH R UW,L T UW,1
D EH N,D AH N,1
N D,N D D,1
D AH S,D UW S,1
L D DH,L DH,4
L D DH,L Z DH,1
R AH P,R P,2
 W AY CH AA R JH M AH N IY F AO R S AH CH G AA R B IH JH,,1
L IH T,L AH N T,1
T TH IH NG K,T M EY K,1
W UH D JH,W IH DH JH,1
V HH ER ER,V ER,2
V HH ER ER,V AO R ER,1
JH F,JH D F,2
NG AE T,NG IH T,4
N G R IY S IY,N D W IH SH IY,1
IY AE N,IY IH NG AA N,1
IY AE N,IY AH N,3
IY AE N,IY AA N,1
N OY L IY R,N AH R,1
IY T UW R,IY R,1
K AH T S AH,K AA R D Z AH,1
EY Z IH,EY IH,1
UW EH V,UW AH V,1
V ER IY F,V AH F,1
N Z SH,N SH,2
 SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,,1
 Y UW T, IH T T,1
K W IH DH L,K R IY AH L,1
AY N Z,AY Z,1
Z T UW IY,Z IY,1
D AH,D IY AH,2
AH T S,AH N S,2
AH T S,AH N Z,1
 AE, P AE,1
N OW T,N AA T,1
AY R AA,AY ER AA,1
IY Z,IY,1
N DH AH S,N S,1
Z R AH,Z AH,1
N DH,N D DH,1
R W AO R,R AA R,1
R N,R AA N,1
R N,R AH N,1
T ER R,T AH L R,1
S AA R F,S AH V F,1
F AO R,F R,1
R SH,R EH SH,1
N UH K S,N OW T S,1
D AW ER AO,D AA R AO,3
D AW ER AO,D AE N AO,1
JH F AO R AH M,JH HH ER M,1
N AW DH,N OW DH,1
 V EY, F EY,1
M ER AH,M AH R AH,1
S T K,S K,1
P UH T,P AH T,1
T DH,T IH NG DH,1
B AE L,B IH L,1
K AO,K W AO,2
R D ER,R T ER,2
ER OY,ER R OY,2
SH IY HH AE D,SH EH D,1
